"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","91,51","92,84","93,20","89,37","136,37K","-0,71%"
"Jan 22","92,16","99,30","105,06","85,46","7,77M","-6,81%"
"Dez 21","98,89","94,03","103,22","89,00","6,73M","7,13%"
"Nov 21","92,31","84,68","93,07","79,40","4,93M","8,77%"
"Out 21","84,87","77,00","86,17","74,79","3,84M","9,34%"
"Set 21","77,62","78,76","82,67","75,56","3,83M","-1,45%"
"Ago 21","78,76","75,63","80,93","74,41","3,01M","3,77%"
"Jul 21","75,90","68,20","77,88","67,77","4,06M","11,62%"
"Jun 21","68,00","65,47","68,84","62,74","2,67M","3,82%"
"Mai 21","65,50","71,88","72,55","64,36","2,76M","-8,17%"
"Abr 21","71,33","69,95","77,26","69,38","3,79M","3,08%"
"Mar 21","69,20","69,50","73,09","65,60","5,87M","-0,70%"
"Fev 21","69,69","72,39","75,34","65,00","4,27M","-3,24%"
"Jan 21","72,02","68,90","78,09","66,92","5,57M","4,38%"
"Dez 20","69,00","65,00","72,45","60,92","4,79M","7,31%"
"Nov 20","64,30","62,89","66,39","60,76","3,69M","3,37%"
"Out 20","62,20","65,91","70,10","61,93","3,97M","-4,65%"
"Set 20","65,24","70,68","74,85","56,09","6,54M","-8,63%"
"Ago 20","71,40","55,36","74,89","55,36","2,76M","29,00%"
"Jul 20","55,35","49,45","55,35","46,09","2,50M","11,93%"
"Jun 20","49,45","42,68","50,02","40,06","2,19M","15,86%"
"Mai 20","42,68","39,52","52,81","39,52","959,24K","7,99%"
"Abr 20","39,52","32,40","40,38","31,32","1,11M","19,96%"
"Mar 20","32,95","31,18","34,57","26,98","2,29M","11,34%"
"Fev 20","29,59","32,72","36,68","28,82","1,14M","-10,46%"
"Jan 20","33,05","29,74","34,38","28,30","1,22M","13,32%"
"Dez 19","29,17","27,76","29,57","26,86","1,01M","3,36%"
"Nov 19","28,22","24,63","28,45","24,63","296,40K","14,19%"
"Out 19","24,71","23,23","24,72","21,99","726,40K","6,91%"
"Set 19","23,11","21,23","23,11","21,00","806,80K","9,39%"
"Ago 19","21,13","19,99","21,50","18,71","1,27M","5,72%"
"Jul 19","19,99","19,07","20,18","18,46","602,80K","7,39%"
"Jun 19","18,61","17,08","19,00","16,47","1,90M","9,44%"
"Mai 19","17,00","20,23","20,84","16,98","1,32M","-12,20%"
"Abr 19","19,37","17,90","20,40","17,90","658,40K","6,20%"
"Mar 19","18,24","16,06","18,68","15,99","705,60K","14,41%"
"Fev 19","15,94","14,92","16,42","14,78","995,60K","7,65%"
"Jan 19","14,81","14,82","14,97","13,13","2,01M","-0,52%"
"Dez 18","14,88","17,17","17,45","14,08","786,40K","-11,42%"
