"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","14,41","14,94","15,13","14,17","18,25M","-3,74%"
"Jan 22","14,97","15,42","15,54","14,35","491,79M","-2,92%"
"Dez 21","15,42","15,49","15,83","15,05","434,63M","-3,99%"
"Nov 21","16,06","17,13","18,12","15,97","508,41M","-5,47%"
"Out 21","16,99","15,41","17,22","14,54","542,04M","11,05%"
"Set 21","15,30","17,16","17,38","15,29","514,65M","-10,53%"
"Ago 21","17,10","16,90","17,67","16,11","465,89M","2,76%"
"Jul 21","16,64","16,86","18,17","16,53","481,86M","-2,52%"
"Jun 21","17,07","17,99","19,86","16,90","661,26M","-4,90%"
"Mai 21","17,95","14,92","17,95","14,54","496,78M","20,15%"
"Abr 21","14,94","15,39","16,11","14,91","350,80M","-2,29%"
"Mar 21","15,29","14,16","15,73","13,35","575,94M","9,06%"
"Fev 21","14,02","15,36","16,30","14,00","450,36M","-7,21%"
"Jan 21","15,11","15,72","16,83","14,95","497,21M","-2,99%"
"Dez 20","15,58","13,66","16,02","13,65","611,82M","14,91%"
"Nov 20","13,56","12,02","15,21","11,97","645,42M","14,78%"
"Out 20","11,81","12,17","13,97","11,81","630,26M","-2,87%"
"Set 20","12,16","12,12","12,86","11,67","582,54M","1,87%"
"Ago 20","11,94","13,52","13,56","11,94","622,85M","-11,44%"
"Jul 20","13,48","13,83","15,44","13,24","835,33M","-1,70%"
"Jun 20","13,71","11,95","14,38","11,89","577,92M","13,30%"
"Mai 20","12,10","10,80","13,11","10,76","646,29M","10,05%"
"Abr 20","11,00","11,25","12,58","10,36","520,04M","-4,87%"
"Mar 20","11,56","14,15","15,08","10,05","954,34M","-18,02%"
"Fev 20","14,10","17,38","17,57","13,58","569,29M","-18,54%"
"Jan 20","17,31","18,29","18,99","17,24","343,30M","-4,39%"
"Dez 19","18,10","17,05","18,77","16,77","457,94M","6,15%"
"Nov 19","17,05","16,49","17,29","16,23","256,47M","3,86%"
"Out 19","16,42","18,23","18,39","16,35","539,59M","-9,71%"
"Set 19","18,19","17,69","18,67","17,25","398,83M","2,83%"
"Ago 19","17,69","19,05","19,58","16,92","491,83M","-7,00%"
"Jul 19","19,02","17,10","19,62","16,71","514,25M","12,52%"
"Jun 19","16,90","16,63","17,55","16,27","324,19M","1,94%"
"Mai 19","16,58","17,25","17,51","15,45","519,10M","-4,98%"
"Abr 19","17,45","15,94","17,52","15,80","399,30M","9,74%"
"Mar 19","15,90","16,19","16,55","15,40","466,30M","-2,32%"
"Fev 19","16,28","16,57","18,00","16,22","469,12M","-1,60%"
"Jan 19","16,54","14,55","17,20","14,55","540,09M","13,85%"
"Dez 18","14,53","15,74","15,75","14,09","333,36M","-7,23%"
"Nov 18","15,66","15,15","15,66","14,43","348,97M","3,55%"
"Out 18","15,13","16,99","17,40","13,46","509,63M","-10,91%"
"Set 18","16,98","17,50","17,76","16,56","257,71M","-2,71%"
"Ago 18","17,45","18,01","18,25","17,19","333,24M","-2,89%"
"Jul 18","17,97","16,60","18,79","16,48","292,11M","7,95%"
"Jun 18","16,65","17,99","18,65","16,47","360,73M","-7,90%"
"Mai 18","18,07","21,27","21,43","17,80","472,95M","-15,60%"
"Abr 18","21,41","22,09","22,54","20,90","267,47M","-3,07%"
