"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","54,59","56,64","57,11","53,48","41,53K","-3,70%"
"Jan 22","56,69","63,29","64,75","51,86","1,08M","-10,43%"
"Dez 21","63,29","75,95","76,34","61,82","927,57K","-16,67%"
"Nov 21","75,95","74,47","80,39","69,00","664,47K","3,21%"
"Out 21","73,59","62,99","73,59","59,92","512,84K","16,94%"
"Set 21","62,93","68,52","71,23","62,30","517,89K","-8,36%"
"Ago 21","68,67","64,54","71,22","63,05","1,41M","5,23%"
"Jul 21","65,26","59,02","65,50","58,16","228,38K","10,57%"
"Jun 21","59,02","52,02","59,31","50,15","266,52K","10,63%"
"Mai 21","53,35","55,54","55,54","49,25","117,07K","-3,68%"
"Abr 21","55,39","54,77","59,44","54,77","268,88K","2,65%"
"Mar 21","53,96","51,61","54,59","48,23","641,58K","4,78%"
"Fev 21","51,50","50,65","56,00","48,66","340,48K","1,98%"
"Jan 21","50,50","51,75","53,11","48,15","343,46K","-2,42%"
"Dez 20","51,75","52,00","53,19","47,50","498,80K","1,39%"
"Nov 20","51,04","51,10","61,38","48,00","175,97K","-0,12%"
"Out 20","51,10","56,45","58,16","51,10","290,95K","-7,29%"
"Set 20","55,12","56,55","57,29","48,72","639,34K","-1,71%"
"Ago 20","56,08","47,50","58,75","47,04","356,60K","21,41%"
"Jul 20","46,19","46,65","49,54","44,80","253,20K","-2,14%"
"Jun 20","47,20","40,40","47,25","38,70","181,40K","13,43%"
"Mai 20","41,61","38,60","43,91","38,49","177,80K","7,99%"
"Abr 20","38,53","31,84","39,60","30,90","107,90K","15,88%"
"Mar 20","33,25","31,94","33,25","27,90","198,30K","7,71%"
"Fev 20","30,87","30,48","33,65","30,48","152,30K","2,87%"
"Jan 20","30,01","26,78","30,01","26,78","146,00K","13,25%"
"Dez 19","26,50","25,66","26,99","24,89","79,00K","6,17%"
"Nov 19","24,96","22,22","24,99","21,36","511,00K","11,38%"
"Out 19","22,41","22,78","23,23","21,51","120,00K","-2,90%"
"Set 19","23,08","23,49","23,49","22,82","131,00K","-1,28%"
"Ago 19","23,38","22,17","23,81","22,17","350,00K","0,73%"
"Jul 19","23,21","22,88","23,25","22,88","56,00K","0,65%"
"Jun 19","23,06","21,51","23,06","21,51","256,00K","6,27%"
