"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","107,30","100,90","109,32","93,50","1,29M","6,34%"
"Jan 22","100,90","119,55","124,30","95,00","2,91M","-15,54%"
"Dez 21","119,46","126,57","127,87","119,46","2,13M","-4,74%"
"Nov 21","125,40","121,21","133,50","118,70","2,23M","3,85%"
"Out 21","120,75","113,97","124,81","110,07","3,69M","5,46%"
"Set 21","114,50","114,48","119,63","111,88","3,36M","0,44%"
"Ago 21","114,00","110,29","114,09","107,36","2,50M","3,06%"
"Jul 21","110,61","109,06","125,88","107,40","2,55M","1,09%"
"Jun 21","109,42","107,50","113,25","102,10","2,05M","1,77%"
"Mai 21","107,52","120,20","120,70","104,73","1,81M","-10,55%"
"Abr 21","120,20","112,64","125,15","112,49","2,39M","7,80%"
"Mar 21","111,50","110,92","115,49","104,39","2,57M","1,16%"
"Fev 21","110,22","112,12","118,15","107,01","2,55M","-1,59%"
"Jan 21","112,00","109,00","115,40","103,50","3,06M","2,47%"
"Dez 20","109,30","108,00","111,40","98,92","2,68M","1,20%"
"Nov 20","108,00","110,05","119,11","103,30","2,38M","-2,47%"
"Out 20","110,74","115,42","124,23","109,57","1,49M","-4,05%"
"Set 20","115,42","120,22","120,99","99,65","2,46M","-4,89%"
"Ago 20","121,35","105,72","123,31","105,16","1,21M","15,24%"
"Jul 20","105,30","96,18","113,37","96,18","1,25M","10,07%"
"Jun 20","95,67","84,58","96,18","77,71","1,28M","15,59%"
"Mai 20","82,77","79,98","90,88","78,93","668,03K","-0,86%"
"Abr 20","83,49","64,79","87,60","63,51","876,05K","24,84%"
"Mar 20","66,88","54,33","66,88","51,59","1,94M","26,57%"
"Fev 20","52,84","54,82","60,94","52,38","619,36K","-4,19%"
"Jan 20","55,15","48,36","55,49","47,94","565,19K","16,52%"
"Dez 19","47,33","47,75","49,29","45,61","502,39K","-3,07%"
"Nov 19","48,83","45,42","48,83","45,42","329,70K","7,32%"
"Out 19","45,50","46,24","47,32","44,08","431,75K","-0,37%"
