"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","82,30","81,46","83,70","79,24","2,14M","0,62%"
"Jan 22","81,79","78,00","84,72","63,39","24,48M","6,54%"
"Dez 21","76,77","67,57","79,98","67,39","19,16M","14,31%"
"Nov 21","67,16","75,09","84,87","64,83","22,16M","-9,12%"
"Out 21","73,90","84,20","90,00","73,53","16,74M","-10,82%"
"Set 21","82,87","89,85","90,68","80,42","15,05M","-7,32%"
"Ago 21","89,42","91,35","94,35","85,30","12,28M","-1,22%"
"Jul 21","90,52","95,19","101,84","89,76","13,14M","-4,21%"
"Jun 21","94,50","88,72","96,26","84,65","12,47M","6,62%"
"Mai 21","88,63","75,67","89,50","74,42","13,36M","17,16%"
"Abr 21","75,65","69,17","82,54","67,30","15,01M","7,53%"
"Mar 21","70,35","72,96","79,84","67,20","15,16M","-1,36%"
"Fev 21","71,32","71,70","78,41","70,15","11,81M","1,06%"
"Jan 21","70,57","68,18","73,61","62,11","12,23M","3,51%"
"Dez 20","68,18","69,52","71,90","65,87","9,36M","-1,83%"
"Nov 20","69,45","61,58","73,24","59,00","14,37M","15,17%"
"Out 20","60,30","53,60","63,00","52,06","19,51M","11,92%"
"Set 20","53,88","55,67","60,31","51,90","9,97M","-3,17%"
"Ago 20","55,64","52,81","57,33","50,66","15,10M","6,37%"
"Jul 20","52,31","47,86","55,65","46,94","14,18M","10,15%"
"Jun 20","47,49","41,74","49,63","40,99","14,74M","13,78%"
"Mai 20","41,74","40,96","46,10","37,04","10,48M","-0,94%"
"Abr 20","42,14","35,42","48,92","32,75","13,24M","15,27%"
"Mar 20","36,56","58,00","60,75","31,38","18,61M","-38,65%"
"Fev 20","59,59","59,80","65,44","57,22","9,20M","-0,33%"
"Jan 20","59,78","63,45","66,02","59,14","15,30M","-5,78%"
"Dez 19","63,45","62,26","68,51","61,23","13,08M","2,84%"
"Nov 19","61,70","59,23","64,17","57,60","8,95M","5,75%"
"Out 19","58,35","48,89","58,74","48,55","11,97M","19,52%"
"Set 19","48,82","48,78","49,68","46,52","6,58M","0,08%"
"Ago 19","48,78","49,76","52,07","44,61","11,84M","-1,81%"
"Jul 19","49,67","49,40","53,12","47,91","6,07M","0,38%"
"Jun 19","49,49","50,01","50,01","46,92","5,38M","-0,14%"
"Mai 19","49,56","49,74","50,26","44,93","6,59M","-0,60%"
"Abr 19","49,85","49,42","50,52","44,60","7,48M","2,04%"
"Mar 19","48,86","52,76","52,76","47,42","7,22M","-7,39%"
"Fev 19","52,76","53,33","54,07","48,46","8,04M","-0,35%"
"Jan 19","52,94","52,21","53,50","47,98","9,25M","-0,11%"
"Dez 18","53,00","47,98","53,06","46,57","6,76M","10,73%"
"Nov 18","47,86","46,39","49,70","42,18","5,98M","5,36%"
"Out 18","45,43","40,86","48,08","39,35","9,10M","11,27%"
"Set 18","40,83","37,90","41,18","34,77","5,02M","8,31%"
"Ago 18","37,70","40,27","42,75","36,90","5,25M","-7,22%"
"Jul 18","40,63","41,92","43,82","38,49","6,68M","-3,87%"
"Jun 18","42,27","40,45","42,35","36,22","7,53M","4,33%"
