"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","51,22","47,21","51,44","46,76","60,33K","8,98%"
"Jan 22","47,00","45,00","51,00","40,00","2,37M","4,44%"
"Dez 21","45,00","43,58","47,41","41,21","2,06M","1,69%"
"Nov 21","44,25","53,15","54,82","44,20","2,04M","-18,25%"
"Out 21","54,13","57,01","58,95","52,00","2,08M","-5,81%"
"Set 21","57,47","60,90","61,22","54,68","2,43M","-5,83%"
"Ago 21","61,03","66,25","67,60","55,69","2,84M","-8,03%"
"Jul 21","66,36","69,00","70,27","62,29","3,61M","-3,41%"
"Jun 21","68,70","66,70","69,73","61,81","8,66M","3,17%"
"Mai 21","66,59","62,00","69,24","60,50","4,43M","7,40%"
"Abr 21","62,00","58,78","66,71","56,85","3,34M","5,44%"
"Mar 21","58,80","50,09","64,64","48,40","5,61M","9,91%"
"Fev 21","53,50","62,00","63,59","53,40","2,56M","-12,58%"
"Jan 21","61,20","61,24","69,24","56,00","3,50M","0,82%"
"Dez 20","60,70","57,70","60,99","53,65","2,66M","5,57%"
"Nov 20","57,50","49,90","59,92","45,90","3,87M","16,16%"
"Out 20","49,50","61,00","61,00","47,80","1,74M","-18,85%"
"Set 20","61,00","66,49","67,26","57,01","954,10K","-7,58%"
"Ago 20","66,00","56,00","66,00","55,01","2,00M","17,86%"
