"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","22,90","23,69","24,15","22,68","372,61K","-3,38%"
"Jan 22","23,70","23,95","27,52","21,19","36,22M","-3,07%"
"Dez 21","24,45","25,98","26,25","21,97","30,57M","-4,19%"
"Nov 21","25,52","33,25","34,69","25,43","8,82M","-23,18%"
"Out 21","33,22","28,64","37,05","26,83","8,86M","15,71%"
"Set 21","28,71","31,09","33,17","27,53","9,40M","-7,03%"
"Ago 21","30,88","36,39","37,99","29,37","12,20M","-14,63%"
"Jul 21","36,17","40,20","40,70","33,23","8,69M","-10,11%"
"Jun 21","40,24","41,38","41,38","37,44","4,80M","0,02%"
"Mai 21","40,23","45,00","45,67","38,78","3,40M","-10,60%"
"Abr 21","45,00","46,05","50,30","44,18","3,54M","-1,53%"
"Mar 21","45,70","47,47","49,67","44,70","2,51M","-2,77%"
"Fev 21","47,00","49,86","52,69","47,00","2,77M","-5,72%"
"Jan 21","49,85","42,11","51,30","41,48","5,69M","12,78%"
"Dez 20","44,20","50,99","50,99","40,10","5,81M","-12,06%"
"Nov 20","50,26","63,50","63,50","47,69","4,54M","-20,21%"
"Out 20","62,99","59,56","65,00","56,80","2,15M","6,24%"
"Set 20","59,29","56,28","59,29","50,93","1,68M","5,12%"
"Ago 20","56,40","48,93","58,00","47,55","590,24K","19,82%"
"Jul 20","47,07","41,43","50,71","41,12","430,64K","11,94%"
"Jun 20","42,05","39,13","43,14","37,68","302,68K","8,46%"
"Mai 20","38,77","37,64","45,29","37,61","351,40K","-1,02%"
"Abr 20","39,17","35,09","42,00","34,75","267,12K","11,34%"
"Mar 20","35,18","33,04","35,18","31,44","449,12K","8,38%"
"Fev 20","32,46","32,36","35,64","32,36","352,80K","3,94%"
"Jan 20","31,23","31,77","34,27","29,96","627,21K","0,97%"
