"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","32,23","32,80","32,83","31,78","7,38M","-1,32%"
"Jan 22","32,66","29,13","32,94","28,20","283,72M","13,21%"
"Dez 21","28,85","32,32","33,42","28,77","298,14M","-9,39%"
"Nov 21","31,84","28,57","31,84","28,08","306,30M","11,72%"
"Out 21","28,50","29,03","32,37","27,91","289,69M","-1,38%"
"Set 21","28,90","30,33","30,63","27,74","284,18M","-5,03%"
"Ago 21","30,43","31,61","32,41","28,67","307,87M","-3,79%"
"Jul 21","31,63","32,22","33,42","31,07","186,44M","-1,56%"
"Jun 21","32,13","33,64","36,58","32,05","301,62M","-4,06%"
"Mai 21","33,49","29,45","33,80","28,45","297,92M","14,42%"
"Abr 21","29,27","30,38","30,41","28,64","313,40M","-3,88%"
"Mar 21","30,45","28,51","31,41","26,89","472,47M","8,56%"
"Fev 21","28,05","33,80","34,57","27,91","441,38M","-17,16%"
"Jan 21","33,86","39,23","40,56","32,52","424,65M","-12,73%"
"Dez 20","38,80","34,43","39,79","34,24","327,15M","14,94%"
"Nov 20","33,76","30,15","35,95","29,64","394,97M","14,28%"
"Out 20","29,54","29,56","33,99","28,90","329,48M","0,61%"
"Set 20","29,36","32,75","34,37","29,21","311,54M","-8,99%"
"Ago 20","32,26","33,38","34,16","31,09","330,88M","-1,45%"
"Jul 20","32,73","31,60","35,29","31,37","374,98M","4,45%"
"Jun 20","31,34","30,00","37,21","29,79","478,09M","4,25%"
"Mai 20","30,06","26,68","32,10","24,13","465,47M","8,21%"
"Abr 20","27,78","26,22","30,85","23,40","481,49M","2,19%"
"Mar 20","27,19","45,41","46,06","21,36","576,11M","-40,18%"
"Fev 20","45,45","46,67","50,34","43,05","247,83M","-2,60%"
"Jan 20","46,66","51,29","51,88","46,19","286,51M","-8,10%"
"Dez 19","50,78","45,79","51,60","45,43","212,92M","10,89%"
"Nov 19","45,79","46,03","46,37","43,38","217,34M","0,08%"
"Out 19","45,76","43,44","46,96","40,87","346,26M","5,85%"
"Set 19","43,23","43,73","47,78","42,20","202,19M","-1,14%"
"Ago 19","43,73","46,66","47,28","41,08","223,38M","-5,17%"
"Jul 19","46,11","51,11","52,18","46,01","229,91M","-8,75%"
"Jun 19","50,53","48,76","50,85","46,79","209,11M","4,37%"
"Mai 19","48,42","45,65","49,10","41,25","238,60M","5,25%"
"Abr 19","46,00","45,73","46,58","42,74","232,80M","1,97%"
"Mar 19","45,11","46,87","50,56","42,96","229,78M","-3,44%"
"Fev 19","46,72","47,08","51,05","45,75","244,24M","-1,34%"
"Jan 19","47,35","42,19","48,17","42,09","224,20M","11,55%"
"Dez 18","42,45","41,52","42,45","38,68","162,33M","4,47%"
"Nov 18","40,63","38,60","41,80","35,83","245,49M","5,40%"
"Out 18","38,55","26,65","40,13","25,43","458,57M","45,16%"
"Set 18","26,56","26,84","27,69","24,13","217,96M","-1,86%"
"Ago 18","27,06","28,70","30,88","25,83","256,49M","-6,53%"
"Jul 18","28,95","25,19","30,06","25,12","218,89M","13,44%"
"Jun 18","25,52","27,66","27,89","21,50","312,52M","-5,38%"
"Mai 18","26,97","32,20","32,95","24,63","243,87M","-16,69%"
"Abr 18","32,38","36,21","36,83","31,67","173,77M","-10,55%"
"Mar 18","36,20","36,58","39,01","35,05","200,34M","-1,09%"
"Fev 18","36,60","34,52","37,89","32,62","175,64M","5,34%"
"Jan 18","34,74","28,09","35,11","28,09","219,74M","24,70%"
"Dez 17","27,86","26,15","28,34","25,86","151,34M","6,60%"
"Nov 17","26,13","30,35","30,39","26,13","186,17M","-12,51%"
"Out 17","29,87","30,16","32,81","29,87","155,80M","-1,32%"
"Set 17","30,27","26,82","31,20","26,82","172,32M","13,94%"
"Ago 17","26,56","24,82","28,04","24,72","164,74M","7,67%"
"Jul 17","24,67","23,18","25,79","22,74","120,11M","7,09%"
"Jun 17","23,04","24,52","24,82","21,90","164,23M","-5,16%"
"Mai 17","24,29","28,15","30,13","21,45","207,82M","-13,13%"
"Abr 17","27,96","28,74","29,19","26,05","122,28M","-2,72%"
"Mar 17","28,75","28,78","29,98","27,07","157,83M","2,32%"
"Fev 17","28,10","26,65","29,50","25,34","129,95M","6,40%"
"Jan 17","26,41","23,68","27,16","23,29","137,39M","10,75%"
"Dez 16","23,84","23,70","23,87","21,24","147,63M","-1,14%"
"Nov 16","24,12","24,77","24,84","19,45","201,48M","-2,32%"
"Out 16","24,69","19,31","24,79","19,31","186,58M","28,46%"
"Set 16","19,22","19,66","20,37","18,25","155,62M","-1,22%"
"Ago 16","19,46","17,61","20,41","16,69","199,37M","10,94%"
"Jul 16","17,54","14,32","18,25","13,81","221,52M","22,53%"
"Jun 16","14,32","13,54","14,54","12,82","232,10M","5,18%"
"Mai 16","13,61","18,04","18,14","13,11","256,80M","-24,92%"
"Abr 16","18,13","15,90","18,96","14,59","258,00M","11,84%"
"Mar 16","16,21","11,13","19,37","11,05","418,16M","47,52%"
"Fev 16","10,99","11,15","11,52","10,31","165,28M","-2,24%"
"Jan 16","11,24","11,72","11,82","10,16","135,79M","-6,04%"
"Dez 15","11,96","13,10","15,16","11,85","184,62M","-8,09%"
"Nov 15","13,01","12,88","15,20","12,74","150,45M","2,95%"
"Out 15","12,64","12,03","14,65","11,64","183,83M","5,07%"
"Set 15","12,03","13,63","14,56","11,32","182,05M","-13,34%"
"Ago 15","13,88","16,96","17,38","13,33","159,99M","-18,53%"
"Jul 15","17,04","18,84","18,93","15,23","125,15M","-9,18%"
"Jun 15","18,76","17,40","18,93","16,87","121,41M","8,13%"
"Mai 15","17,35","20,08","21,28","17,33","112,56M","-12,98%"
"Abr 15","19,94","17,48","20,54","17,36","144,49M","16,19%"
"Mar 15","17,16","17,32","17,94","15,40","130,34M","-1,87%"
"Fev 15","17,49","15,27","18,43","14,62","115,55M","15,24%"
"Jan 15","15,18","17,21","17,69","15,13","116,05M","-13,08%"
"Dez 14","17,46","21,09","21,43","15,58","102,68M","-18,72%"
"Nov 14","21,49","19,74","22,54","17,17","157,89M","7,17%"
"Out 14","20,05","18,06","24,78","16,27","341,11M","9,60%"
"Set 14","18,29","25,18","27,32","18,19","248,61M","-26,93%"
"Ago 14","25,03","19,69","25,03","19,23","165,60M","26,55%"
"Jul 14","19,78","17,81","21,33","17,20","130,78M","11,55%"
"Jun 14","17,73","16,16","19,12","15,98","118,57M","10,48%"
"Mai 14","16,05","16,33","17,63","15,38","149,43M","-2,40%"
"Abr 14","16,45","16,03","18,17","15,90","145,77M","2,68%"
"Mar 14","16,02","14,24","16,07","13,07","144,97M","11,95%"
"Fev 14","14,31","14,16","15,39","13,35","160,11M","-0,28%"
"Jan 14","14,35","16,79","16,81","13,67","132,51M","-14,39%"
"Dez 13","16,76","17,23","17,56","16,02","113,66M","-4,14%"
"Nov 13","17,48","20,24","20,27","16,08","178,04M","-13,32%"
"Out 13","20,17","17,69","20,17","17,33","120,72M","15,09%"
"Set 13","17,52","15,51","18,10","15,25","151,30M","13,60%"
"Ago 13","15,43","14,83","15,43","13,73","169,43M","5,24%"
"Jul 13","14,66","14,21","14,99","12,95","134,59M","2,44%"
"Jun 13","14,31","16,22","16,46","13,02","185,57M","-11,81%"
"Mai 13","16,22","16,02","17,39","15,46","135,92M","1,45%"
"Abr 13","15,99","17,34","18,19","15,69","180,47M","-8,45%"
"Mar 13","17,47","16,45","17,49","16,36","130,81M","6,26%"
"Fev 13","16,44","15,23","16,54","14,64","118,70M","7,95%"
"Jan 13","15,23","16,23","16,95","15,00","153,63M","-4,69%"
"Dez 12","15,98","13,55","16,10","13,39","99,54M","18,36%"
"Nov 12","13,50","13,31","14,15","12,57","112,17M","1,62%"
