"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","18,77","18,75","18,93","18,39","5,69M","-0,16%"
"Jan 22","18,80","16,26","18,95","16,26","152,44M","16,12%"
"Dez 21","16,19","17,00","18,25","16,06","156,53M","-4,88%"
"Nov 21","17,02","17,16","18,39","16,48","164,67M","0,12%"
"Out 21","17,00","17,93","18,61","16,77","158,41M","-4,82%"
"Set 21","17,86","19,97","20,22","16,45","145,35M","-10,43%"
"Ago 21","19,94","20,84","21,38","19,32","137,49M","-3,44%"
"Jul 21","20,65","21,30","21,83","20,51","128,96M","-5,54%"
"Jun 21","21,86","23,01","24,57","21,75","197,03M","-4,37%"
"Mai 21","22,86","20,98","23,04","20,18","139,14M","10,68%"
"Abr 21","20,65","21,38","21,62","20,00","113,42M","-12,15%"
"Mar 21","23,51","20,69","24,10","19,10","157,10M","14,18%"
"Fev 21","20,59","21,99","23,14","20,38","122,22M","-4,85%"
"Jan 21","21,64","24,48","25,15","21,16","113,41M","-10,51%"
"Dez 20","24,18","21,55","24,95","21,54","105,64M","13,57%"
"Nov 20","21,29","18,04","22,83","17,91","114,05M","19,26%"
"Out 20","17,85","17,69","20,71","17,39","126,05M","0,93%"
"Set 20","17,69","19,04","20,32","17,47","161,92M","-5,22%"
"Ago 20","18,66","20,40","20,61","18,49","105,68M","-8,12%"
"Jul 20","20,31","18,73","21,65","18,68","109,13M","9,43%"
"Jun 20","18,56","17,30","21,15","17,16","146,66M","6,62%"
"Mai 20","17,41","16,57","18,49","14,69","125,26M","1,47%"
"Abr 20","17,16","15,85","19,91","14,82","125,49M","2,79%"
"Mar 20","16,69","24,20","24,65","13,72","174,64M","-31,03%"
"Fev 20","24,20","27,78","29,11","23,48","73,67M","-12,74%"
"Jan 20","27,74","30,37","31,58","27,30","61,03M","-7,94%"
"Dez 19","30,13","27,27","30,84","27,19","63,88M","10,71%"
"Nov 19","27,21","28,73","29,15","26,44","58,98M","-4,82%"
"Out 19","28,59","26,51","29,87","24,74","67,41M","8,32%"
"Set 19","26,40","25,33","27,18","24,45","66,65M","3,20%"
"Ago 19","25,58","26,31","27,08","23,43","83,36M","-2,55%"
"Jul 19","26,25","28,35","30,28","26,16","56,38M","-6,47%"
"Jun 19","28,06","27,46","28,52","26,52","59,61M","2,50%"
"Mai 19","27,38","25,74","27,58","23,39","70,56M","5,38%"
"Abr 19","25,98","26,65","26,99","24,70","67,68M","-1,66%"
"Mar 19","26,42","27,11","28,04","24,44","70,18M","-1,72%"
"Fev 19","26,88","28,14","29,03","26,87","70,99M","-4,26%"
"Jan 19","28,07","23,68","28,72","23,38","73,32M","18,99%"
"Dez 18","23,59","23,51","23,83","22,15","55,46M","2,88%"
"Nov 18","22,93","20,88","23,94","20,88","70,73M","11,10%"
"Out 18","20,64","17,42","21,36","17,19","89,31M","17,56%"
"Set 18","17,56","16,96","17,96","16,14","44,90M","2,62%"
"Ago 18","17,11","18,80","19,71","16,37","52,38M","-9,88%"
"Jul 18","18,99","16,23","19,78","16,01","68,47M","15,25%"
"Jun 18","16,47","17,83","18,63","15,09","64,26M","-6,46%"
"Mai 18","17,61","21,36","21,60","17,51","65,88M","-18,20%"
"Abr 18","21,53","23,40","23,96","20,62","109,02M","-8,74%"
"Mar 18","23,59","22,72","23,81","22,09","37,10M","4,50%"
"Fev 18","22,58","24,07","24,09","21,03","44,78M","-6,31%"
"Jan 18","24,10","19,77","24,80","19,62","39,16M","22,74%"
"Dez 17","19,63","18,07","19,63","17,64","39,65M","8,17%"
"Nov 17","18,15","19,55","19,62","17,87","50,09M","-7,27%"
"Out 17","19,57","19,93","21,39","19,23","55,13M","-1,81%"
"Set 17","19,93","19,36","21,04","19,13","42,56M","3,62%"
"Ago 17","19,24","18,03","19,83","17,79","32,62M","7,03%"
"Jul 17","17,97","16,39","18,06","16,03","26,47M","9,92%"
"Jun 17","16,35","16,14","16,42","15,17","38,71M","2,10%"
"Mai 17","16,01","17,75","18,43","14,85","59,18M","-8,54%"
"Abr 17","17,51","17,31","17,73","16,49","34,66M","1,61%"
"Mar 17","17,23","17,68","17,69","16,50","65,25M","-1,72%"
"Fev 17","17,53","17,45","18,35","16,33","43,17M","1,58%"
"Jan 17","17,26","15,47","17,73","15,37","44,61M","10,36%"
"Dez 16","15,64","14,99","15,64","14,04","56,49M","1,02%"
"Nov 16","15,48","16,81","16,94","14,47","46,30M","-8,11%"
"Out 16","16,85","14,70","16,93","14,70","42,55M","14,29%"
"Set 16","14,74","15,13","15,85","14,25","49,65M","-2,52%"
"Ago 16","15,12","15,18","15,86","14,64","41,32M","-0,32%"
"Jul 16","15,17","14,15","15,53","13,73","45,83M","8,22%"
"Jun 16","14,02","12,68","14,15","12,58","49,06M","11,01%"
"Mai 16","12,63","14,62","15,25","12,35","40,00M","-12,69%"
"Abr 16","14,46","13,79","15,52","13,54","54,21M","2,78%"
"Mar 16","14,07","11,04","15,00","11,00","92,87M","29,36%"
"Fev 16","10,88","9,19","10,93","8,88","59,01M","18,89%"
"Jan 16","9,15","9,43","9,56","8,36","53,74M","-4,36%"
