"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","74,82","75,56","75,56","72,78","28,87K","0,23%"
"Jan 22","74,65","76,50","81,55","69,98","1,05M","-1,85%"
"Dez 21","76,06","67,67","78,91","66,68","946,24K","14,72%"
"Nov 21","66,30","78,84","87,99","66,30","1,44M","-15,05%"
"Out 21","78,05","74,00","80,13","73,57","631,65K","4,78%"
"Set 21","74,49","67,89","77,00","67,14","326,50K","9,82%"
"Ago 21","67,83","64,02","69,00","61,71","1,27M","4,05%"
"Jul 21","65,19","62,88","67,49","61,45","304,96K","4,67%"
"Jun 21","62,28","69,80","70,43","61,26","303,57K","-10,77%"
"Mai 21","69,80","77,04","77,39","65,47","370,79K","-9,34%"
"Abr 21","76,99","75,02","80,55","73,10","383,17K","2,65%"
"Mar 21","75,00","75,50","81,50","68,50","730,94K","0,07%"
"Fev 21","74,95","63,30","76,50","61,45","414,26K","23,50%"
"Jan 21","60,69","65,30","74,50","57,65","395,49K","-7,13%"
"Dez 20","65,35","62,50","67,32","59,37","298,60K","5,15%"
"Nov 20","62,15","53,40","66,00","51,98","444,62K","16,39%"
"Out 20","53,40","55,71","58,83","52,77","261,66K","-6,55%"
"Set 20","57,14","60,00","60,00","50,51","303,35K","-5,18%"
"Ago 20","60,26","50,87","61,60","50,00","282,80K","22,11%"
"Jul 20","49,35","50,53","55,23","48,56","549,71K","0,67%"
"Jun 20","49,02","51,04","52,14","46,21","65,59K","-3,16%"
"Mai 20","50,62","45,60","52,71","44,50","77,84K","9,42%"
"Abr 20","46,26","38,09","47,33","36,80","34,16K","24,29%"
"Mar 20","37,22","43,57","44,57","33,40","95,69K","-14,14%"
"Fev 20","43,35","44,69","49,68","42,49","103,74K","-5,80%"
"Jan 20","46,02","47,42","49,86","46,02","68,60K","-4,11%"
"Dez 19","47,99","45,49","47,99","45,04","29,40K","2,41%"
"Nov 19","46,86","46,59","46,86","43,41","56,70K","-0,23%"
"Out 19","46,97","47,36","48,43","45,56","44,80K","0,56%"
"Set 19","46,71","46,12","48,46","46,12","44,80K","1,24%"
"Ago 19","46,14","43,45","46,14","43,45","247,10K","14,21%"
"Jul 19","40,40","41,74","41,74","40,27","2,80K","1,69%"
"Jun 19","39,73","39,73","39,73","39,73","62,30K","-1,73%"
