"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","97,50","96,71","97,53","96,70","74,41K","0,83%"
"Jan 22","96,70","95,27","97,50","95,25","1,64M","0,77%"
"Dez 21","95,96","94,82","97,80","93,91","1,75M","0,17%"
"Nov 21","95,80","96,99","97,49","94,01","1,75M","-2,19%"
"Out 21","97,95","97,06","98,96","96,67","1,74M","-0,15%"
"Set 21","98,10","97,46","98,59","97,21","1,89M","-0,30%"
"Ago 21","98,40","98,89","99,28","97,50","2,20M","-1,29%"
"Jul 21","99,69","99,02","100,97","98,52","2,29M","-0,53%"
"Jun 21","100,22","98,81","101,25","95,00","2,40M","0,42%"
"Mai 21","99,80","100,11","100,75","99,11","2,14M","-0,21%"
"Abr 21","100,01","98,74","101,46","98,74","1,58M","-1,47%"
"Mar 21","101,50","98,95","102,02","98,00","1,82M","1,54%"
"Fev 21","99,96","99,37","101,32","98,12","1,39M","-2,00%"
"Jan 21","102,00","103,19","103,29","99,30","1,19M","-2,06%"
"Dez 20","104,15","96,06","104,40","95,47","1,04M","7,54%"
"Nov 20","96,85","94,67","98,00","94,47","803,98K","2,42%"
"Out 20","94,56","95,01","98,42","94,08","866,65K","-0,12%"
"Set 20","94,67","92,68","95,34","92,39","585,16K","1,96%"
"Ago 20","92,85","93,23","93,69","90,93","491,98K","-0,52%"
"Jul 20","93,33","98,58","102,18","90,55","635,10K","-5,31%"
"Jun 20","98,57","89,88","98,67","89,35","334,43M","10,33%"
"Mai 20","89,34","89,44","92,73","87,01","95,48M","-0,11%"
"Abr 20","89,44","81,71","90,08","76,28","103,93M","10,05%"
"Mar 20","81,27","93,89","96,83","60,23","283,91M","-13,41%"
"Fev 20","93,85","97,17","100,10","92,43","241,87M","-2,83%"
"Jan 20","96,58","103,08","107,56","96,58","388,00M","-6,15%"
"Dez 19","102,91","96,19","106,96","96,19","293,38M","8,04%"
"Nov 19","95,25","94,50","97,02","93,91","182,68M","1,42%"
"Out 19","93,92","93,35","98,59","91,41","171,04M","1,28%"
"Set 19","92,73","88,19","93,17","87,49","274,27M","5,74%"
"Ago 19","87,70","92,58","93,81","87,00","222,64M","-4,67%"
"Jul 19","92,00","86,41","92,05","86,09","111,37M","7,29%"
"Jun 19","85,75","81,52","85,76","80,87","157,94M","6,39%"
"Mai 19","80,60","80,58","81,22","80,05","84,21M","-0,21%"
"Abr 19","80,77","80,69","80,89","79,56","89,95M","0,15%"
"Mar 19","80,65","80,25","81,03","80,07","52,12M","0,55%"
"Fev 19","80,21","81,43","81,43","79,73","81,34M","-0,99%"
"Jan 19","81,01","80,01","81,59","79,89","136,81M","0,55%"
"Dez 18","80,57","80,32","81,20","79,07","66,02M","1,08%"
"Nov 18","79,71","80,56","80,56","77,45","30,23M","-0,37%"
"Out 18","80,00","76,75","80,09","76,75","23,62M","3,99%"
"Set 18","76,93","76,61","77,00","75,85","19,81M","0,72%"
"Ago 18","76,38","75,62","76,38","75,32","33,66M","1,94%"
"Jul 18","74,93","74,86","75,73","74,21","44,62M","0,12%"
"Jun 18","74,84","74,73","74,84","71,66","33,39M","0,79%"
"Mai 18","74,26","73,84","74,59","73,41","90,58M","0,87%"
"Abr 18","73,61","72,73","73,62","72,51","66,61M","1,78%"
"Mar 18","72,33","72,33","72,53","71,23","81,74M","0,42%"
"Fev 18","72,03","71,88","72,18","71,60","44,61M","0,93%"
"Jan 18","71,36","71,43","71,71","70,93","79,13M","0,35%"
"Dez 17","71,12","70,56","71,26","70,56","52,07M","0,95%"
"Nov 17","70,45","70,52","71,16","69,82","25,41M","0,66%"
"Out 17","69,99","70,06","70,55","69,28","29,84M","0,72%"
"Set 17","69,48","69,41","70,02","68,85","18,77M","0,21%"
"Ago 17","69,34","68,61","69,66","68,09","29,43M","1,93%"
"Jul 17","68,03","66,04","68,03","66,04","12,78M","3,29%"
"Jun 17","65,86","67,91","68,15","65,07","21,46M","-2,67%"
"Mai 17","67,67","68,01","68,01","65,98","43,59M","0,49%"
"Abr 17","67,33","67,33","67,66","67,05","48,20M","1,11%"
"Mar 17","66,59","66,59","68,58","66,26","41,44M","0,05%"
"Fev 17","66,56","68,47","68,47","65,57","22,76M","2,02%"
"Jan 17","65,24","65,63","65,89","63,94","20,10M","1,83%"
"Dez 16","64,07","66,28","66,48","63,74","34,80M","-0,51%"
"Nov 16","64,40","66,70","69,69","64,13","33,10M","-6,96%"
"Out 16","69,21","67,16","74,41","64,48","17,14M","3,81%"
"Set 16","66,67","64,55","79,17","62,49","20,24M","6,08%"
"Ago 16","62,85","60,45","64,36","60,45","20,92M","3,80%"
"Jul 16","60,55","60,86","61,15","59,16","37,95M","0,76%"
"Jun 16","60,09","58,05","61,85","58,05","26,18M","3,96%"
"Mai 16","57,81","58,67","58,67","56,66","19,81M","-0,20%"
"Abr 16","57,92","56,50","58,77","54,21","11,45M","0,69%"
"Mar 16","57,52","56,39","58,09","55,75","10,30M","3,34%"
"Fev 16","55,66","55,38","55,66","53,17","1,60M","1,11%"
"Jan 16","55,05","51,85","55,05","51,85","4,42M","0,60%"
"Dez 15","54,72","54,99","55,53","51,22","10,73M","-0,59%"
"Nov 15","55,05","54,41","55,05","52,22","9,54M","2,25%"
"Out 15","53,84","55,24","55,24","52,66","4,76M","0,42%"
"Set 15","53,61","51,50","53,61","51,50","11,92M","1,26%"
"Ago 15","52,94","52,45","52,97","51,50","26,15M","1,28%"
"Jul 15","52,27","51,80","52,27","49,95","22,34M","1,54%"
"Jun 15","51,48","51,04","51,51","49,55","37,09M","1,47%"
"Mai 15","50,73","50,31","50,73","49,18","28,39M","0,89%"
"Abr 15","50,28","49,82","50,80","48,84","24,82M","0,94%"
"Mar 15","49,81","49,35","49,81","48,39","29,91M","1,08%"
"Fev 15","49,28","48,87","49,28","48,15","31,20M","1,01%"
"Jan 15","48,79","47,86","48,79","47,84","74,27M","2,65%"
"Dez 14","47,53","46,83","47,53","46,62","52,99M","3,91%"
"Nov 14","45,74","45,85","46,10","45,74","11,04M","-0,21%"
"Out 14","45,83","45,40","45,86","44,95","45,69M","-0,05%"
