"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","50,65","51,00","51,08","49,00","108,01K","0,24%"
"Jan 22","50,53","57,90","60,72","47,57","2,76M","-12,50%"
"Dez 21","57,75","54,64","58,99","53,54","1,67M","7,14%"
"Nov 21","53,90","63,99","66,71","53,85","3,49M","-14,72%"
"Out 21","63,20","61,79","65,99","61,51","1,86M","2,28%"
"Set 21","61,79","62,64","66,19","59,56","3,03M","-1,36%"
"Ago 21","62,64","60,92","65,75","59,00","2,13M","2,69%"
"Jul 21","61,00","58,20","63,99","57,80","2,04M","4,60%"
"Jun 21","58,32","62,40","62,40","57,01","1,83M","-5,86%"
"Mai 21","61,95","68,00","68,67","58,86","2,12M","-8,15%"
"Abr 21","67,45","70,00","73,19","65,50","2,78M","-3,51%"
"Mar 21","69,90","72,50","79,45","68,17","3,09M","-0,85%"
"Fev 21","70,50","62,00","72,70","61,20","1,76M","13,73%"
"Jan 21","61,99","62,00","66,67","57,30","2,42M","-1,18%"
"Dez 20","62,73","53,33","63,83","51,56","2,59M","18,36%"
"Nov 20","53,00","46,37","55,06","45,27","2,40M","14,35%"
"Out 20","46,35","47,20","49,00","45,13","660,76K","-3,30%"
"Set 20","47,93","48,40","48,74","44,65","946,56K","-0,97%"
"Ago 20","48,40","41,60","50,67","41,07","599,70K","19,36%"
"Jul 20","40,55","41,13","43,60","39,65","548,70K","0,97%"
"Jun 20","40,16","41,67","43,20","38,35","1,41M","-3,62%"
"Mai 20","41,67","39,00","45,53","37,60","517,35K","5,73%"
"Abr 20","39,41","32,73","41,07","32,73","1,54M","16,19%"
"Mar 20","33,92","35,41","36,94","27,67","1,29M","-1,19%"
"Fev 20","34,33","40,60","41,48","34,33","646,50K","-12,60%"
"Jan 20","39,28","39,55","40,68","38,04","718,50K","1,95%"
"Dez 19","38,53","42,34","42,34","38,53","327,00K","-9,36%"
"Nov 19","42,51","34,92","43,33","34,81","243,00K","22,83%"
"Out 19","34,61","36,24","36,72","34,38","385,50K","-3,35%"
"Set 19","35,81","37,67","37,84","35,64","172,50K","-4,58%"
"Ago 19","37,53","36,62","38,02","35,24","484,50K","2,93%"
"Jul 19","36,46","35,64","36,68","34,78","211,50K","3,34%"
"Jun 19","35,28","33,85","36,35","33,79","249,00K","3,31%"
"Mai 19","34,15","35,23","36,93","34,15","367,50K","-3,61%"
"Abr 19","35,43","28,74","36,51","28,42","421,50K","23,84%"
"Mar 19","28,61","28,35","29,40","27,00","342,00K","2,77%"
"Fev 19","27,84","26,67","28,38","26,67","243,00K","4,04%"
"Jan 19","26,76","27,22","27,99","26,67","195,00K","-1,18%"
"Dez 18","27,08","29,09","29,09","26,60","328,50K","-7,32%"
"Nov 18","29,22","28,10","29,56","27,88","190,50K","4,17%"
"Out 18","28,05","30,87","30,87","26,93","619,50K","-8,78%"
"Set 18","30,75","30,46","31,04","29,38","321,00K","2,36%"
"Ago 18","30,04","27,82","30,76","27,64","892,50K","7,94%"
"Jul 18","27,83","26,37","28,91","26,37","207,00K","5,06%"
"Jun 18","26,49","24,04","26,84","24,04","264,00K","9,19%"
"Mai 18","24,26","22,72","25,45","22,69","366,00K","6,12%"
"Abr 18","22,86","21,42","23,14","21,42","219,00K","6,13%"
"Mar 18","21,54","21,63","22,27","21,38","202,50K","-1,78%"
"Fev 18","21,93","22,78","23,01","21,73","315,00K","-3,18%"
"Jan 18","22,65","23,54","23,74","22,63","198,00K","-2,45%"
"Dez 17","23,22","22,13","24,06","22,04","193,50K","4,69%"
"Nov 17","22,18","20,84","22,28","20,84","228,00K","7,31%"
"Out 17","20,67","20,34","20,97","19,73","136,50K","2,73%"
"Set 17","20,12","20,64","20,64","19,29","240,00K","-2,38%"
"Ago 17","20,61","22,16","22,16","20,45","301,50K","-7,08%"
"Jul 17","22,18","22,66","22,66","21,48","189,00K","-1,55%"
"Jun 17","22,53","22,41","22,72","21,89","321,00K","0,49%"
"Mai 17","22,42","23,08","23,08","21,33","388,50K","-4,64%"
"Abr 17","23,51","22,53","23,51","22,48","294,00K","5,14%"
"Mar 17","22,36","22,00","22,87","22,00","211,50K","3,90%"
"Fev 17","21,52","22,49","22,49","21,52","169,50K","-3,19%"
"Jan 17","22,23","22,00","22,46","21,71","210,00K","2,25%"
"Dez 16","21,74","21,77","22,88","21,72","211,50K","1,45%"
"Nov 16","21,43","19,34","21,52","19,07","291,00K","14,05%"
"Out 16","18,79","18,99","19,10","18,29","229,50K","-2,24%"
"Set 16","19,22","19,40","19,62","18,79","325,50K","-1,49%"
"Ago 16","19,51","19,78","19,97","19,17","405,00K","-1,46%"
"Jul 16","19,80","19,82","21,02","19,80","354,00K","-0,35%"
"Jun 16","19,87","22,38","22,38","19,61","342,00K","-12,04%"
"Mai 16","22,59","22,74","24,14","21,91","772,50K","0,62%"
"Abr 16","22,45","22,43","23,37","21,34","616,50K","-0,09%"
"Mar 16","22,47","24,07","24,28","22,03","675,00K","-7,23%"
"Fev 16","24,22","23,88","24,28","22,14","717,00K","0,79%"
"Jan 16","24,03","26,23","26,29","23,53","417,00K","-10,50%"
"Dez 15","26,85","27,84","27,97","26,08","508,50K","-3,94%"
"Nov 15","27,95","27,34","28,08","26,62","606,00K","0,32%"
"Out 15","27,86","25,74","28,22","24,66","354,00K","11,17%"
"Set 15","25,06","23,31","26,42","22,89","498,00K","7,78%"
"Ago 15","23,25","26,31","26,50","21,34","564,00K","-10,06%"
"Jul 15","25,85","22,58","26,05","22,24","289,50K","15,61%"
"Jun 15","22,36","21,90","22,36","21,21","82,50K","2,10%"
"Mai 15","21,90","21,15","21,90","20,15","157,50K","7,04%"
"Abr 15","20,46","20,53","21,01","19,85","301,50K","-3,13%"
"Mar 15","21,12","18,97","22,31","18,97","508,50K","12,58%"
"Fev 15","18,76","15,42","19,14","15,40","316,50K","20,33%"
"Jan 15","15,59","15,95","16,04","14,98","711,00K","-1,27%"
"Dez 14","15,79","14,64","16,28","14,59","624,00K","11,28%"
"Nov 14","14,19","14,09","14,48","13,80","510,00K","2,83%"
"Out 14","13,80","13,36","13,80","12,36","358,50K","2,07%"
"Set 14","13,52","12,61","13,52","12,31","355,50K","7,30%"
"Ago 14","12,60","11,95","12,60","11,95","21,00K","6,24%"
"Jul 14","11,86","11,90","11,90","11,57","19,50K","3,31%"
"Jun 14","11,48","11,72","11,72","11,37","180,00K","-0,69%"
"Mai 14","11,56","10,90","11,56","10,90","121,50K","6,06%"
"Abr 14","10,90","11,36","11,48","10,48","133,50K","-0,55%"
"Mar 14","10,96","11,94","11,94","10,96","151,50K","-6,40%"
