"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","40,78","40,52","41,35","40,27","1,12M","0,20%"
"Jan 22","40,70","38,50","40,91","37,08","26,16M","5,96%"
"Dez 21","38,41","38,56","40,01","38,14","24,71M","-0,31%"
"Nov 21","38,53","39,42","40,44","38,26","27,11M","-0,98%"
"Out 21","38,91","37,51","39,80","36,61","30,98M","3,87%"
"Set 21","37,46","37,74","39,63","37,46","33,37M","-0,24%"
"Ago 21","37,55","37,30","38,92","35,97","30,89M","-1,00%"
"Jul 21","37,93","39,15","40,37","37,91","25,61M","-3,12%"
"Jun 21","39,15","40,02","42,05","38,91","25,62M","-1,61%"
"Mai 21","39,79","40,10","41,08","38,47","36,83M","-0,31%"
"Abr 21","39,91","41,11","41,68","39,91","26,94M","-4,58%"
"Mar 21","41,83","41,26","42,74","38,31","49,18M","1,65%"
"Fev 21","41,15","43,52","46,60","41,05","30,83M","-4,21%"
"Jan 21","42,96","43,90","45,68","42,35","28,52M","-2,23%"
"Dez 20","43,94","41,74","45,19","41,60","35,18M","5,89%"
"Nov 20","41,50","39,40","44,98","38,68","41,36M","6,14%"
"Out 20","39,10","39,72","41,46","38,77","29,80M","-1,14%"
"Set 20","39,55","42,07","44,56","39,03","30,51M","-5,35%"
"Ago 20","41,78","44,77","45,07","41,18","36,40M","-5,98%"
"Jul 20","44,44","40,67","45,91","40,62","49,23M","9,69%"
"Jun 20","40,51","40,26","43,00","39,89","41,58M","-0,75%"
"Mai 20","40,82","36,35","41,15","34,23","40,55M","8,41%"
"Abr 20","37,65","36,48","40,12","35,56","39,31M","0,51%"
"Mar 20","37,46","46,13","48,97","35,45","60,86M","-18,11%"
"Fev 20","45,75","50,17","51,64","43,29","33,75M","-8,68%"
"Jan 20","50,10","49,09","52,29","48,71","24,84M","2,46%"
"Dez 19","48,89","43,81","49,78","43,26","25,58M","12,28%"
"Nov 19","43,55","42,38","44,23","40,99","26,76M","3,34%"
"Out 19","42,14","41,44","42,34","39,26","26,35M","1,96%"
"Set 19","41,33","42,18","42,69","40,32","21,42M","-1,31%"
"Ago 19","41,88","45,50","46,03","39,45","30,57M","-6,82%"
"Jul 19","44,94","40,92","46,09","40,10","24,99M","11,04%"
"Jun 19","40,47","43,12","44,26","38,73","38,88M","-6,15%"
"Mai 19","43,13","41,33","43,13","37,36","32,22M","4,34%"
"Abr 19","41,33","40,25","42,32","38,42","23,73M","4,17%"
"Mar 19","39,68","38,24","40,51","36,61","27,68M","3,77%"
"Fev 19","38,24","38,92","41,49","38,02","29,47M","-1,65%"
"Jan 19","38,88","30,98","40,95","30,92","32,53M","26,74%"
"Dez 18","30,68","31,93","33,88","29,89","27,67M","-2,58%"
"Nov 18","31,49","28,73","32,29","28,21","29,55M","10,74%"
"Out 18","28,44","25,41","28,59","25,20","33,74M","12,18%"
"Set 18","25,35","26,11","26,85","25,19","19,10M","-3,85%"
"Ago 18","26,36","25,53","26,90","24,83","28,22M","3,56%"
"Jul 18","25,46","23,29","25,82","23,10","17,65M","9,23%"
"Jun 18","23,31","25,25","25,85","22,57","26,45M","-7,46%"
"Mai 18","25,19","25,08","26,60","24,28","29,54M","0,00%"
"Abr 18","25,19","26,00","26,05","24,60","26,04M","-3,00%"
"Mar 18","25,97","25,95","26,65","25,12","24,11M","0,03%"
