"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","19,39","20,18","20,25","18,78","4,42M","-4,10%"
"Jan 22","20,22","18,01","20,39","15,85","49,02M","12,40%"
"Dez 21","17,99","17,56","19,75","16,77","33,17M","2,98%"
"Nov 21","17,47","19,00","21,80","17,07","43,03M","-7,22%"
"Out 21","18,83","22,11","22,13","18,21","50,29M","-14,87%"
"Set 21","22,12","23,70","24,60","22,12","33,11M","-6,51%"
"Ago 21","23,66","23,53","24,83","22,42","50,81M","1,28%"
"Jul 21","23,36","25,88","25,99","23,23","28,91M","-9,88%"
"Jun 21","25,92","26,43","27,88","25,64","30,23M","-2,08%"
"Mai 21","26,47","25,61","27,64","24,83","38,86M","3,60%"
"Abr 21","25,55","25,60","27,76","25,13","39,97M","-0,20%"
"Mar 21","25,60","26,60","26,81","23,95","44,89M","-4,58%"
"Fev 21","26,83","26,75","28,99","26,34","31,48M","2,17%"
"Jan 21","26,26","27,10","28,53","25,32","35,60M","-1,92%"
"Dez 20","26,78","26,31","27,82","25,42","35,83M","1,73%"
"Nov 20","26,32","27,35","29,23","25,99","40,35M","-2,89%"
"Out 20","27,10","26,37","28,53","25,82","37,84M","3,29%"
"Set 20","26,24","26,27","29,54","25,49","55,07M","1,46%"
"Ago 20","25,86","25,46","26,99","23,70","45,19M","1,91%"
"Jul 20","25,38","24,68","26,36","23,61","50,59M","4,15%"
"Jun 20","24,37","23,14","26,94","22,89","53,03M","5,31%"
"Mai 20","23,14","21,75","24,77","19,08","55,04M","2,41%"
"Abr 20","22,59","19,72","25,02","18,81","68,64M","12,65%"
"Mar 20","20,06","29,78","31,86","16,99","92,18M","-31,99%"
"Fev 20","29,49","30,08","33,08","28,18","40,88M","-1,97%"
"Jan 20","30,08","30,06","31,90","29,12","40,24M","1,91%"
"Dez 19","29,52","27,56","29,87","27,20","36,46M","7,12%"
"Nov 19","27,56","24,59","27,70","24,36","33,46M","11,98%"
"Out 19","24,61","25,54","25,54","23,12","30,84M","-3,67%"
"Set 19","25,54","23,20","25,57","22,40","31,25M","10,08%"
"Ago 19","23,21","22,56","23,78","21,45","45,71M","2,87%"
"Jul 19","22,56","20,79","23,13","20,40","40,23M","10,21%"
"Jun 19","20,47","19,08","20,79","18,88","31,48M","7,83%"
