"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","23,30","22,60","23,30","22,33","39,40K","3,10%"
"Jan 22","22,60","22,47","23,84","21,66","1,07M","0,58%"
"Dez 21","22,47","21,55","24,81","21,00","1,36M","6,80%"
"Nov 21","21,04","20,65","21,50","18,84","1,50M","2,63%"
"Out 21","20,50","20,40","21,56","19,22","2,14M","0,10%"
"Set 21","20,48","21,01","21,25","17,41","2,94M","-3,12%"
"Ago 21","21,14","23,18","23,90","20,58","2,04M","-8,76%"
"Jul 21","23,17","22,87","24,06","21,88","2,14M","2,80%"
"Jun 21","22,54","25,11","25,52","21,72","3,42M","-8,30%"
"Mai 21","24,58","24,64","27,13","23,29","3,60M","1,82%"
"Abr 21","24,14","21,23","25,43","20,61","3,58M","13,98%"
"Mar 21","21,18","18,70","21,49","18,22","3,27M","14,86%"
"Fev 21","18,44","17,30","20,07","16,85","2,82M","7,46%"
"Jan 21","17,16","17,63","21,58","16,54","2,72M","-2,61%"
"Dez 20","17,62","16,17","18,08","16,05","2,30M","9,99%"
"Nov 20","16,02","15,58","16,77","14,83","2,55M","3,42%"
"Out 20","15,49","14,75","16,69","14,22","2,46M","6,39%"
"Set 20","14,56","13,72","15,39","13,59","2,38M","6,05%"
"Ago 20","13,73","12,61","14,55","12,26","2,62M","8,88%"
"Jul 20","12,61","11,51","13,33","11,05","3,37M","9,56%"
"Jun 20","11,51","9,75","11,75","9,50","3,70M","22,19%"
"Mai 20","9,42","8,68","9,97","7,97","2,32M","2,39%"
"Abr 20","9,20","7,70","9,39","7,03","2,83M","15,58%"
"Mar 20","7,96","12,49","14,37","6,26","3,11M","-36,98%"
"Fev 20","12,63","15,36","16,34","11,97","1,06M","-19,14%"
"Jan 20","15,62","14,72","16,71","14,54","1,13M","6,84%"
"Dez 19","14,62","12,17","14,62","11,99","985,20K","19,74%"
"Nov 19","12,21","9,47","12,80","9,47","1,92M","28,53%"
"Out 19","9,50","9,37","9,61","8,91","1,04M","1,50%"
"Set 19","9,36","9,45","9,96","9,11","1,06M","0,00%"
"Ago 19","9,36","10,07","10,07","8,69","1,57M","-6,49%"
"Jul 19","10,01","10,66","10,91","9,78","1,39M","-5,39%"
"Jun 19","10,58","9,77","10,58","9,55","621,30K","8,29%"
"Mai 19","9,77","9,80","10,10","9,47","611,50K","0,00%"
"Abr 19","9,77","10,31","11,15","9,62","951,70K","-4,78%"
"Mar 19","10,26","10,51","10,94","10,06","809,50K","-1,44%"
"Fev 19","10,41","10,76","11,01","10,27","620,30K","-1,79%"
"Jan 19","10,60","10,30","10,97","9,93","1,01M","3,82%"
"Dez 18","10,21","10,48","10,70","9,52","1,31M","0,59%"
"Nov 18","10,15","10,62","11,28","9,71","1,17M","-5,23%"
"Out 18","10,71","10,97","11,22","9,91","1,31M","-2,81%"
"Set 18","11,02","10,71","11,17","9,78","874,40K","4,95%"
"Ago 18","10,50","10,00","10,86","9,45","2,22M","3,45%"
"Jul 18","10,15","8,65","10,59","8,65","1,15M","16,00%"
"Jun 18","8,75","9,61","10,18","8,18","4,33M","-6,32%"
"Mai 18","9,34","11,20","12,40","9,29","1,46M","-18,21%"
"Abr 18","11,42","10,79","11,99","10,39","976,10K","7,03%"
"Mar 18","10,67","10,97","11,53","10,06","1,51M","-2,65%"
"Fev 18","10,96","10,01","11,38","9,30","1,44M","9,49%"
"Jan 18","10,01","8,43","10,58","8,43","1,66M","19,17%"
"Dez 17","8,40","7,76","8,61","7,58","869,70K","8,81%"
"Nov 17","7,72","8,78","8,97","7,72","2,08M","-11,77%"
"Out 17","8,75","8,91","9,77","8,40","2,15M","-1,69%"
"Set 17","8,90","9,68","10,87","8,53","2,22M","-6,32%"
"Ago 17","9,50","8,57","9,74","8,40","12,96M","10,85%"
"Jul 17","8,57","8,19","9,00","8,13","7,77M","4,64%"
"Jun 17","8,19","7,65","8,27","7,08","8,77M","7,48%"
"Mai 17","7,62","7,79","8,29","6,12","8,60M","-2,18%"
"Abr 17","7,79","8,45","8,82","7,18","6,23M","-8,35%"
"Mar 17","8,50","7,41","9,95","7,26","32,59M","15,65%"
"Fev 17","7,35","7,06","7,65","6,87","5,35M","5,76%"
"Jan 17","6,95","6,32","7,61","6,10","5,68M","9,11%"
"Dez 16","6,37","7,63","7,78","5,90","4,04M","-16,51%"
"Nov 16","7,63","6,51","8,18","5,86","10,29M","17,20%"
"Out 16","6,51","5,34","6,54","5,15","5,14M","23,53%"
"Set 16","5,27","5,11","5,74","4,82","6,27M","1,54%"
"Ago 16","5,19","4,43","5,92","4,24","6,93M","17,16%"
"Jul 16","4,43","3,40","4,58","3,35","5,90M","29,15%"
"Jun 16","3,43","3,19","3,68","3,13","8,58M","8,89%"
"Mai 16","3,15","4,53","4,56","3,13","5,57M","-30,46%"
"Abr 16","4,53","3,75","4,84","3,53","6,81M","17,05%"
"Mar 16","3,87","2,24","3,97","2,20","9,57M","75,11%"
"Fev 16","2,21","2,13","2,70","2,08","3,84M","6,25%"
"Jan 16","2,08","2,79","2,79","1,95","10,12M","-25,45%"
"Dez 15","2,79","3,39","3,52","2,67","4,89M","-15,96%"
"Nov 15","3,32","3,31","3,71","2,99","9,93M","2,15%"
"Out 15","3,25","3,47","4,16","3,18","8,95M","-7,14%"
"Set 15","3,50","3,43","4,44","3,38","4,57M","-1,13%"
"Ago 15","3,54","3,88","4,15","3,08","4,24M","-10,38%"
"Jul 15","3,95","4,81","4,81","3,66","6,54M","-17,71%"
"Jun 15","4,80","5,62","5,83","4,66","6,47M","-15,04%"
"Mai 15","5,65","6,00","6,39","5,58","6,25M","-6,77%"
"Abr 15","6,06","6,05","6,23","5,43","2,35M","-0,66%"
"Mar 15","6,10","6,33","6,68","5,79","18,35M","-5,43%"
"Fev 15","6,45","5,74","6,67","5,73","12,87M","13,56%"
"Jan 15","5,68","6,09","6,70","5,40","1,10M","-8,39%"
"Dez 14","6,20","7,01","7,01","5,28","854,60K","-11,55%"
"Nov 14","7,01","7,07","7,42","6,61","1,00M","-0,28%"
"Out 14","7,03","7,58","8,15","6,81","2,27M","-8,58%"
"Set 14","7,69","8,18","8,67","7,53","2,48M","-5,99%"
"Ago 14","8,18","8,25","8,54","7,72","2,49M","-0,37%"
"Jul 14","8,21","7,92","8,85","7,92","1,48M","4,06%"
"Jun 14","7,89","8,34","8,76","7,89","1,30M","-5,05%"
"Mai 14","8,31","8,26","9,08","8,23","1,11M","1,59%"
"Abr 14","8,18","8,94","8,96","8,10","2,12M","-8,71%"
"Mar 14","8,96","8,84","9,09","8,18","1,74M","1,70%"
"Fev 14","8,81","10,54","10,54","8,65","2,77M","-17,51%"
"Jan 14","10,68","11,36","11,46","10,11","2,00M","-5,99%"
"Dez 13","11,36","11,29","11,85","10,94","2,31M","0,62%"
"Nov 13","11,29","11,04","11,74","10,84","1,54M","1,80%"
"Out 13","11,09","10,27","11,45","10,15","2,17M","8,41%"
"Set 13","10,23","10,89","11,19","10,19","3,25M","-4,21%"
"Ago 13","10,68","9,46","10,87","9,17","4,02M","14,84%"
"Jul 13","9,30","8,19","9,66","8,19","1,92M","12,32%"
"Jun 13","8,28","8,95","9,17","7,97","3,27M","-7,49%"
"Mai 13","8,95","10,17","10,19","8,91","1,92M","-10,77%"
"Abr 13","10,03","10,32","10,35","9,36","2,28M","-2,90%"
"Mar 13","10,33","10,59","10,97","9,69","2,77M","-3,46%"
"Fev 13","10,70","11,36","11,65","10,36","2,15M","-5,89%"
"Jan 13","11,37","11,71","12,58","10,81","3,73M","-0,35%"
"Dez 12","11,41","10,98","11,57","10,80","4,25M","4,01%"
"Nov 12","10,97","10,74","11,56","10,43","2,24M","0,73%"
"Out 12","10,89","11,51","11,82","10,49","1,93M","-7,24%"
"Set 12","11,74","10,87","12,68","10,65","2,89M","7,61%"
"Ago 12","10,91","11,10","12,09","10,64","2,64M","-2,06%"
"Jul 12","11,14","10,55","11,14","9,83","2,87M","4,01%"
"Jun 12","10,71","9,72","10,96","9,67","3,51M","7,21%"
"Mai 12","9,99","10,69","10,89","9,46","3,74M","-7,84%"
"Abr 12","10,84","10,43","11,01","10,02","2,69M","4,13%"
"Mar 12","10,41","10,73","11,49","10,14","3,25M","-2,25%"
"Fev 12","10,65","10,01","10,89","9,91","3,12M","6,39%"
