"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","102,40","95,95","106,78","94,74","290,89K","6,71%"
"Jan 22","95,96","109,50","110,88","91,00","7,06M","-11,20%"
"Dez 21","108,06","107,55","113,07","103,00","3,83M","1,46%"
"Nov 21","106,51","111,57","112,12","105,00","5,43M","-4,53%"
"Out 21","111,56","97,12","111,76","95,01","3,35M","14,26%"
"Set 21","97,64","100,10","102,01","95,30","5,31M","-2,37%"
"Ago 21","100,01","93,10","101,29","91,72","6,09M","6,59%"
"Jul 21","93,83","81,25","95,25","80,56","2,25M","15,44%"
"Jun 21","81,28","82,05","83,29","79,63","1,54M","-1,72%"
"Mai 21","82,70","85,98","86,00","76,96","1,71M","-3,05%"
"Abr 21","85,30","79,00","87,64","78,90","2,52M","9,50%"
"Mar 21","77,90","76,29","80,56","73,62","2,61M","2,11%"
"Fev 21","76,29","67,50","77,76","66,80","2,49M","13,54%"
"Jan 21","67,19","60,21","69,89","59,71","2,96M","11,61%"
"Dez 20","60,20","63,15","64,20","58,04","2,54M","-4,44%"
"Nov 20","63,00","61,96","66,80","60,31","2,64M","2,44%"
"Out 20","61,50","55,83","65,00","53,59","2,59M","11,39%"
"Set 20","55,21","61,00","61,67","51,01","2,30M","-7,85%"
"Ago 20","59,91","52,30","61,85","51,77","1,35M","15,61%"
"Jul 20","51,82","51,17","56,35","50,61","1,51M","1,27%"
"Jun 20","51,17","51,15","52,50","46,67","1,54M","0,04%"
"Mai 20","51,15","48,65","55,31","48,20","1,09M","5,14%"
"Abr 20","48,65","39,50","49,60","38,17","2,31M","20,93%"
"Mar 20","40,23","44,17","44,17","34,54","2,47M","-1,49%"
"Fev 20","40,84","41,45","45,98","38,33","1,05M","-0,37%"
"Jan 20","40,99","37,00","41,97","36,47","766,20K","13,96%"
"Dez 19","35,97","36,97","37,50","35,45","727,80K","-2,70%"
"Nov 19","36,97","33,75","37,50","33,44","481,80K","9,90%"
"Out 19","33,64","34,58","34,60","31,67","540,60K","-0,94%"
"Set 19","33,96","32,67","34,64","32,30","443,40K","2,97%"
"Ago 19","32,98","31,40","33,21","30,23","931,80K","5,77%"
"Jul 19","31,18","28,07","31,83","28,05","858,60K","12,69%"
"Jun 19","27,67","27,50","30,33","26,72","597,60K","-5,88%"
"Mai 19","29,40","31,00","32,28","28,95","502,20K","-6,31%"
"Abr 19","31,38","30,83","34,31","30,64","636,60K","2,15%"
"Mar 19","30,72","28,67","32,00","28,67","449,40K","9,32%"
"Fev 19","28,10","27,43","28,83","26,98","361,20K","3,31%"
"Jan 19","27,20","26,95","27,98","25,59","691,80K","0,93%"
"Dez 18","26,95","28,77","28,77","25,51","415,20K","-3,85%"
"Nov 18","28,03","26,69","28,03","25,83","624,60K","3,36%"
"Out 18","27,12","32,84","32,84","25,17","1,47M","-16,24%"
"Set 18","32,38","34,30","34,30","31,61","851,40K","-3,40%"
"Ago 18","33,52","30,88","35,33","30,55","627,60K","8,44%"
"Jul 18","30,91","29,43","32,17","29,22","817,80K","5,35%"
"Jun 18","29,34","27,71","30,17","27,71","1,60M","9,44%"
"Mai 18","26,81","24,63","26,93","24,04","708,60K","11,80%"
"Abr 18","23,98","22,20","24,84","22,20","1,42M","5,04%"
"Mar 18","22,83","24,06","25,50","22,37","1,03M","-5,23%"
"Fev 18","24,09","24,93","25,11","22,15","1,27M","-4,29%"
"Jan 18","25,17","23,37","25,54","22,67","810,60K","7,47%"
"Dez 17","23,42","22,52","23,82","22,04","336,00K","3,49%"
"Nov 17","22,63","22,67","23,15","22,14","363,60K","-0,22%"
"Out 17","22,68","20,37","22,83","20,14","387,60K","10,74%"
"Set 17","20,48","20,02","20,48","19,38","544,80K","1,79%"
"Ago 17","20,12","19,68","20,86","19,28","597,60K","2,03%"
"Jul 17","19,72","20,64","21,02","19,69","535,80K","-5,83%"
"Jun 17","20,94","21,14","22,07","20,68","336,00K","-1,41%"
"Mai 17","21,24","19,90","21,71","19,58","379,80K","8,37%"
"Abr 17","19,60","17,80","19,60","17,47","300,60K","10,30%"
"Mar 17","17,77","17,75","18,28","17,24","256,80K","1,20%"
"Fev 17","17,56","17,03","17,62","16,96","253,80K","1,97%"
"Jan 17","17,22","17,41","18,19","17,19","256,80K","-1,09%"
"Dez 16","17,41","17,65","18,50","17,41","226,80K","-1,36%"
"Nov 16","17,65","17,42","18,01","16,84","547,80K","2,80%"
"Out 16","17,17","17,07","17,56","17,05","458,40K","-1,77%"
"Set 16","17,48","17,00","17,78","17,00","419,40K","3,13%"
"Ago 16","16,95","17,43","17,46","16,67","502,20K","-1,11%"
"Jul 16","17,14","15,30","17,14","15,11","881,40K","14,42%"
"Jun 16","14,98","18,07","18,07","14,86","565,80K","-16,87%"
