"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","12,43","12,59","12,78","12,25","24,46M","-1,82%"
"Jan 22","12,66","10,38","12,74","9,30","635,15M","21,97%"
"Dez 21","10,38","10,93","12,69","9,97","405,44M","-4,86%"
"Nov 21","10,91","11,75","13,92","10,53","343,36M","-5,46%"
"Out 21","11,54","13,53","13,94","10,94","456,23M","-15,08%"
"Set 21","13,59","14,89","15,47","13,37","262,30M","-7,68%"
"Ago 21","14,72","14,38","15,74","13,65","319,26M","3,44%"
"Jul 21","14,23","15,33","15,70","14,06","179,65M","-7,66%"
"Jun 21","15,41","15,97","16,25","15,01","199,80M","-3,69%"
"Mai 21","16,00","14,43","16,19","14,12","229,45M","10,82%"
"Abr 21","14,44","14,99","15,55","14,16","216,93M","-2,97%"
"Mar 21","14,88","17,20","17,29","14,53","301,69M","-4,00%"
"Fev 21","15,50","17,69","18,30","15,20","167,23M","-9,73%"
"Jan 21","17,17","15,38","18,48","13,85","280,65M","12,52%"
"Dez 20","15,26","14,48","15,78","14,25","135,17M","5,83%"
"Nov 20","14,42","13,03","15,14","12,86","205,62M","12,01%"
"Out 20","12,87","12,45","13,71","12,26","186,77M","3,59%"
"Set 20","12,43","13,07","13,91","11,96","198,96M","-3,78%"
"Ago 20","12,92","13,13","13,33","12,00","190,39M","-0,63%"
"Jul 20","13,00","12,44","13,52","11,60","207,12M","4,78%"
"Jun 20","12,41","10,84","12,77","10,70","259,71M","13,32%"
"Mai 20","10,95","9,95","11,25","9,04","255,06M","4,61%"
"Abr 20","10,46","8,08","11,17","7,31","309,01M","23,72%"
"Mar 20","8,46","11,03","11,37","5,65","496,66M","-23,19%"
"Fev 20","11,01","11,99","12,49","10,12","271,53M","-8,11%"
"Jan 20","11,98","12,98","13,78","11,71","314,40M","-5,78%"
"Dez 19","12,72","11,09","13,06","10,85","218,47M","14,72%"
"Nov 19","11,09","11,21","11,55","10,62","443,63M","-1,07%"
"Out 19","11,21","10,67","11,58","10,33","212,62M","4,55%"
"Set 19","10,72","10,29","10,82","9,36","235,36M","4,14%"
"Ago 19","10,29","8,35","10,29","8,16","214,05M","23,71%"
"Jul 19","8,32","7,84","8,86","7,19","264,15M","6,46%"
"Jun 19","7,81","7,29","8,00","7,13","117,77M","7,21%"
"Mai 19","7,29","5,94","7,53","5,91","207,70M","21,55%"
"Abr 19","6,00","6,10","6,21","5,42","126,31M","-1,21%"
"Mar 19","6,07","6,38","6,60","5,61","216,98M","-5,62%"
"Fev 19","6,43","6,78","6,85","6,18","125,01M","-4,82%"
"Jan 19","6,76","6,18","7,00","5,94","127,01M","9,74%"
"Dez 18","6,16","5,58","6,23","5,50","126,21M","10,90%"
"Nov 18","5,55","5,07","5,77","4,76","126,08M","11,11%"
"Out 18","5,00","4,70","5,25","4,47","145,42M","6,17%"
"Set 18","4,71","5,07","5,14","4,13","107,53M","-7,30%"
"Ago 18","5,08","5,45","5,68","4,71","162,75M","-8,06%"
"Jul 18","5,52","5,76","6,02","5,31","95,26M","-5,79%"
"Jun 18","5,86","6,01","6,08","5,03","125,90M","-0,37%"
"Mai 18","5,88","5,30","6,43","5,18","168,98M","8,50%"
