"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","168,10","169,45","171,40","168,10","22,11K","-1,44%"
"Jan 22","170,55","169,60","174,64","165,15","663,13K","-0,01%"
"Dez 21","170,56","159,54","171,00","159,28","664,20K","6,60%"
"Nov 21","160,00","165,98","166,46","154,90","704,09K","-4,19%"
"Out 21","167,00","164,50","169,15","162,60","658,76K","1,21%"
"Set 21","165,00","162,43","165,55","160,50","735,83K","1,35%"
"Ago 21","162,81","169,00","169,21","162,02","993,07K","-3,65%"
"Jul 21","168,97","167,36","174,32","163,52","1,12M","0,22%"
"Jun 21","168,60","169,00","172,78","156,62","990,16K","-0,55%"
"Mai 21","169,54","172,98","172,98","168,01","629,36K","-2,12%"
"Abr 21","173,22","174,39","174,39","169,24","725,55K","-1,57%"
"Mar 21","175,99","178,95","180,00","169,61","1,26M","-1,68%"
"Fev 21","179,00","178,00","180,60","174,81","786,33K","-0,36%"
"Jan 21","179,65","179,50","184,57","178,40","870,31K","-0,75%"
"Dez 20","181,00","167,70","181,39","167,01","867,79K","7,93%"
"Nov 20","167,70","164,73","169,98","162,00","816,28K","2,74%"
"Out 20","163,22","168,20","174,26","157,26","981,81K","-3,18%"
"Set 20","168,58","168,58","173,55","163,65","1,98M","-6,20%"
"Ago 20","179,72","177,75","189,49","168,16","583,17K","1,55%"
"Jul 20","176,98","174,75","181,39","162,85","1,09M","1,61%"
"Jun 20","174,17","166,43","177,31","165,88","586,07K","4,84%"
"Mai 20","166,13","155,22","167,54","148,86","562,89K","5,65%"
"Abr 20","157,25","142,71","165,80","134,52","586,96K","10,00%"
"Mar 20","142,95","159,42","165,42","97,23","1,20M","-10,33%"
"Fev 20","159,42","177,18","177,38","154,88","649,22K","-7,17%"
"Jan 20","171,74","184,75","199,07","161,31","1,06M","-6,75%"
"Dez 19","184,17","161,70","187,57","159,92","743,70K","14,04%"
"Nov 19","161,50","144,08","161,89","143,66","826,86K","12,48%"
"Out 19","143,58","136,33","145,07","135,45","944,54K","5,32%"
"Set 19","136,33","133,68","137,31","133,68","803,50K","1,30%"
"Ago 19","134,58","133,90","137,84","129,98","1,25M","-3,98%"
"Jul 19","140,16","130,27","141,15","129,77","628,64K","8,16%"
"Jun 19","129,58","130,01","135,19","127,38","688,33K","-0,02%"
