"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","113,92","114,85","115,97","113,55","21,58K","-1,07%"
"Jan 22","115,15","117,89","118,24","110,50","852,42K","-2,61%"
"Dez 21","118,24","106,88","118,50","106,70","759,71K","9,89%"
"Nov 21","107,60","112,28","112,30","102,10","751,61K","-3,93%"
"Out 21","112,00","113,00","114,50","110,65","747,05K","-0,88%"
"Set 21","113,00","116,61","117,00","110,99","856,57K","-3,13%"
"Ago 21","116,65","120,50","120,77","112,16","787,56K","-3,15%"
"Jul 21","120,44","117,00","121,99","115,51","827,68K","2,94%"
"Jun 21","117,00","119,56","122,89","110,01","952,44K","-2,62%"
"Mai 21","120,15","122,34","122,95","115,96","1,39M","-1,25%"
"Abr 21","121,67","123,20","123,75","120,92","917,60K","-1,79%"
"Mar 21","123,89","128,10","128,59","121,80","1,05M","-3,21%"
"Fev 21","128,00","128,67","131,49","126,05","967,18K","-0,53%"
"Jan 21","128,68","129,30","130,50","126,03","1,15M","-0,50%"
"Dez 20","129,33","125,50","130,00","123,37","1,34M","1,12%"
"Nov 20","127,90","126,03","129,94","125,50","804,45K","2,06%"
"Out 20","125,32","126,70","131,07","123,59","1,16M","-1,11%"
"Set 20","126,73","126,05","131,66","125,15","935,27K","0,69%"
"Ago 20","125,87","123,21","129,05","122,47","836,77K","2,70%"
"Jul 20","122,56","122,85","127,60","119,54","1,30M","0,34%"
"Jun 20","122,14","109,17","125,95","108,90","907,71K","11,02%"
"Mai 20","110,02","109,75","110,84","104,59","965,49K","2,22%"
"Abr 20","107,62","101,18","108,18","97,37","555,35K","7,01%"
"Mar 20","100,57","120,11","124,13","74,16","990,47K","-16,08%"
"Fev 20","119,84","121,48","129,02","118,64","1,00M","-0,84%"
"Jan 20","120,85","118,32","127,48","118,31","2,43M","-1,07%"
"Dez 19","122,15","114,81","131,61","113,10","378,25K","1,99%"
"Nov 19","119,77","104,34","119,77","102,52","362,82K","15,44%"
"Out 19","103,76","96,44","104,63","95,30","445,88K","7,40%"
"Set 19","96,61","96,06","97,67","94,98","121,95K","0,80%"
"Ago 19","95,85","94,45","97,22","94,43","60,03K","1,48%"
"Jul 19","94,45","91,46","96,07","90,00","39,65K","3,72%"
"Jun 19","91,06","90,22","92,00","88,85","44,63K","0,31%"
"Mai 19","90,78","95,52","96,59","87,06","75,09K","-5,45%"
"Abr 19","96,01","93,13","96,43","92,23","53,83K","3,72%"
"Mar 19","92,56","88,48","94,19","87,67","60,85K","6,26%"
"Fev 19","87,11","86,70","88,74","86,34","62,05K","0,73%"
"Jan 19","86,47","82,91","93,02","82,91","20,60K","2,67%"
"Dez 18","84,22","82,22","84,55","81,41","20,63K","4,05%"
"Nov 18","80,95","79,83","81,71","79,83","59,96K","2,17%"
"Out 18","79,23","79,99","81,51","78,98","28,55K","-1,27%"
"Set 18","80,25","80,80","81,82","78,77","28,54K","-0,69%"
"Ago 18","80,81","82,62","85,37","79,47","70,08K","-4,02%"
