"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","68,46","68,50","70,58","67,59","40,99K","-1,55%"
"Jan 22","69,54","84,00","87,43","67,33","1,17M","-14,38%"
"Dez 21","81,22","80,84","85,17","77,66","719,20K","0,20%"
"Nov 21","81,06","75,58","83,02","70,47","686,39K","7,72%"
"Out 21","75,25","63,82","77,06","62,38","551,15K","17,91%"
"Set 21","63,82","59,97","65,85","59,00","561,70K","6,03%"
"Ago 21","60,19","60,91","63,77","59,30","950,46K","-1,18%"
"Jul 21","60,91","56,40","62,13","56,40","532,63K","7,05%"
"Jun 21","56,90","58,70","59,50","53,20","551,87K","-1,73%"
"Mai 21","57,90","62,75","64,99","57,30","676,47K","-5,39%"
"Abr 21","61,20","61,78","66,25","61,20","745,71K","-0,94%"
"Mar 21","61,78","50,22","63,11","49,70","938,32K","19,75%"
"Fev 21","51,59","53,81","54,87","48,88","778,76K","-1,90%"
"Jan 21","52,59","48,69","55,82","47,71","624,82K","7,15%"
"Dez 20","49,08","52,48","54,57","46,72","902,78K","-6,41%"
"Nov 20","52,44","55,13","57,51","50,64","1,06M","-2,22%"
"Out 20","53,63","55,88","57,69","53,62","760,13K","-2,15%"
"Set 20","54,81","53,42","55,23","50,62","984,56K","-0,80%"
"Ago 20","55,25","50,22","57,59","49,63","563,36K","14,08%"
"Jul 20","48,43","48,14","49,28","46,35","525,28K","1,96%"
"Jun 20","47,50","46,73","47,50","42,67","358,54K","3,22%"
"Mai 20","46,02","42,47","50,08","42,47","768,74K","9,29%"
"Abr 20","42,11","33,14","43,69","32,45","733,32K","21,81%"
"Mar 20","34,57","34,67","37,97","27,42","1,19M","3,44%"
"Fev 20","33,42","34,36","37,63","33,42","385,84K","-2,42%"
"Jan 20","34,25","30,61","34,57","30,61","313,60K","12,89%"
"Dez 19","30,34","31,91","31,91","30,08","331,80K","-5,98%"
"Nov 19","32,27","32,62","34,55","31,60","264,60K","-0,62%"
"Out 19","32,47","33,45","33,94","31,93","369,60K","-2,14%"
"Set 19","33,18","32,18","33,18","32,18","169,40K","3,24%"
"Ago 19","32,14","27,81","32,28","27,51","491,40K","13,49%"
"Jul 19","28,32","27,69","28,38","27,17","187,60K","3,43%"
"Jun 19","27,38","25,27","27,85","25,10","247,80K","7,71%"
"Mai 19","25,42","26,95","27,25","25,42","224,00K","-6,13%"
"Abr 19","27,08","25,83","28,16","25,28","238,00K","6,24%"
"Mar 19","25,49","23,94","25,73","23,54","162,40K","8,84%"
