"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","109,92","108,83","109,92","108,75","53,34K","1,00%"
"Jan 22","108,83","107,63","110,66","104,71","1,65M","-0,13%"
"Dez 21","108,97","101,10","109,80","100,50","2,16M","6,69%"
"Nov 21","102,14","106,42","107,41","101,11","1,46M","-6,19%"
"Out 21","108,88","109,30","114,59","106,70","1,34M","-1,24%"
"Set 21","110,25","116,02","117,04","109,65","1,48M","-5,75%"
"Ago 21","116,97","116,65","118,30","107,34","2,06M","-0,87%"
"Jul 21","118,00","120,49","124,20","116,90","1,81M","-6,36%"
"Jun 21","126,02","130,07","131,62","116,49","1,60M","-3,85%"
"Mai 21","131,07","137,97","140,84","120,94","1,46M","-4,94%"
"Abr 21","137,88","131,92","138,85","131,92","1,05M","2,80%"
"Mar 21","134,12","140,21","142,55","130,20","2,03M","-12,17%"
"Fev 21","152,71","137,14","159,00","137,14","1,18M","10,35%"
"Jan 21","138,39","135,63","142,36","131,09","1,17M","0,87%"
"Dez 20","137,19","123,66","138,50","122,23","1,03M","9,75%"
"Nov 20","125,00","116,29","125,99","116,04","1,69M","7,73%"
"Out 20","116,03","113,08","120,55","106,60","1,26M","2,69%"
"Set 20","112,98","104,94","113,15","104,83","1,12M","7,66%"
"Ago 20","104,94","98,52","105,26","97,63","1,06M","6,72%"
"Jul 20","98,34","100,89","103,46","94,72","1,57M","-2,48%"
"Jun 20","100,83","87,68","101,18","87,68","754,82K","15,01%"
"Mai 20","87,68","84,69","88,35","82,07","738,48K","3,37%"
"Abr 20","84,81","82,88","87,08","80,11","709,25K","2,33%"
"Mar 20","82,88","99,81","103,98","74,33","1,08M","-16,50%"
"Fev 20","99,26","96,68","101,49","94,09","989,58K","2,67%"
"Jan 20","96,68","106,12","106,83","93,41","821,19K","-8,28%"
"Dez 19","105,40","90,83","107,26","89,94","466,65K","16,05%"
"Nov 19","90,82","85,84","92,95","84,09","972,78K","5,81%"
"Out 19","85,84","84,88","89,05","83,27","407,26K","1,13%"
"Set 19","84,88","83,15","85,18","79,27","329,16K","2,08%"
"Ago 19","83,15","74,06","84,23","73,54","403,16K","12,27%"
"Jul 19","74,06","67,95","77,94","67,83","450,34K","8,35%"
"Jun 19","68,36","66,53","68,39","65,21","206,42K","2,64%"
"Mai 19","66,60","66,13","67,70","65,60","232,37K","1,06%"
"Abr 19","65,90","64,17","66,72","63,32","245,58K","3,24%"
"Mar 19","63,83","63,02","69,10","60,95","162,91K","1,33%"
"Fev 19","62,99","61,36","63,92","61,22","127,77K","3,26%"
"Jan 19","61,00","60,96","62,97","59,35","148,27K","-0,02%"
"Dez 18","61,01","55,19","62,27","54,64","142,09K","10,55%"
"Nov 18","55,19","55,20","57,39","53,31","130,88K","-0,01%"
"Out 18","55,20","51,53","57,37","51,27","204,81K","7,29%"
"Set 18","51,45","51,65","52,69","50,75","96,06K","0,62%"
"Ago 18","51,13","49,73","52,47","49,38","62,31K","2,06%"
"Jul 18","50,09","49,50","51,99","48,28","51,41K","1,20%"
"Jun 18","49,50","50,63","51,67","45,15","62,05K","-4,20%"
"Mai 18","51,67","51,99","52,72","49,61","50,22K","-0,15%"
"Abr 18","51,75","52,08","52,34","49,68","51,50K","-0,63%"
