"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","22,34","22,05","22,45","21,82","1,14M","1,13%"
"Jan 22","22,09","19,29","22,23","19,04","22,93M","15,72%"
"Dez 21","19,09","20,14","21,26","18,91","18,91M","-5,02%"
"Nov 21","20,10","20,94","21,98","19,74","22,46M","-4,42%"
"Out 21","21,03","22,15","23,03","20,61","38,09M","-22,11%"
"Set 21","27,00","28,65","29,21","25,01","48,27M","-5,69%"
"Ago 21","28,63","27,68","28,91","26,85","27,93M","4,22%"
"Jul 21","27,47","26,70","28,01","25,58","13,42M","2,73%"
"Jun 21","26,74","27,00","30,15","26,55","15,73M","0,64%"
"Mai 21","26,57","24,64","26,63","23,67","12,07M","8,90%"
"Abr 21","24,40","25,02","25,18","23,81","10,12M","-2,83%"
"Mar 21","25,11","23,60","25,48","21,91","15,07M","7,72%"
"Fev 21","23,31","26,11","26,36","23,16","14,44M","-8,87%"
"Jan 21","25,58","27,92","29,05","24,94","11,43M","-7,35%"
"Dez 20","27,61","25,84","28,28","25,57","16,74M","8,66%"
"Nov 20","25,41","22,12","26,56","21,89","15,09M","17,26%"
"Out 20","21,67","21,16","23,79","20,80","14,88M","2,90%"
"Set 20","21,06","22,53","23,74","20,90","12,84M","-5,18%"
"Ago 20","22,21","24,90","25,06","22,21","12,24M","-9,12%"
"Jul 20","24,44","23,71","25,72","23,47","11,72M","3,82%"
"Jun 20","23,54","21,55","26,21","21,20","28,43M","9,44%"
"Mai 20","21,51","20,96","22,69","19,64","19,18M","-0,19%"
"Abr 20","21,55","21,06","23,20","19,10","19,30M","-0,28%"
"Mar 20","21,61","27,98","28,43","19,05","60,13M","-22,79%"
"Fev 20","27,99","27,97","29,94","27,11","17,57M","0,54%"
"Jan 20","27,84","30,43","31,01","27,48","13,68M","-8,06%"
"Dez 19","30,28","28,37","30,63","28,33","9,33M","7,03%"
"Nov 19","28,29","29,45","30,77","27,97","8,42M","-3,81%"
"Out 19","29,41","28,47","30,19","26,46","14,68M","3,52%"
"Set 19","28,41","28,08","29,79","27,02","21,03M","0,78%"
"Ago 19","28,19","27,65","29,60","26,82","8,94M","2,73%"
"Jul 19","27,44","28,83","29,45","27,32","9,49M","-3,89%"
"Jun 19","28,55","27,62","28,67","26,58","7,02M","3,44%"
"Mai 19","27,60","26,91","27,91","24,93","6,37M","2,64%"
"Abr 19","26,89","27,55","27,67","25,69","4,53M","-1,65%"
"Mar 19","27,34","28,85","29,87","26,21","8,33M","-4,00%"
"Fev 19","28,48","28,37","29,39","27,02","28,83M","0,11%"
"Jan 19","28,45","26,01","28,57","26,01","6,64M","9,42%"
"Dez 18","26,00","27,10","27,24","24,71","5,03M","-2,55%"
"Nov 18","26,68","24,33","27,06","24,33","3,79M","9,25%"
"Out 18","24,42","21,72","25,51","21,58","7,40M","12,48%"
"Set 18","21,71","21,48","22,45","21,04","4,07M","0,84%"
"Ago 18","21,53","22,40","23,14","21,08","3,39M","-4,61%"
"Jul 18","22,57","20,25","23,41","19,94","2,74M","11,46%"
"Jun 18","20,25","21,58","22,27","18,90","3,87M","-5,99%"
"Mai 18","21,54","24,85","24,85","21,26","4,12M","-13,35%"
"Abr 18","24,86","25,43","25,76","24,36","3,40M","-2,24%"
"Mar 18","25,43","24,62","25,81","24,32","6,31M","3,54%"
"Fev 18","24,56","23,78","25,68","22,99","8,48M","3,45%"
"Jan 18","23,74","20,33","24,09","20,21","7,99M","17,70%"
"Dez 17","20,17","19,78","20,72","19,24","118,50M","1,97%"
"Nov 17","19,78","20,50","20,73","19,43","2,35M","-3,37%"
"Out 17","20,47","20,46","21,40","20,03","3,25M","0,10%"
"Set 17","20,45","19,14","20,82","19,00","4,19M","7,69%"
"Ago 17","18,99","17,63","19,32","17,60","4,23M","9,14%"
"Jul 17","17,40","17,12","17,55","16,83","2,20M","1,69%"
"Jun 17","17,11","16,97","17,59","16,67","3,98M","0,88%"
"Mai 17","16,96","18,04","18,70","15,91","6,03M","-5,20%"
"Abr 17","17,89","17,73","18,12","17,11","2,57M","0,90%"
"Mar 17","17,73","18,37","18,64","17,26","4,24M","-3,48%"
"Fev 17","18,37","16,54","19,09","16,27","6,12M","11,33%"
"Jan 17","16,50","15,16","17,03","15,07","4,51M","7,21%"
"Dez 16","15,39","15,22","15,39","13,76","4,70M","-0,19%"
"Nov 16","15,42","16,88","16,88","14,68","6,37M","-8,21%"
"Out 16","16,80","14,36","16,84","14,27","3,85M","17,65%"
"Set 16","14,28","14,17","14,83","13,84","4,16M","1,64%"
"Ago 16","14,05","13,27","14,55","13,10","4,85M","6,12%"
"Jul 16","13,24","11,79","13,36","11,52","4,82M","12,78%"
"Jun 16","11,74","11,50","12,13","11,05","5,17M","2,26%"
"Mai 16","11,48","13,03","13,03","11,38","3,78M","-10,87%"
"Abr 16","12,88","11,92","13,29","11,36","4,29M","7,07%"
"Mar 16","12,03","10,36","12,93","10,32","11,93M","17,71%"
"Fev 16","10,22","9,92","10,60","9,59","3,90M","3,44%"
"Jan 16","9,88","10,65","10,65","9,39","2,89M","-7,92%"
"Dez 15","10,73","11,07","11,67","10,41","3,80M","-2,19%"
"Nov 15","10,97","10,92","11,76","10,91","1,93M","2,24%"
"Out 15","10,73","10,64","12,11","10,50","5,02M","1,23%"
"Set 15","10,60","10,74","11,96","10,30","3,10M","-2,21%"
"Ago 15","10,84","12,11","12,29","10,30","2,23M","-10,78%"
"Jul 15","12,15","12,81","13,09","11,51","2,88M","-5,52%"
"Jun 15","12,86","12,57","12,86","12,14","2,68M","2,31%"
"Mai 15","12,57","13,48","13,84","12,49","5,17M","-6,33%"
"Abr 15","13,42","12,55","13,90","12,55","4,44M","7,79%"
"Mar 15","12,45","12,67","12,95","11,76","6,18M","-1,58%"
"Fev 15","12,65","11,42","13,09","11,23","3,67M","11,75%"
"Jan 15","11,32","11,89","12,22","11,17","5,27M","-6,75%"
"Dez 14","12,14","12,82","12,82","10,90","4,62M","-5,53%"
"Nov 14","12,85","12,04","13,49","11,49","5,90M","4,64%"
"Out 14","12,28","11,56","13,29","10,18","9,20M","4,07%"
"Set 14","11,80","14,18","14,56","11,56","29,60M","-15,47%"
"Ago 14","13,96","12,34","14,07","12,21","5,33M","13,13%"
"Jul 14","12,34","11,25","12,69","10,98","4,50M","9,69%"
"Jun 14","11,25","10,88","11,72","10,71","4,96M","3,12%"
"Mai 14","10,91","11,59","12,00","10,80","5,96M","-5,79%"
"Abr 14","11,58","10,83","11,75","10,56","2,98M","7,62%"
"Mar 14","10,76","9,81","10,76","9,42","4,10M","9,80%"
"Fev 14","9,80","9,09","9,96","8,81","5,18M","7,46%"
"Jan 14","9,12","9,75","9,75","8,69","9,50M","-6,27%"
"Dez 13","9,73","10,00","10,21","9,30","2,36M","-3,09%"
"Nov 13","10,04","10,75","10,75","9,68","4,52M","-6,17%"
"Out 13","10,70","9,87","10,77","9,66","5,48M","8,30%"
"Set 13","9,88","9,47","10,31","9,11","4,99M","7,39%"
"Ago 13","9,20","9,42","9,87","8,99","4,14M","-1,29%"
"Jul 13","9,32","9,38","9,70","8,62","5,56M","-1,48%"
"Jun 13","9,46","10,19","10,53","9,02","8,68M","-7,53%"
"Mai 13","10,23","9,89","10,65","9,86","5,24M","1,99%"
"Abr 13","10,03","10,60","10,69","9,53","11,36M","-6,09%"
"Mar 13","10,68","9,85","10,78","9,84","8,34M","7,88%"
"Fev 13","9,90","9,67","10,13","9,35","5,97M","1,64%"
"Jan 13","9,74","9,14","10,13","9,04","17,93M","7,51%"
"Dez 12","9,06","8,38","9,33","8,38","6,26M","8,24%"
"Nov 12","8,37","7,64","8,46","7,62","7,27M","9,55%"
"Out 12","7,64","7,88","8,06","7,39","12,23M","-2,30%"
"Set 12","7,82","8,13","8,71","7,81","10,77M","-3,69%"
"Ago 12","8,12","8,18","8,55","7,90","9,06M","0,50%"
"Jul 12","8,08","7,18","8,38","6,98","7,17M","12,07%"
"Jun 12","7,21","7,21","7,62","6,90","7,12M","-1,90%"
"Mai 12","7,35","7,62","7,67","6,94","10,36M","-3,92%"
"Abr 12","7,65","8,64","8,77","7,39","14,14M","-10,94%"
"Mar 12","8,59","8,92","9,44","8,57","9,23M","-3,05%"
"Fev 12","8,86","8,47","8,98","8,32","9,95M","3,99%"
"Jan 12","8,52","7,72","8,75","7,72","12,51M","13,00%"
"Dez 11","7,54","7,71","8,05","7,50","7,46M","-0,79%"
"Nov 11","7,60","7,60","8,01","6,90","10,73M","-1,94%"
"Out 11","7,75","6,99","8,12","6,68","6,48M","10,09%"
"Set 11","7,04","7,24","7,49","6,64","9,16M","0,14%"
"Ago 11","7,03","7,61","7,63","5,87","14,31M","-6,89%"
"Jul 11","7,55","8,37","8,46","7,29","11,70M","-10,12%"
"Jun 11","8,40","8,18","8,50","8,07","10,59M","1,69%"
"Mai 11","8,26","8,51","8,64","7,87","15,64M","-3,73%"
"Abr 11","8,58","8,74","8,89","8,24","11,35M","-1,83%"
"Mar 11","8,74","8,08","8,75","7,73","11,43M","7,64%"
"Fev 11","8,12","7,84","8,45","7,46","15,42M","4,24%"
"Jan 11","7,79","8,33","8,57","7,73","19,29M","-5,80%"
"Dez 10","8,27","8,29","8,38","7,86","11,76M","0,12%"
"Nov 10","8,26","8,45","8,85","8,04","10,54M","-2,36%"
"Out 10","8,46","8,22","8,77","8,21","6,87M","2,92%"
"Set 10","8,22","7,83","8,22","7,69","13,83M","5,38%"
"Ago 10","7,80","8,00","8,03","7,33","7,26M","-2,50%"
"Jul 10","8,00","6,85","8,05","6,79","15,28M","17,47%"
"Jun 10","6,81","7,12","7,40","6,78","5,41M","-6,07%"
"Mai 10","7,25","7,78","7,83","6,50","9,49M","-7,41%"
"Abr 10","7,83","7,97","8,20","7,53","4,35M","-1,51%"
"Mar 10","7,95","7,64","7,97","7,56","5,76M","4,47%"
"Fev 10","7,61","7,56","7,80","7,05","4,58M","0,66%"
"Jan 10","7,56","7,79","8,08","7,25","4,27M","-2,45%"
"Dez 09","7,75","7,75","8,12","7,55","5,22M","0,39%"
"Nov 09","7,72","6,96","7,78","6,96","4,41M","10,92%"
"Out 09","6,96","7,33","7,59","6,84","3,84M","-5,82%"
"Set 09","7,39","6,75","7,56","6,49","3,84M","8,52%"
"Ago 09","6,81","6,29","7,03","6,17","4,21M","8,27%"
"Jul 09","6,29","5,91","6,35","5,56","3,18M","6,97%"
"Jun 09","5,88","6,04","6,19","5,60","1,58M","-2,16%"
"Mai 09","6,01","5,78","6,11","5,30","1,98M","5,25%"
"Abr 09","5,71","5,00","5,73","4,99","2,82M","14,20%"
"Mar 09","5,00","4,31","5,29","4,04","9,61M","14,68%"
"Fev 09","4,36","4,36","4,81","4,25","1,35M","-4,18%"
"Jan 09","4,55","4,93","5,48","4,24","1,24M","-7,33%"
"Dez 08","4,91","4,59","5,61","4,59","991,62K","-1,60%"
"Nov 08","4,99","5,99","6,15","4,02","2,67M","-2,92%"
"Out 08","5,14","6,36","6,58","3,60","1,39M","-26,68%"
"Set 08","7,01","6,11","7,01","5,51","573,70K","14,36%"
"Ago 08","6,13","6,45","6,65","5,98","569,58K","-4,81%"
"Jul 08","6,44","6,70","6,83","5,99","874,89K","-3,88%"
"Jun 08","6,70","7,59","7,74","6,65","7,27M","-13,55%"
"Mai 08","7,75","7,63","7,98","7,23","1,15M","4,17%"
"Abr 08","7,44","6,54","7,44","6,54","680,71K","14,11%"
"Mar 08","6,52","7,02","7,44","6,38","566,84K","-7,25%"
"Fev 08","7,03","6,07","7,22","5,69","466,39K","15,82%"
"Jan 08","6,07","7,56","7,56","6,07","430,71K","-18,52%"
"Dez 07","7,45","7,66","8,06","7,37","712,58K","-2,23%"
"Nov 07","7,62","7,83","7,83","6,85","804,93K","-3,18%"
"Out 07","7,87","7,56","8,47","7,35","865,93K","5,92%"
"Set 07","7,43","6,89","7,60","6,47","635,16K","7,53%"
"Ago 07","6,91","6,83","6,91","5,88","1,29M","0,58%"
"Jul 07","6,87","6,66","7,50","6,66","1,13M","3,15%"
"Jun 07","6,66","6,67","6,74","6,44","2,03M","1,37%"
"Mai 07","6,57","5,88","6,74","5,88","10,23M","11,73%"
"Abr 07","5,88","5,36","6,14","5,19","876,14K","10,73%"
"Mar 07","5,31","5,14","5,53","4,96","783,24K","-1,67%"
"Fev 07","5,40","5,75","5,79","5,19","1,50M","-6,09%"
"Jan 07","5,75","5,53","5,79","5,35","621,90K","2,68%"
"Dez 06","5,60","5,20","5,62","5,14","1,38M","7,90%"
"Nov 06","5,19","5,16","5,36","5,04","4,08M","0,58%"
"Out 06","5,16","4,80","5,34","4,67","1,28M","9,55%"
"Set 06","4,71","4,76","4,93","4,48","572,24K","-1,67%"
"Ago 06","4,79","4,75","4,88","4,49","435,56K","-1,03%"
"Jul 06","4,84","4,75","4,94","4,31","857,88K","4,09%"
"Jun 06","4,65","4,56","4,80","3,80","715,56K","1,53%"
