"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","82,05","78,08","82,05","78,08","68,71K","4,22%"
"Jan 22","78,73","87,95","96,04","76,75","1,27M","-10,29%"
"Dez 21","87,76","90,01","92,66","86,91","826,25K","-2,49%"
"Nov 21","90,00","96,96","97,48","88,36","779,17K","-6,49%"
"Out 21","96,25","88,40","98,44","87,50","841,44K","8,18%"
"Set 21","88,97","82,79","91,42","80,76","679,06K","7,46%"
"Ago 21","82,79","78,93","85,96","77,72","825,86K","4,88%"
"Jul 21","78,94","78,51","82,66","76,12","653,87K","0,29%"
"Jun 21","78,71","85,99","86,50","74,00","893,99K","-7,56%"
"Mai 21","85,15","83,70","88,01","82,40","767,32K","1,73%"
"Abr 21","83,70","85,73","92,49","80,02","1,53M","-2,76%"
"Mar 21","86,08","83,40","90,35","81,50","1,59M","3,39%"
"Fev 21","83,26","70,67","84,80","70,28","608,08K","17,82%"
"Jan 21","70,67","65,02","77,30","64,74","606,20K","8,72%"
"Dez 20","65,00","63,75","66,48","59,47","765,93K","3,17%"
"Nov 20","63,00","56,77","66,19","54,92","680,62K","13,90%"
"Out 20","55,31","53,98","58,31","53,59","250,60K","3,83%"
"Set 20","53,27","53,14","54,82","49,77","621,55K","-1,95%"
"Ago 20","54,33","50,40","56,85","49,71","461,70K","9,74%"
"Jul 20","49,51","48,91","53,17","47,61","313,75K","-2,21%"
"Jun 20","50,63","50,80","54,48","48,43","568,40K","-0,59%"
"Mai 20","50,93","49,87","53,20","47,74","200,30K","-0,25%"
"Abr 20","51,06","42,71","53,14","42,29","480,35K","12,74%"
"Mar 20","45,29","51,18","53,14","39,08","476,75K","-7,27%"
"Fev 20","48,84","54,63","58,35","48,84","223,90K","-10,73%"
"Jan 20","54,71","54,74","55,91","52,92","367,50K","2,36%"
"Dez 19","53,45","53,44","54,28","51,89","152,00K","-1,35%"
"Nov 19","54,18","48,30","54,21","48,30","48,50K","13,85%"
"Out 19","47,59","46,06","48,64","43,99","191,50K","2,19%"
"Set 19","46,57","42,64","47,28","42,64","201,50K","8,71%"
"Ago 19","42,84","41,47","43,27","39,93","247,00K","2,54%"
"Jul 19","41,78","41,11","41,80","40,23","146,50K","3,93%"
"Jun 19","40,20","39,03","40,62","38,95","212,00K","2,21%"
"Mai 19","39,33","43,18","43,39","39,33","127,00K","-8,53%"
"Abr 19","43,00","37,81","44,04","36,84","190,50K","16,40%"
"Mar 19","36,94","37,62","38,75","35,59","131,00K","0,96%"
"Fev 19","36,59","35,98","37,25","34,97","197,00K","3,83%"
"Jan 19","35,24","34,59","36,76","34,03","201,00K","0,00%"
"Dez 18","35,24","39,63","40,01","33,99","168,50K","-10,67%"
"Nov 18","39,45","37,33","39,73","37,33","213,50K","4,73%"
"Out 18","37,67","42,12","42,42","35,01","642,50K","-10,16%"
"Set 18","41,93","44,18","45,33","41,93","356,00K","-2,71%"
"Ago 18","43,10","40,05","45,21","40,05","237,50K","8,07%"
"Jul 18","39,88","37,14","40,38","37,14","228,50K","6,57%"
"Jun 18","37,42","36,96","40,39","35,72","450,00K","1,05%"
"Mai 18","37,03","35,69","38,54","34,81","141,00K","5,59%"
"Abr 18","35,07","32,50","35,66","32,50","295,50K","6,18%"
"Mar 18","33,03","34,03","35,60","32,68","150,50K","-4,70%"
"Fev 18","34,66","33,60","35,13","32,11","359,00K","2,73%"
"Jan 18","33,74","31,88","34,69","31,88","99,00K","4,14%"
"Dez 17","32,40","30,99","32,60","30,74","114,50K","2,89%"
"Nov 17","31,49","29,95","31,49","28,76","81,50K","4,65%"
"Out 17","30,09","27,61","30,43","27,11","176,50K","10,34%"
"Set 17","27,27","26,05","27,47","24,69","226,00K","5,09%"
"Ago 17","25,95","26,18","26,85","25,76","95,00K","0,35%"
"Jul 17","25,86","27,27","27,95","25,57","190,50K","-5,07%"
"Jun 17","27,24","23,97","27,24","23,92","119,50K","14,45%"
"Mai 17","23,80","24,51","25,29","23,68","189,50K","-4,11%"
"Abr 17","24,82","24,23","25,35","23,70","137,50K","-0,08%"
"Mar 17","24,84","25,81","26,18","24,01","129,00K","-0,60%"
"Fev 17","24,99","24,00","25,02","23,52","107,50K","5,71%"
"Jan 17","23,64","24,68","25,07","23,64","188,00K","-4,21%"
"Dez 16","24,68","25,16","25,73","24,68","201,50K","2,75%"
"Nov 16","24,02","19,90","24,52","19,46","286,50K","22,61%"
"Out 16","19,59","18,52","19,60","18,52","153,00K","2,24%"
"Set 16","19,16","19,29","21,32","18,72","224,00K","-0,57%"
"Ago 16","19,27","18,33","19,27","18,05","218,00K","4,33%"
"Jul 16","18,47","17,34","18,56","16,97","178,00K","6,27%"
"Jun 16","17,38","20,82","20,82","17,12","842,50K","-15,63%"
"Mai 16","20,60","19,30","20,66","18,61","215,50K","7,63%"
"Abr 16","19,14","18,51","19,99","17,83","226,50K","2,57%"
"Mar 16","18,66","19,78","20,31","18,33","451,50K","-5,04%"
"Fev 16","19,65","20,46","20,63","18,37","361,00K","-3,72%"
"Jan 16","20,41","22,51","22,51","19,60","302,00K","-9,65%"
"Dez 15","22,59","22,43","22,77","20,98","354,00K","-0,48%"
"Nov 15","22,70","21,65","23,64","21,26","309,50K","5,39%"
"Out 15","21,54","20,90","22,27","19,65","715,00K","3,36%"
"Set 15","20,84","19,50","21,66","19,40","1,43M","3,53%"
"Ago 15","20,13","20,31","21,09","18,53","571,00K","0,30%"
"Jul 15","20,07","18,18","20,07","17,95","347,00K","10,03%"
"Jun 15","18,24","18,12","18,66","17,60","912,50K","2,82%"
"Mai 15","17,74","16,99","17,88","16,52","173,00K","9,98%"
"Abr 15","16,13","16,86","16,86","15,49","825,50K","-3,64%"
"Mar 15","16,74","15,19","17,09","14,98","297,50K","10,42%"
"Fev 15","15,16","12,53","15,16","12,53","545,00K","19,75%"
"Jan 15","12,66","14,27","14,27","12,23","620,00K","-10,66%"
"Dez 14","14,17","13,45","14,68","12,87","319,00K","5,35%"
"Nov 14","13,45","13,02","13,45","12,68","131,00K","5,49%"
"Out 14","12,75","12,60","13,45","11,55","132,50K","-1,16%"
"Set 14","12,90","11,10","12,90","11,10","333,00K","15,28%"
"Ago 14","11,19","10,76","11,48","10,67","39,00K","1,91%"
"Jul 14","10,98","10,68","10,98","10,41","42,00K","4,77%"
"Jun 14","10,48","10,31","10,62","10,31","266,50K","1,95%"
"Mai 14","10,28","10,09","10,28","9,72","149,50K","-0,39%"
"Abr 14","10,32","11,45","11,45","10,32","46,50K","-8,43%"
"Mar 14","11,27","11,23","11,69","11,22","10,50K","2,73%"
"Fev 14","10,97","11,15","11,60","10,93","178,50K","-1,35%"
"Jan 14","11,12","11,51","11,67","11,05","121,50K","-0,89%"
"Dez 13","11,22","11,05","11,36","10,68","121,00K","0,72%"
"Nov 13","11,14","10,25","11,14","10,21","60,50K","16,41%"
"Out 13","9,57","9,22","9,57","9,21","88,50K","3,46%"
"Set 13","9,25","9,76","9,94","9,25","341,50K","-9,40%"
"Ago 13","10,21","10,62","10,62","10,15","212,50K","-0,68%"
"Jul 13","10,28","9,80","10,34","9,80","118,50K","10,18%"
"Jun 13","9,33","9,46","9,46","9,33","44,00K","5,07%"
"Mai 13","8,88","7,74","9,05","7,74","215,00K","12,26%"
"Abr 13","7,91","7,73","7,91","7,69","152,00K","2,59%"
"Mar 13","7,71","7,78","7,98","7,71","140,00K","-0,26%"
"Fev 13","7,73","7,62","7,79","7,62","99,00K","2,79%"
"Jan 13","7,52","7,48","7,61","7,48","36,50K","4,16%"
"Dez 12","7,22","7,01","7,26","6,87","29,00K","10,91%"
"Nov 12","6,51","6,51","6,51","6,51","3,50K","-3,98%"
"Out 12","6,78","6,66","6,90","6,65","50,50K","2,26%"
"Set 12","6,63","6,63","6,63","6,63","7,00K","8,69%"
"Ago 12","6,10","5,92","6,10","5,92","21,50K","-5,43%"
