"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","26,20","28,05","28,61","25,40","7,01M","-6,83%"
"Jan 22","28,12","24,45","28,89","21,44","278,87M","15,06%"
"Dez 21","24,44","28,75","30,22","23,85","225,42M","-14,09%"
"Nov 21","28,45","29,32","34,76","27,80","224,23M","-2,90%"
"Out 21","29,30","31,35","33,30","27,64","258,91M","-6,36%"
"Set 21","31,29","34,24","34,62","30,71","188,46M","-9,25%"
"Ago 21","34,48","38,04","38,79","33,77","197,39M","-7,83%"
"Jul 21","37,41","40,15","41,60","37,14","182,62M","-6,64%"
"Jun 21","40,07","42,67","44,43","39,09","213,60M","-5,27%"
"Mai 21","42,30","36,59","43,46","36,20","232,52M","15,83%"
"Abr 21","36,52","38,69","42,96","35,69","229,94M","-5,04%"
"Mar 21","38,46","33,40","39,83","32,21","274,11M","16,37%"
"Fev 21","33,05","37,80","38,15","32,73","160,01M","-11,58%"
"Jan 21","37,38","39,63","40,06","35,08","162,09M","-4,76%"
"Dez 20","39,25","40,70","42,23","38,33","136,36M","-2,39%"
"Nov 20","40,21","34,45","44,91","34,08","202,93M","19,32%"
"Out 20","33,70","35,75","38,80","33,52","158,69M","-5,55%"
"Set 20","35,68","39,88","42,38","34,22","206,09M","-8,61%"
"Ago 20","39,04","36,93","39,78","34,62","222,23M","5,68%"
"Jul 20","36,94","37,55","40,37","35,23","158,31M","-1,60%"
"Jun 20","37,54","34,34","43,07","34,01","198,94M","8,59%"
"Mai 20","34,57","33,17","37,23","27,64","271,18M","0,44%"
"Abr 20","34,42","28,68","38,45","26,18","258,96M","14,43%"
"Mar 20","30,08","47,40","49,16","23,54","287,59M","-36,90%"
"Fev 20","47,67","51,38","52,50","43,86","120,39M","-7,22%"
"Jan 20","51,38","50,73","54,47","50,24","95,25M","2,23%"
"Dez 19","50,26","46,79","51,07","46,09","77,53M","8,62%"
"Nov 19","46,27","45,55","46,73","43,10","82,26M","2,07%"
"Out 19","45,33","45,11","47,09","42,55","98,42M","0,55%"
"Set 19","45,08","45,43","46,22","42,92","77,21M","0,00%"
"Ago 19","45,08","42,63","45,61","41,50","106,86M","6,52%"
