"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","69,30","68,73","69,67","67,51","7,48K","0,83%"
"Jan 22","68,73","75,20","77,42","65,24","537,92K","-7,22%"
"Dez 21","74,08","69,44","76,91","68,74","401,20K","6,68%"
"Nov 21","69,44","68,67","72,94","65,50","373,13K","0,13%"
"Out 21","69,35","65,70","69,57","64,63","292,11K","5,48%"
"Set 21","65,75","61,02","66,96","61,02","190,51K","7,61%"
"Ago 21","61,10","62,46","64,95","59,99","231,02K","-3,49%"
"Jul 21","63,31","57,52","63,88","57,22","185,59K","10,07%"
"Jun 21","57,52","61,40","61,40","56,80","183,04K","-6,32%"
"Mai 21","61,40","63,59","64,54","59,72","166,10K","-3,97%"
"Abr 21","63,94","64,16","66,55","62,05","181,11K","1,33%"
"Mar 21","63,10","57,87","65,95","57,20","523,89K","9,08%"
"Fev 21","57,85","56,65","58,75","55,30","313,47K","2,37%"
"Jan 21","56,51","54,56","59,03","53,76","281,56K","3,57%"
"Dez 20","54,56","57,68","57,82","51,83","479,69K","-5,41%"
"Nov 20","57,68","60,29","62,26","55,25","482,34K","-4,07%"
"Out 20","60,13","61,00","65,72","59,79","437,15K","-1,43%"
"Set 20","61,00","56,56","61,84","55,43","398,02K","5,41%"
"Ago 20","57,87","50,74","59,94","50,74","168,05K","16,86%"
"Jul 20","49,52","48,46","51,57","47,96","628,25K","1,37%"
"Jun 20","48,85","49,24","50,27","46,35","276,90K","-1,09%"
"Mai 20","49,39","49,39","51,56","48,33","527,60K","-0,80%"
"Abr 20","49,79","40,81","52,18","40,22","541,20K","17,29%"
"Mar 20","42,45","43,06","45,55","33,20","801,25K","-4,95%"
"Fev 20","44,66","44,45","46,17","43,95","323,00K","0,22%"
"Jan 20","44,56","38,90","44,56","38,90","172,50K","16,16%"
"Dez 19","38,36","39,55","39,69","38,36","337,00K","-4,24%"
"Nov 19","40,06","37,47","40,48","36,35","157,00K","5,28%"
"Out 19","38,05","42,25","42,25","36,94","287,00K","-11,16%"
"Set 19","42,83","43,57","43,72","41,06","206,00K","-0,76%"
"Ago 19","43,16","39,02","43,73","38,91","294,50K","11,84%"
"Jul 19","38,59","38,01","40,51","38,01","100,50K","1,42%"
"Jun 19","38,05","36,94","38,30","36,94","135,50K","1,93%"
"Mai 19","37,33","36,78","39,37","36,78","101,00K","1,03%"
"Abr 19","36,95","34,79","37,83","34,15","161,00K","4,11%"
"Mar 19","35,49","33,36","35,71","32,96","76,50K","8,60%"
"Fev 19","32,68","31,00","32,68","30,48","149,50K","3,58%"
"Jan 19","31,55","32,16","33,40","31,10","169,00K","-0,25%"
"Dez 18","31,63","33,65","34,16","31,63","104,00K","-7,05%"
"Nov 18","34,03","30,82","34,03","30,40","119,50K","9,39%"
"Out 18","31,11","31,97","31,97","28,28","662,50K","-1,86%"
"Set 18","31,70","31,55","32,56","30,76","231,00K","0,16%"
"Ago 18","31,65","27,22","32,92","27,14","206,00K","14,05%"
"Jul 18","27,75","28,85","29,26","27,30","183,00K","-2,53%"
"Jun 18","28,47","28,33","31,35","27,88","471,50K","1,43%"
"Mai 18","28,07","26,80","28,25","26,31","115,50K","4,00%"
"Abr 18","26,99","24,35","26,99","24,35","220,50K","10,16%"
"Mar 18","24,50","23,88","24,87","22,37","191,00K","1,32%"
"Fev 18","24,18","25,42","25,52","23,53","226,50K","-4,54%"
"Jan 18","25,33","26,02","26,61","25,22","354,50K","-4,42%"
"Dez 17","26,50","26,07","26,75","25,63","94,50K","1,45%"
"Nov 17","26,12","25,07","26,12","24,74","70,50K","3,77%"
"Out 17","25,17","22,68","25,17","22,52","132,50K","10,39%"
"Set 17","22,80","22,70","23,01","22,44","88,50K","-0,65%"
"Ago 17","22,95","21,96","23,09","21,96","51,00K","3,66%"
"Jul 17","22,14","22,98","23,28","21,96","110,00K","-5,38%"
"Jun 17","23,40","23,03","23,44","22,47","95,00K","5,03%"
"Mai 17","22,28","20,34","22,37","20,34","308,50K","10,90%"
"Abr 17","20,09","18,24","20,25","18,20","69,00K","10,26%"
"Mar 17","18,22","18,40","18,50","17,91","482,50K","3,17%"
"Fev 17","17,66","17,29","17,68","17,29","361,50K","2,08%"
"Jan 17","17,30","17,54","17,73","17,21","150,50K","-3,78%"
"Dez 16","17,98","18,37","18,86","17,98","47,00K","-1,69%"
"Nov 16","18,29","16,23","18,49","16,07","155,50K","14,46%"
"Out 16","15,98","16,54","16,54","15,66","123,00K","-4,02%"
"Set 16","16,65","16,72","17,10","16,49","152,50K","-0,12%"
"Ago 16","16,67","17,07","17,07","16,35","187,50K","-1,83%"
"Jul 16","16,98","17,20","18,77","16,98","377,50K","-1,79%"
"Jun 16","17,29","18,29","18,94","17,29","206,50K","-12,01%"
"Mai 16","19,65","19,61","20,42","19,11","401,00K","0,00%"
"Abr 16","19,65","19,90","20,77","19,40","238,00K","-1,65%"
"Mar 16","19,98","20,27","20,55","19,06","500,00K","-1,24%"
"Fev 16","20,23","21,75","21,75","19,99","670,50K","-6,60%"
"Jan 16","21,66","20,68","21,72","20,27","227,50K","4,29%"
"Dez 15","20,77","19,19","20,77","18,60","241,00K","6,90%"
"Nov 15","19,43","18,27","19,43","18,27","293,00K","2,42%"
"Out 15","18,97","17,12","19,17","16,67","666,00K","11,33%"
"Set 15","17,04","15,64","17,46","15,64","895,00K","15,68%"
"Ago 15","14,73","14,80","15,13","14,73","75,00K","0,41%"
"Jul 15","14,67","13,27","14,80","13,27","39,50K","14,25%"
"Jun 15","12,84","12,67","12,84","12,50","30,00K","-1,00%"
"Mai 15","12,97","12,97","12,97","12,97","5,00K","6,14%"
"Abr 15","12,22","12,58","12,58","12,22","35,50K","-9,14%"
"Mar 15","13,45","12,68","13,46","12,68","75,50K","17,88%"
"Fev 15","11,41","10,68","11,51","10,68","117,00K","15,72%"
"Jan 15","9,86","10,60","10,70","9,80","36,50K","-6,10%"
"Dez 14","10,50","10,34","10,85","9,94","21,00K","3,14%"
"Nov 14","10,18","10,07","10,42","10,07","95,50K","6,49%"
"Out 14","9,56","9,56","9,56","9,56","2,50K","-1,95%"
"Set 14","9,75","8,82","9,75","8,82","31,50K","11,30%"
"Ago 14","8,76","8,88","8,89","8,76","19,50K","-3,95%"
"Jul 14","9,12","9,25","9,25","9,12","8,50K","-1,62%"
"Jun 14","9,27","9,61","9,61","9,27","22,00K","0,43%"
"Mai 14","9,23","9,34","9,34","9,23","46,00K","-0,65%"
"Abr 14","9,29","9,13","9,33","9,05","11,50K","3,45%"
"Mar 14","8,98","9,11","9,60","8,98","28,00K","-1,97%"
"Fev 14","9,16","9,32","9,44","9,10","91,50K","-0,97%"
"Jan 14","9,25","9,40","9,40","9,08","115,50K","-1,18%"
"Dez 13","9,36","9,33","9,36","8,97","106,00K","0,65%"
"Nov 13","9,30","9,05","9,31","9,05","7,00K","10,32%"
"Out 13","8,43","8,43","8,43","8,43","0,50K","-5,28%"
"Set 13","8,90","9,17","9,17","8,90","6,00K","-3,16%"
"Ago 13","9,19","9,31","9,31","9,19","5,50K","3,72%"
"Jul 13","8,86","9,30","9,30","8,70","4,50K","1,61%"
"Jun 13","8,72","8,72","8,72","8,72","0,50K","14,74%"
"Fev 13","7,60","7,60","7,60","7,60","0,50K","7,80%"
"Jul 12","7,05","7,05","7,05","7,05","1,00K","-1,40%"
"Mai 12","7,15","7,15","7,15","7,15","63,00K","2,29%"
"Jan 12","6,99","7,01","7,01","6,97","33,00K","-3,19%"
"Dez 11","7,22","7,22","7,22","7,22","30,00K","45,56%"
"Nov 10","4,96","5,02","5,02","4,96","2,00K","1,64%"
