"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","67,50","68,65","69,71","66,07","333,36K","-1,68%"
"Jan 22","68,65","78,80","79,80","63,55","10,27M","-12,57%"
"Dez 21","78,52","78,90","81,61","74,95","6,86M","1,58%"
"Nov 21","77,30","78,06","81,44","70,47","5,43M","-1,15%"
"Out 21","78,20","64,00","78,20","63,20","4,57M","21,64%"
"Set 21","64,29","65,25","67,63","63,80","3,65M","-1,64%"
"Ago 21","65,36","61,79","69,39","60,81","3,46M","5,59%"
"Jul 21","61,90","56,27","63,06","55,59","3,47M","9,21%"
"Jun 21","56,68","54,05","56,78","52,05","2,38M","4,48%"
"Mai 21","54,25","57,16","58,11","52,17","2,40M","-4,84%"
"Abr 21","57,01","56,29","61,69","55,50","3,63M","2,11%"
"Mar 21","55,83","55,89","57,19","52,56","4,29M","1,66%"
"Fev 21","54,92","53,43","56,49","51,90","3,52M","3,54%"
"Jan 21","53,04","48,09","54,85","46,02","3,94M","10,29%"
"Dez 20","48,09","48,11","49,88","44,04","4,36M","0,42%"
"Nov 20","47,89","47,97","51,75","46,46","3,38M","-0,17%"
"Out 20","47,97","49,80","52,24","47,50","2,27M","-2,38%"
"Set 20","49,14","52,54","52,54","43,71","5,07M","-4,77%"
"Ago 20","51,60","46,66","53,56","45,81","2,25M","16,93%"
"Jul 20","44,13","45,67","48,82","42,78","2,01M","-3,37%"
"Jun 20","45,67","40,67","45,88","35,99","2,01M","12,38%"
"Mai 20","40,64","40,53","45,31","39,01","1,44M","-1,02%"
"Abr 20","41,06","33,59","41,70","32,81","1,48M","19,78%"
"Mar 20","34,28","30,54","34,87","24,80","2,58M","17,52%"
"Fev 20","29,17","30,05","34,16","28,29","1,43M","-2,70%"
"Jan 20","29,98","26,42","30,41","26,23","1,27M","14,82%"
"Dez 19","26,11","26,03","26,66","25,54","962,39K","-1,40%"
"Nov 19","26,48","23,51","26,72","23,50","376,80K","12,06%"
"Out 19","23,63","23,52","24,27","22,53","971,99K","-0,34%"
"Set 19","23,71","23,16","23,95","22,55","518,40K","2,42%"
"Ago 19","23,15","21,70","23,47","21,19","1,13M","8,53%"
"Jul 19","21,33","21,17","21,91","20,65","688,79K","1,81%"
"Jun 19","20,95","19,19","21,61","19,02","902,39K","5,44%"
"Mai 19","19,87","20,44","21,80","19,81","686,39K","-4,84%"
"Abr 19","20,88","18,77","21,10","18,51","528,00K","11,18%"
"Mar 19","18,78","17,37","18,97","17,22","403,20K","9,76%"
"Fev 19","17,11","15,37","17,16","15,16","691,19K","9,61%"
"Jan 19","15,61","15,55","16,37","14,99","938,39K","-2,32%"
"Dez 18","15,98","17,37","17,39","15,10","787,19K","-7,09%"
"Nov 18","17,20","16,06","17,27","15,61","717,59K","7,10%"
"Out 18","16,06","18,68","18,92","15,06","1,97M","-13,61%"
"Set 18","18,59","18,83","19,19","18,02","1,67M","0,65%"
"Ago 18","18,47","15,90","19,12","15,90","1,34M","15,51%"
"Jul 18","15,99","15,62","16,54","15,53","1,14M","3,29%"
"Jun 18","15,48","15,01","16,03","14,82","868,79K","3,89%"
"Mai 18","14,90","13,51","14,90","13,28","489,60K","12,71%"
"Abr 18","13,22","11,81","13,26","11,70","830,39K","9,71%"
"Mar 18","12,05","12,22","12,65","11,71","650,39K","-2,43%"
"Fev 18","12,35","12,10","12,39","11,18","1,21M","3,26%"
"Jan 18","11,96","11,15","12,02","11,15","755,99K","5,65%"
"Dez 17","11,32","10,91","11,44","10,58","559,20K","2,82%"
"Nov 17","11,01","10,76","11,01","10,72","271,20K","1,66%"
"Out 17","10,83","9,36","10,90","9,21","609,60K","16,33%"
"Set 17","9,31","9,25","9,35","9,03","496,80K","0,00%"
"Ago 17","9,31","8,90","9,36","8,84","352,80K","3,79%"
"Jul 17","8,97","9,02","9,25","8,94","508,80K","-0,33%"
"Jun 17","9,00","8,88","9,38","8,88","468,00K","1,24%"
"Mai 17","8,89","8,59","9,07","8,32","336,00K","4,71%"
"Abr 17","8,49","7,99","8,49","7,96","292,80K","6,52%"
"Mar 17","7,97","7,85","8,02","7,76","393,60K","1,66%"
"Fev 17","7,84","7,83","7,86","7,64","400,80K","-0,88%"
"Jan 17","7,91","7,92","8,04","7,69","355,20K","-0,38%"
"Dez 16","7,94","7,99","8,34","7,94","410,40K","-0,75%"
"Nov 16","8,00","7,39","8,09","7,35","695,99K","7,67%"
"Out 16","7,43","7,16","7,43","6,94","650,39K","2,48%"
"Set 16","7,25","7,27","7,38","7,07","604,80K","0,69%"
"Ago 16","7,20","7,09","7,30","6,91","1,09M","2,42%"
"Jul 16","7,03","6,26","7,16","6,26","2,01M","10,71%"
"Jun 16","6,35","7,26","7,26","6,21","1,68M","-12,29%"
"Mai 16","7,24","6,60","7,30","6,60","1,76M","10,03%"
