"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","43,40","45,40","48,25","42,38","332,71K","-4,38%"
"Jan 22","45,39","67,70","68,65","38,74","8,58M","-33,42%"
"Dez 21","68,17","72,69","73,57","65,40","1,98M","-5,17%"
"Nov 21","71,89","78,12","78,12","70,44","1,84M","-7,80%"
"Out 21","77,97","66,35","78,03","64,36","1,47M","16,90%"
"Set 21","66,70","58,76","67,39","58,00","1,57M","13,47%"
"Ago 21","58,78","53,76","60,14","52,57","3,10M","9,20%"
"Jul 21","53,83","52,54","57,00","51,01","1,07M","2,44%"
"Jun 21","52,55","52,65","53,50","48,84","650,66K","-0,28%"
"Mai 21","52,70","55,80","56,15","50,48","675,38K","-5,56%"
"Abr 21","55,80","59,31","64,50","53,50","1,30M","-4,94%"
"Mar 21","58,70","62,00","63,41","55,46","1,51M","-2,65%"
"Fev 21","60,30","58,99","61,74","56,62","755,31K","3,08%"
"Jan 21","58,50","54,75","63,30","51,98","805,19K","6,85%"
"Dez 20","54,75","52,77","55,67","49,95","1,01M","4,21%"
"Nov 20","52,54","56,00","58,27","49,95","1,19M","-3,49%"
"Out 20","54,44","2.850,00","3.170,88","53,81","427,90K","-4,49%"
"Set 20","57,00","58,88","59,80","48,98","892,05K","-1,81%"
"Ago 20","58,05","52,40","61,52","50,80","460,00K","13,82%"
"Jul 20","51,00","51,57","61,12","49,63","567,50K","3,28%"
"Jun 20","49,38","45,06","49,72","40,16","426,50K","10,49%"
"Mai 20","44,69","47,60","52,89","42,55","354,00K","-1,69%"
"Abr 20","45,46","38,30","48,60","37,10","755,00K","17,56%"
"Mar 20","38,67","33,10","38,67","28,54","1,19M","20,28%"
"Fev 20","32,15","30,06","34,36","30,06","245,50K","10,10%"
"Jan 20","29,20","26,61","29,89","26,42","355,00K","11,62%"
"Dez 19","26,16","26,19","27,57","24,24","310,00K","-1,73%"
"Nov 19","26,62","22,96","26,68","22,96","125,00K","15,34%"
"Out 19","23,08","22,49","24,57","21,80","220,00K","5,20%"
"Set 19","21,94","24,18","24,28","21,20","275,00K","-9,26%"
"Ago 19","24,18","24,64","25,13","23,24","180,00K","-2,07%"
"Jul 19","24,69","28,81","29,02","23,18","160,00K","-11,22%"
"Jun 19","27,81","26,21","27,81","26,21","85,00K","0,47%"
"Mai 19","27,68","29,96","29,96","27,62","85,00K","-6,64%"
"Abr 19","29,65","28,38","29,98","26,98","95,00K","6,85%"
"Mar 19","27,75","27,16","28,74","26,73","140,00K","0,62%"
"Fev 19","27,58","25,53","27,58","25,53","75,00K","11,30%"
"Jan 19","24,78","20,32","26,43","20,32","300,00K","30,49%"
"Dez 18","18,99","21,76","21,76","18,99","50,00K","-13,88%"
"Nov 18","22,05","22,09","24,43","20,09","190,00K","-2,17%"
