"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","77,49","78,28","79,06","76,57","18,14K","-3,32%"
"Jan 22","80,15","94,92","95,15","75,88","602,08K","-13,83%"
"Dez 21","93,01","95,19","98,10","88,98","500,29K","-0,52%"
"Nov 21","93,50","94,62","100,00","90,08","420,85K","-1,06%"
"Out 21","94,50","78,45","94,68","77,81","1,46M","18,50%"
"Set 21","79,75","85,84","87,64","78,68","701,05K","-6,04%"
"Ago 21","84,88","86,96","91,74","83,97","416,98K","-2,64%"
"Jul 21","87,18","76,64","87,20","76,50","325,93K","13,55%"
"Jun 21","76,78","71,00","77,96","63,49","532,73K","8,31%"
"Mai 21","70,89","71,83","73,15","69,83","358,30K","-1,47%"
"Abr 21","71,95","76,03","78,45","69,71","448,80K","-5,09%"
"Mar 21","75,81","76,30","82,33","70,90","431,25K","-0,64%"
"Fev 21","76,30","73,51","79,83","72,05","346,71K","3,80%"
"Jan 21","73,51","73,47","82,97","70,44","335,35K","0,05%"
"Dez 20","73,47","73,19","78,34","68,83","360,57K","1,42%"
"Nov 20","72,44","69,78","73,88","67,72","455,03K","5,58%"
"Out 20","68,61","70,90","76,68","68,16","50,11K","-3,23%"
"Set 20","70,90","61,50","72,01","58,95","238,26K","15,59%"
"Ago 20","61,34","52,47","62,14","52,06","55,50K","22,61%"
"Jul 20","50,03","51,71","52,47","49,99","41,60K","-1,86%"
"Jun 20","50,98","52,77","53,02","48,02","45,90K","-2,69%"
"Mai 20","52,39","47,01","53,45","47,01","32,30K","10,74%"
"Abr 20","47,31","41,22","50,11","41,19","45,60K","9,46%"
"Mar 20","43,22","40,90","43,22","31,61","38,10K","12,43%"
"Fev 20","38,44","41,85","44,58","38,44","25,40K","-7,80%"
"Jan 20","41,69","40,63","43,40","40,63","36,00K","4,43%"
"Dez 19","39,92","38,12","40,62","38,12","74,00K","4,39%"
"Nov 19","38,24","34,99","38,24","34,99","3,00K","7,30%"
"Out 19","35,64","37,89","38,70","35,64","88,00K","-3,62%"
"Set 19","36,98","35,83","36,98","35,83","107,00K","9,80%"
"Ago 19","33,68","31,48","33,68","31,26","108,00K","6,48%"
"Jul 19","31,63","32,38","33,35","31,63","26,00K","-1,43%"
"Jun 19","32,09","29,76","32,09","29,76","68,00K","-0,68%"
"Mai 19","32,31","33,18","34,57","32,13","32,00K","-5,55%"
"Abr 19","34,21","32,23","34,82","31,55","33,00K","5,88%"
"Mar 19","32,31","32,00","32,55","31,09","35,00K","1,10%"
"Fev 19","31,96","29,06","31,96","29,06","77,00K","10,51%"
"Jan 19","28,92","27,69","29,92","27,54","179,00K","6,13%"
"Dez 18","27,25","29,24","29,24","25,93","93,00K","-2,57%"
"Nov 18","27,97","27,95","28,02","26,74","16,00K","2,53%"
"Out 18","27,28","33,85","33,85","25,45","379,00K","-19,41%"
"Set 18","33,85","32,40","34,37","32,31","124,00K","1,96%"
"Ago 18","33,20","28,31","34,75","28,31","301,00K","20,07%"
"Jul 18","27,65","29,84","29,84","27,64","115,00K","-7,93%"
"Jun 18","30,03","26,87","30,03","26,87","61,00K","15,72%"
"Mai 18","25,95","23,93","25,95","23,57","44,00K","10,99%"
"Abr 18","23,38","20,48","23,38","20,48","68,00K","9,20%"
"Mar 18","21,41","20,70","21,58","20,70","77,00K","-0,42%"
"Fev 18","21,50","21,02","21,50","20,40","14,00K","1,46%"
"Jan 18","21,19","19,76","21,19","19,76","25,00K","3,52%"
"Dez 17","20,47","20,26","20,88","20,10","25,00K","11,25%"
"Nov 17","18,40","17,51","18,54","17,51","155,00K","6,48%"
"Out 17","17,28","15,80","17,53","15,59","35,00K","8,27%"
"Set 17","15,96","16,16","16,27","15,52","86,00K","-0,06%"
"Ago 17","15,97","17,72","18,01","15,94","170,00K","-9,52%"
"Jul 17","17,65","18,28","18,35","17,65","72,00K","-5,51%"
"Jun 17","18,68","16,66","18,68","16,37","3,00K","12,80%"
"Mai 17","16,56","16,65","16,65","16,35","12,00K","-0,78%"
"Abr 17","16,69","16,72","16,84","16,47","79,00K","-0,12%"
"Fev 17","16,71","16,71","16,71","16,71","3,00K","2,08%"
"Nov 16","16,37","16,37","16,37","16,37","1,00K","5,41%"
"Out 16","15,53","17,03","17,03","15,53","2,00K","-8,81%"
"Set 16","17,03","17,03","17,03","17,03","2,00K","1,67%"
"Ago 16","16,75","16,75","16,75","16,75","1,00K","-6,16%"
"Jul 16","17,85","17,67","17,85","17,67","23,00K","7,72%"
"Jun 16","16,57","18,44","18,44","16,57","809,00K","-12,24%"
"Mai 16","18,88","19,66","19,81","18,62","656,00K","-2,78%"
"Abr 16","19,42","20,85","20,91","19,14","271,00K","-7,35%"
"Mar 16","20,96","22,79","22,79","20,04","526,00K","-10,12%"
"Fev 16","23,32","23,69","23,70","21,17","367,00K","-0,47%"
"Jan 16","23,43","23,56","23,89","22,10","876,00K","1,60%"
"Dez 15","23,06","24,06","24,64","23,06","79,00K","-4,39%"
"Nov 15","24,12","23,26","24,31","22,03","358,00K","0,92%"
"Out 15","23,90","23,15","24,83","21,86","302,00K","3,51%"
"Set 15","23,09","18,91","23,34","18,91","1,02M","23,21%"
"Ago 15","18,74","18,52","19,19","17,71","190,00K","0,86%"
"Jul 15","18,58","16,02","18,58","16,02","104,00K","15,98%"
"Jun 15","16,02","15,26","16,02","14,72","92,00K","8,32%"
"Mai 15","14,79","14,48","14,91","14,13","88,00K","6,94%"
"Abr 15","13,83","14,65","14,82","13,80","152,00K","-10,54%"
"Mar 15","15,46","13,44","15,63","13,44","328,00K","19,66%"
"Fev 15","12,92","11,69","12,92","11,59","204,00K","8,75%"
"Jan 15","11,88","12,12","12,19","11,33","554,00K","-1,00%"
"Dez 14","12,00","11,71","12,56","11,60","1,38M","-2,99%"
"Nov 14","12,37","10,90","12,37","10,85","198,00K","15,07%"
"Out 14","10,75","10,12","10,91","9,85","270,00K","4,57%"
"Set 14","10,28","8,70","10,34","8,70","696,00K","22,67%"
"Ago 14","8,38","8,09","8,38","8,09","76,00K","5,01%"
"Jun 14","7,98","8,03","8,03","7,67","20,00K","3,37%"
"Mai 14","7,72","7,44","7,72","7,44","44,00K","1,71%"
"Abr 14","7,59","7,81","7,87","7,57","38,00K","-6,53%"
"Mar 14","8,12","8,35","8,70","8,12","32,00K","-4,36%"
"Fev 14","8,49","8,02","8,58","7,94","56,00K","4,56%"
"Jan 14","8,12","8,61","8,61","7,97","98,00K","-3,33%"
"Dez 13","8,40","8,58","8,63","8,24","88,00K","-0,71%"
"Nov 13","8,46","8,24","8,46","8,21","62,00K","20,34%"
"Set 13","7,03","6,91","7,03","6,91","1,21M","-2,36%"
"Ago 13","7,20","6,99","7,20","6,99","70,00K","9,59%"
"Jul 13","6,57","6,55","6,63","6,44","290,00K","6,66%"
"Jun 13","6,16","6,21","6,21","6,10","108,00K","1,15%"
"Mai 13","6,09","5,95","6,09","5,95","166,00K","8,56%"
"Abr 13","5,61","5,48","5,61","5,42","130,00K","3,13%"
"Mar 13","5,44","4,96","5,54","4,89","142,00K","10,57%"
"Fev 13","4,92","4,92","4,92","4,88","160,00K","2,29%"
"Jan 13","4,81","4,93","5,04","4,81","286,00K","-2,24%"
"Dez 12","4,92","4,64","5,03","4,64","122,00K","6,49%"
