"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","27,22","27,73","28,64","26,22","576,49K","0,78%"
"Jan 22","27,01","34,85","36,33","23,95","19,89M","-21,32%"
"Dez 21","34,33","39,00","39,14","31,35","14,69M","-9,30%"
"Nov 21","37,85","30,34","40,28","29,69","13,37M","26,63%"
"Out 21","29,89","23,32","30,25","22,19","5,87M","26,65%"
"Set 21","23,60","24,20","25,13","22,30","5,27M","-2,28%"
"Ago 21","24,15","21,19","25,50","20,77","9,32M","12,38%"
"Jul 21","21,49","20,88","22,69","19,27","5,10M","3,67%"
"Jun 21","20,73","17,50","20,99","17,11","5,41M","17,65%"
"Mai 21","17,62","17,05","17,70","14,82","5,14M","3,46%"
"Abr 21","17,03","15,85","19,16","15,85","5,48M","8,33%"
"Mar 21","15,72","16,04","16,49","13,49","8,04M","-2,00%"
"Fev 21","16,04","15,09","18,31","14,74","7,42M","7,58%"
"Jan 21","14,91","14,28","15,96","13,94","4,07M","5,22%"
"Dez 20","14,17","14,92","14,95","13,19","4,80M","-5,03%"
"Nov 20","14,92","15,04","16,59","13,84","6,92M","-0,33%"
"Out 20","14,97","16,19","16,69","14,72","2,41M","-8,38%"
"Set 20","16,34","15,20","16,40","13,01","4,88M","6,10%"
"Ago 20","15,40","12,07","15,48","11,99","2,74M","33,56%"
"Jul 20","11,53","10,80","12,00","10,53","1,81M","8,06%"
"Jun 20","10,67","9,73","10,82","8,86","2,62M","8,88%"
"Mai 20","9,80","8,27","10,81","8,24","2,65M","16,95%"
"Abr 20","8,38","6,80","8,94","6,61","1,72M","17,86%"
"Mar 20","7,11","6,19","7,11","5,14","3,16M","15,80%"
"Fev 20","6,14","5,31","7,11","5,31","4,01M","13,08%"
"Jan 20","5,43","4,96","5,51","4,96","614,40K","10,37%"
"Dez 19","4,92","4,62","5,05","4,48","532,80K","6,26%"
"Nov 19","4,63","4,25","4,65","4,08","1,06M","9,72%"
"Out 19","4,22","3,78","4,22","3,71","321,60K","13,75%"
"Set 19","3,71","3,55","3,86","3,55","484,80K","3,92%"
"Ago 19","3,57","3,08","3,62","3,06","1,20M","4,69%"
"Jul 19","3,41","3,17","3,41","3,17","76,80K","11,07%"
"Jun 19","3,07","2,71","3,07","2,71","1,22M","9,64%"
