"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","12,21","12,48","12,61","11,91","968,40K","-2,16%"
"Jan 22","12,48","12,61","12,84","11,59","38,33M","-0,95%"
"Dez 21","12,60","12,69","12,74","11,75","28,29M","0,08%"
"Nov 21","12,59","13,51","14,44","12,33","28,89M","-6,11%"
"Out 21","13,41","16,40","16,40","12,41","31,75M","-18,53%"
"Set 21","16,46","12,60","16,48","12,60","26,43M","31,16%"
"Ago 21","12,55","13,02","13,73","12,28","23,78M","-3,46%"
"Jul 21","13,00","13,04","13,37","12,44","19,65M","-0,23%"
"Jun 21","13,03","13,18","13,29","12,67","22,30M","-1,51%"
"Mai 21","13,23","12,66","13,23","12,49","19,17M","5,05%"
"Abr 21","12,59","12,82","13,40","12,47","26,68M","-4,23%"
"Mar 21","13,15","13,08","13,61","12,06","35,29M","0,92%"
"Fev 21","13,03","14,40","15,07","12,74","40,63M","-8,05%"
"Jan 21","14,17","14,70","15,48","14,02","17,96M","-2,61%"
"Dez 20","14,55","13,14","15,07","12,89","40,49M","11,15%"
"Nov 20","13,09","12,63","13,62","11,90","29,45M","4,97%"
"Out 20","12,47","11,92","14,08","11,80","43,35M","5,08%"
"Set 20","11,87","12,64","13,22","11,67","50,29M","-6,14%"
"Ago 20","12,64","13,66","13,68","12,38","46,74M","-6,22%"
"Jul 20","13,48","13,81","14,94","13,44","39,41M","-2,88%"
"Jun 20","13,88","13,00","14,76","12,77","37,72M","5,83%"
"Mai 20","13,12","14,01","15,34","12,89","33,41M","-9,51%"
"Abr 20","14,50","13,98","16,24","12,77","42,48M","3,59%"
"Mar 20","13,99","15,73","16,39","11,44","56,13M","-12,04%"
"Fev 20","15,91","17,04","17,47","14,71","26,77M","-6,63%"
"Jan 20","17,04","16,49","17,80","15,83","30,98M","4,68%"
"Dez 19","16,28","15,34","16,82","14,75","29,40M","6,07%"
"Nov 19","15,34","14,21","15,82","14,01","46,07M","8,01%"
"Out 19","14,21","15,52","15,52","14,08","28,55M","-8,48%"
"Set 19","15,52","16,30","16,90","14,78","33,99M","-4,89%"
"Ago 19","16,32","16,82","16,92","15,25","35,18M","-2,43%"
"Jul 19","16,73","17,54","18,07","16,62","27,72M","-4,16%"
"Jun 19","17,45","15,68","17,83","15,09","23,82M","12,07%"
"Mai 19","15,57","15,84","16,08","14,31","24,33M","-1,70%"
"Abr 19","15,84","15,59","16,61","15,21","34,20M","2,14%"
"Mar 19","15,51","15,64","15,82","14,72","23,32M","-1,00%"
"Fev 19","15,67","15,43","16,08","14,86","29,81M","1,53%"
"Jan 19","15,43","12,85","15,72","12,85","36,89M","18,91%"
"Dez 18","12,98","13,14","13,60","12,07","31,34M","-0,07%"
"Nov 18","12,99","12,52","13,81","12,21","69,07M","5,14%"
"Out 18","12,35","12,04","12,88","11,44","38,95M","3,20%"
"Set 18","11,97","12,21","12,56","11,68","24,28M","-2,00%"
"Ago 18","12,21","12,33","13,01","11,56","20,80M","-1,73%"
"Jul 18","12,43","12,06","14,12","11,62","25,12M","2,39%"
"Jun 18","12,14","13,02","13,05","11,08","24,76M","-6,17%"
"Mai 18","12,94","13,99","13,99","12,18","22,60M","-7,12%"
"Abr 18","13,93","13,87","14,64","13,05","27,91M","0,71%"
"Mar 18","13,83","14,33","15,12","13,60","25,93M","-2,30%"
"Fev 18","14,15","15,26","15,52","14,02","21,71M","-7,94%"
"Jan 18","15,37","14,59","16,12","14,15","14,70M","4,53%"
"Dez 17","14,71","14,07","14,88","13,50","18,14M","4,49%"
"Nov 17","14,08","14,64","15,69","13,95","27,94M","-3,11%"
"Out 17","14,53","14,15","15,69","14,05","28,44M","2,66%"
"Set 17","14,15","13,63","15,21","13,30","22,36M","4,26%"
"Ago 17","13,58","11,78","15,17","11,78","27,08M","15,59%"
"Jul 17","11,74","10,53","12,10","10,27","15,58M","11,67%"
"Jun 17","10,52","10,89","11,08","10,19","18,53M","-3,31%"
"Mai 17","10,88","10,28","11,37","9,91","28,27M","6,14%"
"Abr 17","10,25","10,15","10,50","9,83","25,42M","1,93%"
"Mar 17","10,05","10,81","11,28","9,85","16,63M","-5,24%"
"Fev 17","10,61","10,01","10,80","9,72","15,57M","6,60%"
"Jan 17","9,95","11,20","11,36","9,84","21,58M","-11,03%"
"Dez 16","11,19","10,38","11,39","9,61","20,33M","7,90%"
"Nov 16","10,37","10,58","10,68","9,69","25,52M","-2,13%"
"Out 16","10,59","11,54","11,61","10,06","24,92M","-7,19%"
"Set 16","11,41","11,23","12,12","11,11","22,74M","1,58%"
"Ago 16","11,24","11,52","12,53","10,60","34,04M","-1,60%"
"Jul 16","11,42","11,62","12,36","11,02","24,53M","-2,33%"
"Jun 16","11,69","9,78","12,17","9,26","38,71M","18,97%"
"Mai 16","9,83","9,16","10,13","8,83","35,49M","7,17%"
"Abr 16","9,17","9,89","11,04","9,17","32,30M","-6,90%"
"Mar 16","9,85","8,88","10,35","8,69","38,78M","12,55%"
"Fev 16","8,75","8,60","9,11","7,98","22,52M","0,50%"
"Jan 16","8,71","8,17","8,71","7,67","29,36M","6,88%"
"Dez 15","8,15","8,60","9,04","8,10","28,83M","-4,83%"
"Nov 15","8,56","8,60","9,22","8,52","39,55M","0,71%"
"Out 15","8,50","8,17","8,85","8,13","34,01M","4,12%"
"Set 15","8,16","8,17","8,64","7,98","35,75M","-2,17%"
"Ago 15","8,35","9,46","9,91","7,88","42,69M","-12,05%"
"Jul 15","9,49","9,15","9,67","8,90","28,23M","3,88%"
"Jun 15","9,14","9,57","9,81","9,09","28,41M","-4,53%"
"Mai 15","9,57","8,85","10,40","8,85","29,10M","8,89%"
"Abr 15","8,79","9,04","9,49","8,58","26,80M","-2,51%"
"Mar 15","9,01","8,56","9,37","8,56","35,16M","4,16%"
"Fev 15","8,65","8,54","8,93","8,12","34,62M","1,16%"
"Jan 15","8,55","8,21","9,12","7,56","34,96M","4,77%"
"Dez 14","8,16","8,01","8,57","7,78","44,30M","2,33%"
"Nov 14","7,98","7,32","8,10","7,30","20,63M","7,82%"
"Out 14","7,40","7,38","7,87","6,86","43,44M","1,36%"
"Set 14","7,30","7,94","8,03","7,04","42,38M","-8,67%"
"Ago 14","7,99","7,68","8,07","7,53","22,23M","4,83%"
"Jul 14","7,62","7,72","8,28","7,48","26,86M","-1,23%"
"Jun 14","7,72","7,79","8,15","7,54","23,33M","0,17%"
"Mai 14","7,71","7,26","8,03","7,26","29,17M","6,15%"
"Abr 14","7,26","7,14","7,62","7,01","26,20M","1,50%"
"Mar 14","7,15","6,82","7,31","6,69","26,32M","5,44%"
"Fev 14","6,78","7,12","7,22","6,74","31,04M","-4,78%"
"Jan 14","7,12","7,78","7,90","6,80","26,16M","-8,44%"
"Dez 13","7,78","7,47","8,13","7,31","20,43M","3,61%"
"Nov 13","7,51","7,34","7,71","7,07","24,08M","2,59%"
"Out 13","7,32","7,60","8,14","6,92","65,47M","-3,97%"
"Set 13","7,62","6,93","7,72","6,89","35,08M","10,44%"
