"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","35,91","35,16","36,58","34,71","25,53M","1,81%"
"Jan 22","35,27","30,84","37,80","30,39","462,56M","14,89%"
"Dez 21","30,70","27,20","32,04","26,90","435,90M","1,86%"
"Nov 21","30,14","28,23","30,70","26,54","405,62M","8,93%"
"Out 21","27,67","27,99","30,89","26,82","406,29M","-1,71%"
"Set 21","28,15","28,10","28,83","24,50","387,53M","0,82%"
"Ago 21","27,92","26,12","29,26","24,99","385,21M","1,53%"
"Jul 21","27,50","30,54","30,84","26,33","263,31M","-9,21%"
"Jun 21","30,29","27,20","30,49","26,77","495,47M","13,66%"
"Mai 21","26,65","23,17","26,86","22,48","379,90M","15,37%"
"Abr 21","23,10","23,34","24,29","22,34","438,99M","-3,51%"
"Mar 21","23,94","22,66","24,12","20,60","678,27M","8,08%"
"Fev 21","22,15","27,81","30,95","21,35","737,24M","-18,95%"
"Jan 21","27,33","29,14","32,34","27,09","309,77M","-5,27%"
"Dez 20","28,85","25,98","29,13","25,92","265,26M","12,92%"
"Nov 20","25,55","19,55","27,12","19,32","441,21M","34,47%"
"Out 20","19,00","19,80","21,07","17,74","400,52M","-3,89%"
"Set 20","19,77","22,65","23,69","19,57","432,92M","-11,42%"
"Ago 20","22,32","22,97","24,61","21,94","335,57M","-1,67%"
"Jul 20","22,70","22,28","24,24","22,04","300,87M","2,62%"
"Jun 20","22,12","20,47","23,60","19,90","373,58M","7,20%"
"Mai 20","20,63","17,77","20,71","16,93","433,07M","11,74%"
"Abr 20","18,47","13,47","19,11","13,28","612,09M","31,90%"
"Mar 20","14,00","26,88","28,58","10,40","1,09B","-47,92%"
"Fev 20","26,88","30,06","32,68","25,66","658,15M","-10,54%"
"Jan 20","30,05","31,99","32,90","29,23","252,64M","-5,16%"
"Dez 19","31,69","31,16","32,66","30,37","204,84M","2,56%"
"Nov 19","30,89","32,28","33,12","30,33","209,61M","-4,01%"
"Out 19","32,18","29,68","32,25","27,61","187,90M","8,46%"
"Set 19","29,67","27,61","30,80","27,17","150,94M","6,65%"
"Ago 19","27,82","28,38","29,06","25,81","243,14M","-1,10%"
"Jul 19","28,13","29,74","30,95","27,70","214,52M","-4,10%"
"Jun 19","29,33","27,85","31,30","27,59","280,91M","6,34%"
"Mai 19","27,58","28,92","29,67","26,69","188,70M","-5,45%"
"Abr 19","29,17","30,59","32,18","28,13","219,66M","-3,82%"
"Mar 19","30,33","29,13","32,81","27,79","227,69M","4,32%"
"Fev 19","29,08","28,70","30,95","28,00","184,12M","1,05%"
"Jan 19","28,77","24,74","29,18","24,44","192,99M","16,34%"
"Dez 18","24,73","28,18","28,57","22,72","222,44M","-9,52%"
"Nov 18","27,33","29,41","29,95","25,30","219,74M","-6,88%"
"Out 18","29,35","23,56","30,26","23,10","322,40M","25,13%"
"Set 18","23,46","21,28","24,13","20,52","169,96M","9,74%"
"Ago 18","21,38","21,07","23,03","19,83","213,23M","0,86%"
"Jul 18","21,19","18,45","21,63","18,45","172,22M","12,98%"
"Jun 18","18,76","21,83","22,09","16,33","332,96M","-12,48%"
"Mai 18","21,44","23,29","30,67","19,06","399,78M","-9,75%"
"Abr 18","23,75","22,34","23,92","21,39","156,30M","5,44%"
"Mar 18","22,53","22,23","23,47","21,42","185,51M","0,91%"
"Fev 18","22,32","20,54","22,77","18,97","216,10M","8,69%"
"Jan 18","20,54","16,38","21,16","16,37","184,32M","25,96%"
"Dez 17","16,31","15,37","16,37","14,95","151,82M","6,02%"
"Nov 17","15,38","17,03","17,49","15,08","163,81M","-8,44%"
