"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","24,41","23,89","24,41","22,24","30,59M","2,05%"
"Jan 22","23,92","20,66","24,90","18,49","456,21M","15,72%"
"Dez 21","20,67","20,85","22,90","18,75","348,96M","1,87%"
"Nov 21","20,29","24,00","28,86","19,25","441,80M","-13,55%"
"Out 21","23,47","25,02","28,92","23,11","548,01M","-6,20%"
"Set 21","25,02","19,23","25,40","17,67","497,36M","30,52%"
"Ago 21","19,17","18,06","19,90","16,22","303,04M","7,39%"
"Jul 21","17,85","19,80","21,99","17,56","302,77M","-8,41%"
"Jun 21","19,49","20,22","20,98","18,48","238,11M","-1,22%"
"Mai 21","19,73","18,58","20,24","17,08","265,70M","7,72%"
"Abr 21","18,32","18,57","20,67","17,76","499,73M","-80,15%"
"Mar 21","92,28","85,61","101,39","83,16","177,66M","10,37%"
"Fev 21","83,61","72,21","94,00","69,70","120,68M","18,61%"
"Jan 21","70,49","71,00","84,60","67,54","111,19M","0,43%"
"Dez 20","70,19","51,01","71,37","50,09","130,98M","39,90%"
"Nov 20","50,17","33,04","53,77","31,54","144,49M","60,19%"
"Out 20","31,32","34,36","38,50","30,56","66,71M","-10,23%"
"Set 20","34,89","42,30","45,09","34,12","64,28M","-16,71%"
"Ago 20","41,89","39,81","47,72","38,24","66,49M","5,81%"
"Jul 20","39,59","35,42","42,20","34,34","77,17M","11,87%"
"Jun 20","35,39","31,71","38,54","28,75","82,02M","14,23%"
"Mai 20","30,98","19,30","31,35","19,10","87,89M","51,49%"
"Abr 20","20,45","15,80","29,89","15,07","122,80M","22,46%"
"Mar 20","16,70","39,37","44,98","9,10","116,66M","-57,61%"
"Fev 20","39,40","48,50","51,50","37,66","69,57M","-17,80%"
"Jan 20","47,93","33,70","49,86","33,29","69,53M","44,98%"
"Dez 19","33,06","23,50","35,40","22,70","37,78M","42,13%"
"Nov 19","23,26","18,00","23,90","17,81","24,99M","25,73%"
"Out 19","18,50","17,54","18,88","15,86","23,38M","6,20%"
"Set 19","17,42","16,70","18,52","16,40","22,44M","3,08%"
"Ago 19","16,90","17,70","18,10","13,98","28,93M","-3,98%"
"Jul 19","17,60","16,20","19,54","15,48","25,29M","11,60%"
"Jun 19","15,77","17,48","17,86","15,31","15,80M","-9,21%"
"Mai 19","17,37","18,20","19,37","16,50","20,76M","-5,85%"
"Abr 19","18,45","19,19","20,34","17,56","19,29M","-2,38%"
"Mar 19","18,90","15,22","21,63","15,06","40,81M","25,18%"
"Fev 19","15,10","11,70","15,70","10,80","22,55M","31,29%"
"Jan 19","11,50","9,80","12,43","9,71","13,38M","15,93%"
"Dez 18","9,92","10,15","10,97","9,33","16,26M","2,48%"
"Nov 18","9,68","12,10","12,18","9,12","14,05M","-18,66%"
"Out 18","11,90","11,02","12,60","10,57","12,23M","7,21%"
"Set 18","11,10","9,54","11,23","9,02","17,69M","17,42%"
"Ago 18","9,45","8,02","9,54","7,60","24,36M","17,85%"
"Jul 18","8,02","6,95","8,18","6,57","16,69M","14,59%"
"Jun 18","7,00","7,22","7,33","6,00","12,46M","-1,82%"
"Mai 18","7,13","7,14","7,79","6,00","24,75M","-1,84%"
"Abr 18","7,26","5,90","7,52","4,93","18,31M","23,12%"
"Mar 18","5,90","7,32","7,32","5,70","27,15M","-18,62%"
"Fev 18","7,25","8,83","8,97","7,00","12,72M","-17,89%"
"Jan 18","8,83","8,18","11,20","8,18","28,82M","7,95%"
"Dez 17","8,18","6,40","8,30","6,39","11,85M","27,63%"
"Nov 17","6,41","5,68","6,44","5,55","12,51M","12,91%"
"Out 17","5,68","4,64","5,70","4,50","10,22M","22,30%"
"Set 17","4,64","4,40","4,94","4,35","7,33M","5,74%"
"Ago 17","4,39","3,74","4,55","3,64","6,00M","17,29%"
"Jul 17","3,74","3,68","3,77","3,36","4,66M","1,68%"
"Jun 17","3,68","3,68","3,79","3,60","3,10M","0,00%"
"Mai 17","3,68","4,37","4,40","3,30","5,39M","-15,36%"
