"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","103,70","102,80","103,75","102,41","64,26K","0,88%"
"Jan 22","102,80","98,56","104,52","97,63","1,35M","2,82%"
"Dez 21","99,98","96,30","100,90","95,36","1,39M","2,58%"
"Nov 21","97,47","98,43","100,35","96,17","1,21M","-1,89%"
"Out 21","99,35","100,70","100,91","99,19","1,93M","-2,05%"
"Set 21","101,43","103,58","104,37","100,23","1,42M","-3,98%"
"Ago 21","105,63","105,45","105,99","101,00","1,17M","-0,91%"
"Jul 21","106,60","101,81","106,77","101,48","1,51M","3,54%"
"Jun 21","102,96","100,40","104,50","99,00","2,23M","1,36%"
"Mai 21","101,58","105,39","107,15","100,21","1,10M","-3,61%"
"Abr 21","105,39","102,02","105,60","102,02","696,67K","-0,13%"
"Mar 21","105,53","114,31","114,82","103,92","1,48M","-8,41%"
"Fev 21","115,22","106,88","115,99","106,62","1,15M","5,51%"
"Jan 21","109,20","104,89","112,77","104,68","1,19M","-1,80%"
"Dez 20","111,20","106,89","111,65","102,04","734,86K","2,77%"
"Nov 20","108,20","98,22","109,84","97,26","710,31K","9,29%"
"Out 20","99,00","95,33","101,15","94,02","1,02M","3,85%"
"Set 20","95,33","97,24","99,61","93,92","423,10K","-1,93%"
"Ago 20","97,20","94,30","98,06","94,06","382,54K","3,14%"
"Jul 20","94,24","95,26","96,27","93,35","485,92K","-1,08%"
"Jun 20","95,27","92,71","95,52","91,13","445,13K","2,76%"
"Mai 20","92,71","83,52","92,97","83,07","253,94K","11,00%"
"Abr 20","83,52","79,64","84,53","76,90","299,53K","4,38%"
"Mar 20","80,01","94,41","95,76","56,76","560,80K","-14,75%"
"Fev 20","93,86","94,77","97,07","93,52","443,54K","-3,23%"
"Jan 20","96,99","96,10","100,34","95,92","547,36K","1,11%"
"Dez 19","95,92","93,43","96,48","92,72","498,16K","2,28%"
"Nov 19","93,78","94,78","96,25","91,84","424,08K","-0,82%"
"Out 19","94,55","97,16","97,46","93,69","376,73K","-2,24%"
"Set 19","96,72","95,23","98,02","92,97","409,86K","1,70%"
"Ago 19","95,10","92,05","96,56","89,05","767,60K","3,31%"
"Jul 19","92,05","87,87","92,22","86,54","468,52K","4,79%"
"Jun 19","87,85","85,20","87,91","84,83","371,27K","2,94%"
"Mai 19","85,34","83,53","86,11","81,98","523,52K","2,16%"
"Abr 19","83,54","81,49","83,89","81,35","248,73K","2,69%"
"Mar 19","81,35","80,43","83,60","79,26","153,06K","1,08%"
"Fev 19","80,48","80,40","82,39","79,64","136,27K","0,10%"
"Jan 19","80,40","80,72","83,28","78,58","140,81K","-0,40%"
"Dez 18","80,72","78,40","80,96","76,91","183,85K","3,42%"
"Nov 18","78,05","76,40","82,87","70,93","94,12K","2,15%"
"Out 18","76,41","72,45","85,65","71,65","40,95K","5,46%"
"Set 18","72,46","70,94","73,02","69,56","18,13K","0,69%"
"Ago 18","71,96","67,63","71,96","67,62","22,86K","5,78%"
"Jul 18","68,03","67,53","68,57","65,93","14,78K","-0,07%"
"Jun 18","68,07","68,24","69,41","65,17","10,69K","-1,93%"
"Mai 18","69,41","67,38","73,77","66,04","32,54K","3,02%"
"Abr 18","67,38","69,56","69,57","66,45","6,73K","-1,37%"
"Mar 18","68,31","69,28","69,29","65,72","2,48K","0,50%"
"Fev 18","67,97","70,25","76,87","66,00","8,62K","-2,49%"
"Jan 18","69,70","69,94","78,85","66,74","18,31K","-0,39%"
