"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","193,39","205,00","205,00","191,52","0,18K","-0,91%"
"Jan 22","195,16","223,47","246,98","190,92","60,57K","-12,07%"
"Dez 21","221,95","214,98","227,41","206,64","39,00K","2,95%"
"Nov 21","215,60","208,50","240,32","208,30","39,29K","4,53%"
"Out 21","206,25","178,50","208,53","175,75","16,58K","15,55%"
"Set 21","178,50","172,33","183,24","168,13","23,00K","2,69%"
"Ago 21","173,83","164,16","178,74","162,50","32,14K","5,58%"
"Jul 21","164,64","161,00","170,34","149,55","41,32K","-0,19%"
"Jun 21","164,96","168,71","173,51","155,05","23,67K","-2,93%"
"Mai 21","169,94","167,70","169,94","155,80","20,79K","1,94%"
"Abr 21","166,70","163,22","169,00","156,00","28,92K","-10,74%"
"Mar 21","186,75","160,00","186,75","149,00","20,80K","17,55%"
"Fev 21","158,87","128,52","162,80","122,51","26,11K","25,09%"
"Jan 21","127,00","110,33","134,00","107,94","16,14K","16,92%"
"Dez 20","108,62","109,79","118,91","103,02","17,75K","-2,63%"
"Nov 20","111,55","93,11","122,40","83,17","25,97K","24,10%"
"Out 20","89,89","89,96","99,70","85,75","12,63K","-1,54%"
"Set 20","91,29","88,76","96,01","83,53","43,34K","0,32%"
"Ago 20","91,00","80,43","94,22","80,43","8,73K","14,09%"
"Jul 20","79,76","90,90","90,90","76,82","10,30K","-12,81%"
"Jun 20","91,48","74,05","111,99","74,05","10,87K","22,63%"
"Mai 20","74,60","86,66","86,66","68,47","11,74K","-13,92%"
"Abr 20","86,66","68,95","91,48","65,59","23,86K","19,52%"
"Mar 20","72,51","135,97","138,46","58,08","10,11K","-44,75%"
"Fev 20","131,25","132,70","150,10","131,25","14,00K","-9,50%"
"Jan 20","145,03","141,65","145,50","137,44","1,70K","3,80%"
"Dez 19","139,72","147,68","147,68","138,58","12,50K","-7,87%"
"Nov 19","151,66","150,86","151,66","150,86","0,20K","4,56%"
"Out 19","145,05","148,53","149,16","141,73","0,80K","-3,58%"
"Set 19","150,43","150,43","150,43","150,43","4,20K","6,65%"
"Ago 19","141,06","142,84","142,84","138,69","2,30K","0,54%"
"Jul 19","140,30","142,57","142,57","140,30","0,40K","-1,35%"
"Jun 19","142,23","148,92","148,92","142,23","10,10K","-3,53%"
