"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","13,65","14,11","14,35","13,52","361,80K","-3,19%"
"Jan 22","14,10","15,90","16,42","13,16","8,37M","-11,10%"
"Dez 21","15,86","14,94","16,15","13,50","6,78M","6,16%"
"Nov 21","14,94","13,89","16,10","13,40","7,61M","8,26%"
"Out 21","13,80","14,20","15,00","13,44","5,01M","-1,78%"
"Set 21","14,05","13,90","15,00","13,35","6,07M","2,11%"
"Ago 21","13,76","14,02","15,23","13,53","6,84M","-1,29%"
"Jul 21","13,94","15,42","15,58","12,86","11,21M","-9,83%"
"Jun 21","15,46","15,72","16,09","14,55","9,63M","-0,58%"
"Mai 21","15,55","17,20","17,60","14,75","21,96M","-4,01%"
