"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","12,57","12,81","12,84","12,50","49,00K","-1,87%"
"Jan 22","12,81","12,14","12,83","11,98","1,43M","5,69%"
"Dez 21","12,12","11,51","12,47","10,97","2,33M","1,42%"
"Nov 21","11,95","12,44","12,90","11,41","1,60M","-3,63%"
"Out 21","12,40","12,11","12,80","11,78","1,36M","2,48%"
"Set 21","12,10","12,71","12,97","11,96","1,70M","-4,80%"
"Ago 21","12,71","12,83","13,50","12,50","1,83M","0,39%"
"Jul 21","12,66","12,30","12,95","12,15","2,01M","2,51%"
"Jun 21","12,35","12,95","13,65","12,25","2,58M","-4,41%"
"Mai 21","12,92","13,00","13,50","11,72","3,01M","0,14%"
"Abr 21","12,90","12,08","13,01","11,65","1,82M","0,00%"
"Mar 21","12,90","9,99","13,30","9,95","2,50M","24,64%"
"Fev 21","10,35","10,82","11,20","10,09","1,77M","-3,72%"
"Jan 21","10,75","11,20","11,40","10,64","1,92M","-4,02%"
"Dez 20","11,20","11,00","11,69","10,75","1,70M","1,45%"
"Nov 20","11,04","9,47","11,45","9,39","1,87M","17,57%"
"Out 20","9,39","9,32","9,60","9,28","1,38M","0,97%"
"Set 20","9,30","9,47","9,82","9,22","1,30M","-1,59%"
"Ago 20","9,45","9,48","9,77","9,14","1,81M","0,00%"
"Jul 20","9,45","9,17","9,56","9,04","1,33M","3,08%"
"Jun 20","9,17","9,33","9,69","9,04","1,19M","-1,26%"
"Mai 20","9,29","8,61","9,42","8,26","794,10K","7,87%"
"Abr 20","8,61","8,19","9,21","8,02","592,70K","2,70%"
"Mar 20","8,38","9,37","9,87","7,53","1,09M","-10,10%"
"Fev 20","9,32","9,79","10,02","8,82","408,40K","-4,81%"
"Jan 20","9,80","9,69","10,25","9,43","596,80K","1,17%"
"Dez 19","9,68","8,86","9,70","8,76","469,20K","9,43%"
"Nov 19","8,85","8,94","9,09","8,52","427,20K","-2,08%"
"Out 19","9,04","8,99","9,09","8,34","357,70K","0,51%"
"Set 19","8,99","9,04","9,55","8,59","275,70K","0,62%"
"Ago 19","8,94","8,75","9,32","8,18","192,30K","2,24%"
"Jul 19","8,74","8,87","9,55","8,25","130,00K","-1,42%"
"Jun 19","8,87","8,43","9,10","8,07","140,50K","4,32%"
"Mai 19","8,50","8,13","8,58","7,59","101,70K","3,00%"
"Abr 19","8,25","8,15","8,56","7,87","82,60K","1,19%"
"Mar 19","8,15","8,45","8,73","7,52","109,50K","-3,44%"
"Fev 19","8,44","8,67","8,92","8,20","95,10K","-2,74%"
"Jan 19","8,68","7,47","9,26","7,40","124,20K","16,29%"
"Dez 18","7,47","7,21","7,84","6,85","42,40K","8,91%"
"Nov 18","6,85","7,41","7,42","6,53","54,80K","-7,92%"
"Out 18","7,44","6,06","7,44","5,89","25,60K","23,46%"
"Set 18","6,03","5,89","6,23","5,57","19,90K","5,14%"
"Ago 18","5,73","5,82","6,32","5,52","15,00K","-0,45%"
"Jul 18","5,76","5,60","5,97","5,27","16,00K","0,14%"
"Jun 18","5,75","5,35","6,25","5,27","12,40K","16,50%"
"Mai 18","4,94","5,67","5,96","4,94","14,50K","-14,02%"
"Abr 18","5,74","6,05","6,06","5,63","5,90K","-5,26%"
"Mar 18","6,06","5,44","6,14","5,17","20,50K","11,27%"
"Fev 18","5,45","5,44","5,98","4,70","14,00K","0,14%"
"Jan 18","5,44","5,91","5,91","5,21","8,60K","-2,10%"
"Dez 17","5,56","5,29","5,75","5,29","5,20K","1,86%"
"Nov 17","5,46","5,35","5,46","5,10","7,60K","2,89%"
"Out 17","5,30","6,11","6,41","5,30","15,60K","-7,28%"
"Set 17","5,72","5,90","6,21","5,53","8,90K","-1,95%"
"Ago 17","5,83","5,71","6,01","5,63","8,30K","-1,79%"
"Jul 17","5,94","5,63","6,38","5,37","8,20K","5,47%"
"Jun 17","5,63","6,38","6,38","5,62","8,20K","-25,15%"
