"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","28,47","29,01","30,10","27,19","3,57M","-2,06%"
"Jan 22","29,07","28,64","29,77","23,96","106,52M","1,50%"
"Dez 21","28,64","31,82","33,09","27,58","94,90M","-9,62%"
"Nov 21","31,69","33,16","36,95","30,38","79,30M","-3,27%"
"Out 21","32,76","35,97","36,77","30,19","78,18M","-9,25%"
"Set 21","36,10","39,97","41,24","34,60","91,64M","-8,84%"
"Ago 21","39,60","35,46","40,39","33,84","89,47M","11,99%"
"Jul 21","35,36","37,46","38,88","34,78","69,85M","-6,08%"
"Jun 21","37,65","34,80","38,32","33,99","79,38M","9,23%"
"Mai 21","34,47","30,98","34,64","30,15","91,92M","10,84%"
"Abr 21","31,10","28,88","31,90","28,43","70,99M","7,50%"
"Mar 21","28,93","31,74","32,36","27,08","130,99M","-7,81%"
"Fev 21","31,38","28,97","34,94","28,01","102,96M","10,49%"
"Jan 21","28,40","28,91","30,95","25,85","91,72M","-1,11%"
"Dez 20","28,72","26,98","28,99","24,86","123,19M","7,36%"
"Nov 20","26,75","27,39","31,91","26,00","213,28M","-0,93%"
"Out 20","27,00","27,01","29,22","26,23","97,83M","-0,37%"
"Set 20","27,10","29,17","30,19","26,14","112,14M","-6,10%"
"Ago 20","28,86","25,45","29,39","25,37","133,52M","12,02%"
"Jul 20","25,76","22,95","27,18","22,95","95,02M","11,58%"
"Jun 20","23,09","20,04","23,38","19,78","110,74M","15,12%"
"Mai 20","20,06","19,68","21,23","17,01","106,37M","2,00%"
"Abr 20","19,66","14,89","21,20","14,16","145,54M","27,00%"
"Mar 20","15,48","23,55","25,05","12,32","201,60M","-34,26%"
"Fev 20","23,56","24,76","27,77","23,22","145,43M","-4,88%"
"Jan 20","24,76","21,64","24,84","21,53","137,45M","15,65%"
"Dez 19","21,41","21,26","23,01","20,50","101,46M","0,11%"
"Nov 19","21,39","20,66","22,02","19,64","87,98M","3,89%"
"Out 19","20,59","19,01","20,91","18,49","112,19M","7,86%"
"Set 19","19,09","17,95","19,25","16,54","81,30M","7,16%"
"Ago 19","17,81","15,94","18,60","15,81","111,71M","11,48%"
"Jul 19","15,98","14,49","16,33","14,33","99,77M","10,30%"
"Jun 19","14,49","13,02","15,10","12,59","79,95M","11,32%"
"Mai 19","13,01","14,72","14,72","12,45","64,45M","-11,34%"
"Abr 19","14,68","13,10","14,89","12,81","79,32M","13,07%"
"Mar 19","12,98","12,04","13,17","11,90","92,13M","8,09%"
"Fev 19","12,01","11,03","12,09","10,31","41,96M","9,59%"
