"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","154,19","156,18","156,54","145,26","547,57K","-0,06%"
"Jan 22","154,28","197,00","214,97","133,40","15,50M","-17,29%"
"Dez 21","186,52","204,27","205,90","159,11","10,57M","-6,29%"
"Nov 21","199,03","200,00","218,10","167,68","13,76M","1,44%"
"Out 21","196,20","131,85","196,20","128,42","9,49M","48,86%"
"Set 21","131,80","118,30","134,55","115,92","5,32M","11,59%"
"Ago 21","118,11","112,60","120,19","107,53","9,52M","5,93%"
"Jul 21","111,50","105,75","112,50","101,16","9,86M","5,55%"
"Jun 21","105,64","102,00","108,49","91,45","7,76M","3,93%"
"Mai 21","101,65","119,77","120,33","90,10","11,65M","-15,29%"
"Abr 21","120,00","121,30","139,68","111,40","11,09M","1,89%"
"Mar 21","117,77","120,24","128,94","98,78","16,15M","-0,19%"
"Fev 21","118,00","139,50","148,30","106,20","8,31M","-13,26%"
"Jan 21","136,04","115,98","152,00","115,52","11,04M","20,34%"
"Dez 20","113,05","97,06","113,05","88,00","10,03M","18,44%"
"Nov 20","95,45","72,42","100,95","66,55","7,13M","36,45%"
"Out 20","69,95","76,25","81,42","68,61","3,27M","-6,88%"
"Set 20","75,12","84,06","84,72","55,40","6,00M","-12,02%"
"Ago 20","85,38","47,80","85,41","46,79","1,78M","83,61%"
"Jul 20","46,50","36,75","60,00","36,75","1,51M","25,40%"
"Jun 20","37,08","28,88","37,30","27,10","590,80K","34,84%"
"Mai 20","27,50","25,00","30,40","24,88","446,00K","4,05%"
"Abr 20","26,43","16,38","29,98","15,00","536,00K","57,79%"
"Mar 20","16,75","18,52","22,05","11,55","938,80K","-9,56%"
"Fev 20","18,52","18,93","25,77","17,40","953,60K","6,25%"
"Jan 20","17,43","10,85","17,43","10,85","872,00K","69,22%"
"Dez 19","10,30","8,86","10,96","8,75","940,00K","17,58%"
"Nov 19","8,76","8,01","9,47","7,92","244,00K","9,64%"
"Out 19","7,99","6,17","8,41","5,83","192,00K","26,42%"
"Set 19","6,32","6,22","6,32","5,95","32,00K","14,29%"
"Ago 19","5,53","5,67","5,84","5,50","244,00K","-3,32%"
"Jul 19","5,72","5,51","6,06","5,29","284,00K","7,32%"
"Jun 19","5,33","4,50","5,52","4,50","236,00K","12,92%"
"Mai 19","4,72","6,20","6,34","4,72","1,13M","-20,27%"
"Abr 19","5,92","6,90","6,94","5,92","1,31M","-13,07%"
"Mar 19","6,81","7,18","7,18","6,28","1,03M","-8,10%"
"Fev 19","7,41","6,98","7,41","6,98","44,00K","6,93%"
"Jan 19","6,93","7,22","7,96","6,68","204,00K","-13,27%"
"Dez 18","7,99","9,18","9,19","7,36","68,00K","-1,60%"
"Nov 18","8,12","8,12","8,12","8,12","12,00K","4,77%"
"Out 18","7,75","8,00","8,11","7,00","136,00K","-3,13%"
"Set 18","8,00","8,00","8,00","8,00","4,00K","6,67%"
"Ago 18","7,50","7,01","7,79","7,01","440,00K","6,08%"
"Jul 18","7,07","7,79","7,79","7,07","20,00K","-15,02%"
"Jun 18","8,32","7,88","8,32","7,88","40,00K","25,49%"
"Mai 18","6,63","6,75","6,75","6,63","516,00K","7,28%"
"Abr 18","6,18","5,58","6,48","5,58","152,00K","14,23%"
"Mar 18","5,41","6,72","6,72","5,41","580,00K","-24,12%"
"Fev 18","7,13","7,00","7,22","6,08","868,00K","0,56%"
"Jan 18","7,09","6,34","7,17","6,33","700,00K","3,35%"
"Dez 17","6,86","7,13","7,13","6,86","8,00K","8,03%"
"Nov 17","6,35","6,39","6,39","6,35","12,00K","-0,94%"
"Out 17","6,41","6,75","6,88","6,41","28,00K","-11,22%"
"Ago 17","7,22","6,21","7,38","6,21","56,00K","11,42%"
"Jul 17","6,48","7,03","7,03","6,42","284,00K","-13,48%"
"Jun 17","7,49","7,69","7,69","7,49","40,00K","13,31%"
"Mai 17","6,61","6,22","6,61","6,22","16,00K","12,80%"
"Abr 17","5,86","5,90","5,90","5,86","12,00K","5,02%"
"Fev 17","5,58","5,58","5,58","5,58","108,00K","12,96%"
