"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","80,43","81,67","83,28","79,11","8,66K","-1,12%"
"Jan 22","81,34","86,25","99,76","76,87","1,10M","-2,59%"
"Dez 21","83,50","83,00","87,39","80,69","567,15K","2,39%"
"Nov 21","81,55","81,28","89,50","78,80","597,51K","1,23%"
"Out 21","80,56","75,78","83,50","73,75","434,79K","7,41%"
"Set 21","75,00","77,67","81,46","75,00","496,21K","-2,60%"
"Ago 21","77,00","75,81","78,50","72,33","513,66K","1,56%"
"Jul 21","75,82","74,75","81,49","72,48","469,80K","1,43%"
"Jun 21","74,75","77,13","77,36","70,50","535,00K","-4,17%"
"Mai 21","78,00","80,47","81,46","70,68","507,34K","-1,95%"
"Abr 21","79,55","84,50","91,30","78,23","763,58K","-5,16%"
"Mar 21","83,88","89,67","91,67","75,78","709,50K","-4,74%"
"Fev 21","88,05","83,00","97,00","83,00","754,14K","5,02%"
"Jan 21","83,84","71,25","90,89","71,25","591,23K","18,59%"
"Dez 20","70,70","65,49","71,00","64,15","543,07K","8,44%"
"Nov 20","65,20","61,41","69,20","58,05","268,82K","8,58%"
"Out 20","60,05","58,16","62,55","57,50","272,16K","5,77%"
"Set 20","56,78","54,29","57,46","51,52","801,53K","4,59%"
"Ago 20","54,29","52,08","57,02","51,74","194,08K","6,00%"
"Jul 20","51,21","37,94","52,96","37,94","101,20K","35,18%"
"Jun 20","37,89","33,47","38,00","33,19","68,32K","14,28%"
"Mai 20","33,15","35,34","37,94","33,15","83,36K","-8,09%"
"Abr 20","36,07","30,50","37,60","30,50","76,00K","19,47%"
"Mar 20","30,19","30,39","31,62","27,74","160,00K","1,87%"
"Fev 20","29,64","28,61","31,60","28,61","60,24K","2,21%"
"Jan 20","29,00","28,67","30,16","28,63","120,00K","-0,14%"
"Dez 19","29,04","27,08","29,43","27,08","543,20K","6,87%"
"Nov 19","27,17","26,17","27,17","26,17","2,40K","8,45%"
