"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","24,70","26,10","26,66","24,30","1,15M","-6,08%"
"Jan 22","26,30","25,44","26,30","20,85","27,43M","3,38%"
"Dez 21","25,44","24,43","26,60","23,19","20,85M","3,79%"
"Nov 21","24,51","26,02","30,30","23,76","17,42M","-5,51%"
"Out 21","25,94","29,32","30,87","25,13","21,98M","-12,13%"
"Set 21","29,52","33,53","33,53","28,97","21,70M","-11,08%"
"Ago 21","33,20","31,69","33,65","28,55","32,94M","6,41%"
"Jul 21","31,20","31,85","32,84","30,08","19,62M","-5,17%"
"Jun 21","32,90","30,93","35,08","30,33","27,28M","9,27%"
"Mai 21","30,11","25,25","30,66","24,42","25,82M","20,17%"
"Abr 21","25,06","24,75","26,02","23,89","14,98M","1,69%"
"Mar 21","24,64","23,70","25,58","21,63","34,79M","3,75%"
"Fev 21","23,75","25,86","27,17","23,41","16,62M","-6,79%"
"Jan 21","25,48","29,46","29,46","25,03","18,84M","-13,51%"
"Dez 20","29,46","25,17","29,46","24,67","15,27M","17,84%"
"Nov 20","25,00","21,65","27,00","21,34","29,13M","14,68%"
"Out 20","21,80","23,82","25,31","21,52","21,13M","-8,02%"
"Set 20","23,70","24,19","26,45","22,40","36,84M","0,55%"
"Ago 20","23,57","22,39","23,90","20,13","30,89M","6,31%"
"Jul 20","22,17","20,88","24,48","20,58","40,53M","5,27%"
"Jun 20","21,06","19,25","22,77","18,53","43,65M","9,80%"
"Mai 20","19,18","17,99","20,00","14,42","37,32M","3,51%"
"Abr 20","18,53","15,43","19,46","12,94","48,46M","17,50%"
"Mar 20","15,77","27,70","29,20","9,31","66,56M","-43,86%"
"Fev 20","28,09","31,44","33,50","26,08","29,84M","-10,74%"
"Jan 20","31,47","29,29","32,76","27,26","28,74M","8,07%"
"Dez 19","29,12","23,64","29,75","23,02","33,70M","23,18%"
"Nov 19","23,64","23,98","24,28","22,50","23,46M","-1,90%"
