"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","30,85","32,10","32,89","30,44","5,17M","-4,07%"
"Jan 22","32,16","32,72","33,48","28,13","172,80M","-2,49%"
"Dez 21","32,98","32,55","37,08","32,13","141,96M","2,33%"
"Nov 21","32,23","37,51","38,35","31,58","132,77M","-12,89%"
"Out 21","37,00","39,78","41,15","36,37","152,64M","-6,64%"
"Set 21","39,63","35,67","41,63","34,99","191,44M","11,45%"
"Ago 21","35,56","36,25","37,36","33,02","177,24M","0,03%"
"Jul 21","35,55","33,70","37,53","33,32","152,14M","5,99%"
"Jun 21","33,54","34,23","35,72","32,70","162,59M","-1,29%"
"Mai 21","33,98","34,82","35,07","30,98","179,97M","-2,44%"
"Abr 21","34,83","37,45","39,15","34,33","208,64M","-6,09%"
"Mar 21","37,09","39,24","39,73","34,37","306,40M","-4,01%"
"Fev 21","38,64","42,28","44,59","38,62","231,34M","-6,85%"
"Jan 21","41,48","37,55","46,46","36,63","242,39M","10,64%"
"Dez 20","37,49","36,54","37,94","33,79","208,94M","2,99%"
"Nov 20","36,40","38,59","42,68","36,40","210,92M","-2,99%"
"Out 20","37,52","32,58","43,15","32,13","328,88M","15,41%"
"Set 20","32,51","32,49","33,69","30,04","216,17M","1,72%"
"Ago 20","31,96","33,31","35,07","31,75","219,33M","-4,05%"
"Jul 20","33,31","25,07","35,12","25,07","265,74M","33,35%"
"Jun 20","24,98","20,66","25,41","20,35","207,45M","21,09%"
"Mai 20","20,63","19,22","20,63","17,75","221,49M","4,72%"
"Abr 20","19,70","15,98","21,73","15,50","261,45M","18,96%"
"Mar 20","16,56","21,63","24,54","12,37","432,96M","-22,11%"
"Fev 20","21,26","19,54","24,62","19,48","280,58M","9,87%"
"Jan 20","19,35","17,14","21,74","16,31","202,59M","13,69%"
"Dez 19","17,02","14,92","17,42","14,78","171,71M","14,08%"
"Nov 19","14,92","12,69","14,92","12,61","161,34M","19,26%"
"Out 19","12,51","11,77","13,04","11,10","137,64M","5,21%"
"Set 19","11,89","11,02","12,03","10,87","107,49M","7,89%"
"Ago 19","11,02","11,74","12,16","10,38","157,04M","-5,49%"
"Jul 19","11,66","10,67","11,96","10,48","139,53M","12,12%"
"Jun 19","10,40","9,29","10,63","9,07","122,19M","12,19%"
"Mai 19","9,27","9,05","9,45","8,60","126,86M","2,43%"
"Abr 19","9,05","8,86","9,45","8,73","108,35M","3,31%"
"Mar 19","8,76","9,01","9,44","8,46","93,98M","-2,01%"
"Fev 19","8,94","9,12","9,69","8,80","124,93M","-1,87%"
"Jan 19","9,11","8,52","9,49","8,46","141,77M","7,43%"
"Dez 18","8,48","8,67","8,83","8,10","117,81M","-1,28%"
"Nov 18","8,59","8,69","9,28","8,42","117,71M","-1,04%"
"Out 18","8,68","9,54","9,76","8,31","171,25M","-8,82%"
"Set 18","9,52","9,16","9,64","8,83","88,36M","3,37%"
"Ago 18","9,21","8,90","9,21","8,24","121,17M","3,48%"
"Jul 18","8,90","7,81","9,31","7,48","122,58M","14,69%"
"Jun 18","7,76","8,34","8,60","7,20","149,37M","-5,48%"
"Mai 18","8,21","8,50","9,28","7,86","147,69M","-3,41%"
"Abr 18","8,50","8,34","8,66","7,82","89,62M","2,29%"
"Mar 18","8,31","8,47","8,66","8,01","92,83M","-2,81%"
"Fev 18","8,55","8,68","9,00","7,85","109,56M","-1,27%"
"Jan 18","8,66","8,90","9,60","8,59","100,47M","-1,70%"
"Dez 17","8,81","8,30","9,14","8,13","91,24M","5,64%"
"Nov 17","8,34","7,84","8,59","7,59","98,40M","7,47%"
"Out 17","7,76","7,83","8,48","7,54","103,70M","-0,26%"
"Set 17","7,78","7,49","8,65","7,45","111,21M","4,57%"
"Ago 17","7,44","6,91","7,66","6,87","79,85M","7,98%"
"Jul 17","6,89","6,44","7,17","6,41","71,28M","7,82%"
"Jun 17","6,39","6,87","7,01","6,26","90,58M","-6,85%"
"Mai 17","6,86","6,42","7,38","6,20","144,00M","7,36%"
"Abr 17","6,39","6,27","6,49","6,00","97,93M","1,59%"
"Mar 17","6,29","6,20","6,50","5,86","139,31M","3,28%"
"Fev 17","6,09","5,74","6,29","5,60","81,50M","6,84%"
"Jan 17","5,70","5,52","5,85","5,30","100,40M","2,52%"
"Dez 16","5,56","5,49","5,56","5,04","107,43M","0,18%"
"Nov 16","5,55","6,28","6,30","5,38","110,26M","-11,62%"
"Out 16","6,28","6,27","6,53","6,03","101,45M","-0,32%"
"Set 16","6,30","5,87","6,40","5,73","106,88M","7,14%"
"Ago 16","5,88","5,42","6,19","5,35","124,92M","8,69%"
"Jul 16","5,41","4,90","5,46","4,67","118,40M","11,09%"
"Jun 16","4,87","5,11","5,38","4,79","108,99M","-4,13%"
"Mai 16","5,08","5,34","5,62","5,07","102,63M","-5,22%"
"Abr 16","5,36","4,98","5,46","4,64","139,43M","8,50%"
"Mar 16","4,94","4,67","5,34","4,59","171,76M","6,47%"
"Fev 16","4,64","5,30","5,38","4,49","138,82M","-14,07%"
"Jan 16","5,40","5,19","5,47","4,69","110,14M","3,25%"
"Dez 15","5,23","5,36","5,77","5,14","129,28M","-1,13%"
"Nov 15","5,29","5,05","5,70","4,85","124,26M","5,59%"
"Out 15","5,01","5,41","6,00","4,97","91,57M","-6,88%"
"Set 15","5,38","5,63","6,02","5,34","109,07M","-7,40%"
"Ago 15","5,81","6,56","6,68","5,45","87,65M","-11,03%"
"Jul 15","6,53","6,62","6,97","6,28","102,39M","-0,76%"
"Jun 15","6,58","6,01","6,68","5,86","74,79M","10,96%"
"Mai 15","5,93","5,53","6,16","5,53","62,63M","7,23%"
