"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Fev 22","97,11","98,25","98,44","96,90","20,27K","-1,50%"
"Jan 22","98,59","102,00","103,66","96,04","1,05M","-3,72%"
"Dez 21","102,40","90,00","102,44","87,15","1,19M","12,74%"
"Nov 21","90,83","98,45","98,90","86,26","1,20M","-7,56%"
"Out 21","98,26","101,63","103,74","97,60","830,32K","-3,90%"
"Set 21","102,25","104,85","105,38","98,11","1,22M","-3,05%"
"Ago 21","105,47","109,74","109,75","101,18","987,34K","-3,90%"
"Jul 21","109,75","106,25","113,50","105,00","905,30K","3,84%"
"Jun 21","105,69","113,45","114,86","100,14","1,37M","-7,00%"
"Mai 21","113,64","115,96","115,96","112,00","1,10M","-1,53%"
"Abr 21","115,40","114,71","116,36","112,68","1,06M","-0,67%"
"Mar 21","116,18","119,93","120,46","112,25","1,55M","-3,59%"
"Fev 21","120,50","121,00","123,50","119,00","1,31M","-0,66%"
"Jan 21","121,30","123,40","123,50","119,96","1,54M","-2,18%"
"Dez 20","124,00","125,13","125,75","119,61","1,70M","-2,97%"
"Nov 20","127,80","128,60","131,70","127,01","1,01M","-0,48%"
"Out 20","128,42","131,49","136,06","122,84","1,16M","-4,03%"
"Set 20","133,82","126,23","133,82","125,13","1,18M","6,94%"
"Ago 20","125,13","124,13","129,00","121,66","1,35M","1,08%"
"Jul 20","123,80","126,45","128,51","121,79","1,62M","-2,27%"
"Jun 20","126,68","112,09","126,68","111,69","2,05M","13,55%"
"Mai 20","111,56","108,04","114,26","105,77","835,57K","3,78%"
"Abr 20","107,50","100,24","108,46","95,59","936,44K","8,13%"
"Mar 20","99,41","122,13","123,34","67,48","1,87M","-18,51%"
"Fev 20","121,99","127,39","128,61","117,64","903,34K","-4,35%"
"Jan 20","127,54","143,07","143,53","123,58","2,10M","-10,77%"
"Dez 19","142,94","118,10","142,94","117,72","1,95M","22,04%"
"Nov 19","117,12","102,95","118,32","102,58","2,43M","13,45%"
"Out 19","103,24","98,55","103,24","96,90","2,34M","5,36%"
"Set 19","97,99","95,77","98,64","92,64","1,51M","5,10%"
"Ago 19","93,24","92,63","94,80","89,48","539,87K","1,09%"
"Jul 19","92,23","87,77","93,54","87,38","774,87K","5,68%"
"Jun 19","87,28","88,04","88,09","86,03","454,45K","-0,58%"
"Mai 19","87,78","85,91","88,14","85,06","316,36K","2,67%"
"Abr 19","85,50","84,35","86,11","84,35","282,26K","1,57%"
"Mar 19","84,18","85,94","88,20","84,03","349,13K","-1,41%"
"Fev 19","85,38","85,04","85,96","82,84","276,62K","0,96%"
"Jan 19","84,57","83,15","87,06","82,62","358,33K","2,37%"
"Dez 18","82,62","78,56","84,03","78,56","218,30K","5,18%"
"Nov 18","78,55","76,91","80,60","72,82","222,55K","2,26%"
"Out 18","76,82","73,60","77,28","70,73","185,81K","7,62%"
"Set 18","71,38","73,42","73,42","70,61","128,55K","0,56%"
"Ago 18","70,98","75,96","77,44","70,58","92,84K","-9,15%"
"Jul 18","78,13","78,54","78,54","72,50","60,36K","-0,19%"
