Código|Data|Último|Abertura|Máxima|Mínima|Vol.|Var%
A1NS34|Fev 22|434,72|434,72|434,72|434,72|0,46K|-2,18%
A1NS34|Jan 22|444,40|557,76|562,81|444,40|2,14K|-21,50%
A1NS34|Dez 21|566,08|556,05|585,62|541,41|6,44K|1,39%
A1NS34|Nov 21|558,32|538,00|564,45|537,90|1,42K|6,70%
A1NS34|Out 21|523,26|484,20|524,24|481,92|0,17K|10,56%
A1NS34|Set 21|473,29|480,81|499,20|473,29|0,59K|1,31%
A1NS34|Ago 21|467,18|483,63|487,06|467,18|0,02K|7,03%
A1NS34|Jun 21|436,48|410,09|436,48|410,09|0,22K|-2,74%
A1NS34|Mai 21|448,79|482,00|482,00|442,80|0,42K|-12,62%
A1NS34|Abr 21|513,60|503,00|513,60|499,00|0,02K|12,26%
A1NS34|Mar 21|457,50|432,89|468,45|432,89|0,27K|-8,13%
A1NS34|Fev 21|498,00|500,71|504,00|496,00|0,04K|0,20%
A1NS34|Jan 21|497,00|466,40|497,49|466,40|0,60K|9,23%
A1NS34|Dez 20|454,99|441,69|454,99|440,44|0,60K|6,76%
A1NS34|Nov 20|426,20|431,09|433,20|426,20|0,02K|-9,71%
A1NS34|Set 20|472,02|472,02|472,02|472,02|0,01K|15,13%
A1NS34|Ago 20|410,00|410,00|410,00|410,00|0,01K|6,77%
A1NS34|Jul 20|384,00|384,00|384,00|384,00|0,02K|-1,47%
A1NS34|Jun 20|389,71|389,71|389,71|389,71|0,20K|4,26%
A1NS34|Mai 20|373,80|373,80|373,80|373,80|0,01K|31,27%
AAPL34|Fev 22|91,51|92,84|93,20|89,37|136,37K|-0,71%
AAPL34|Jan 22|92,16|99,30|105,06|85,46|7,77M|-6,81%
AAPL34|Dez 21|98,89|94,03|103,22|89,00|6,73M|7,13%
AAPL34|Nov 21|92,31|84,68|93,07|79,40|4,93M|8,77%
AAPL34|Out 21|84,87|77,00|86,17|74,79|3,84M|9,34%
AAPL34|Set 21|77,62|78,76|82,67|75,56|3,83M|-1,45%
AAPL34|Ago 21|78,76|75,63|80,93|74,41|3,01M|3,77%
AAPL34|Jul 21|75,90|68,20|77,88|67,77|4,06M|11,62%
AAPL34|Jun 21|68,00|65,47|68,84|62,74|2,67M|3,82%
AAPL34|Mai 21|65,50|71,88|72,55|64,36|2,76M|-8,17%
AAPL34|Abr 21|71,33|69,95|77,26|69,38|3,79M|3,08%
AAPL34|Mar 21|69,20|69,50|73,09|65,60|5,87M|-0,70%
AAPL34|Fev 21|69,69|72,39|75,34|65,00|4,27M|-3,24%
AAPL34|Jan 21|72,02|68,90|78,09|66,92|5,57M|4,38%
AAPL34|Dez 20|69,00|65,00|72,45|60,92|4,79M|7,31%
AAPL34|Nov 20|64,30|62,89|66,39|60,76|3,69M|3,37%
AAPL34|Out 20|62,20|65,91|70,10|61,93|3,97M|-4,65%
AAPL34|Set 20|65,24|70,68|74,85|56,09|6,54M|-8,63%
AAPL34|Ago 20|71,40|55,36|74,89|55,36|2,76M|29,00%
AAPL34|Jul 20|55,35|49,45|55,35|46,09|2,50M|11,93%
AAPL34|Jun 20|49,45|42,68|50,02|40,06|2,19M|15,86%
AAPL34|Mai 20|42,68|39,52|52,81|39,52|959,24K|7,99%
AAPL34|Abr 20|39,52|32,40|40,38|31,32|1,11M|19,96%
AAPL34|Mar 20|32,95|31,18|34,57|26,98|2,29M|11,34%
AAPL34|Fev 20|29,59|32,72|36,68|28,82|1,14M|-10,46%
AAPL34|Jan 20|33,05|29,74|34,38|28,30|1,22M|13,32%
AAPL34|Dez 19|29,17|27,76|29,57|26,86|1,01M|3,36%
AAPL34|Nov 19|28,22|24,63|28,45|24,63|296,40K|14,19%
AAPL34|Out 19|24,71|23,23|24,72|21,99|726,40K|6,91%
AAPL34|Set 19|23,11|21,23|23,11|21,00|806,80K|9,39%
AAPL34|Ago 19|21,13|19,99|21,50|18,71|1,27M|5,72%
AAPL34|Jul 19|19,99|19,07|20,18|18,46|602,80K|7,39%
AAPL34|Jun 19|18,61|17,08|19,00|16,47|1,90M|9,44%
AAPL34|Mai 19|17,00|20,23|20,84|16,98|1,32M|-12,20%
AAPL34|Abr 19|19,37|17,90|20,40|17,90|658,40K|6,20%
AAPL34|Mar 19|18,24|16,06|18,68|15,99|705,60K|14,41%
AAPL34|Fev 19|15,94|14,92|16,42|14,78|995,60K|7,65%
AAPL34|Jan 19|14,81|14,82|14,97|13,13|2,01M|-0,52%
AAPL34|Dez 18|14,88|17,17|17,45|14,08|786,40K|-11,42%
AAPL34|Nov 18|16,80|19,52|19,82|16,05|962,40K|-15,14%
AAPL34|Out 18|19,80|22,02|22,57|18,96|1,89M|-10,14%
AAPL34|Set 18|22,04|23,32|23,32|21,41|1,13M|-2,51%
